Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,5.970000,6.220000,5.970000,6.160000,6.160000,518837
2022-05-06,5.900000,5.900000,5.620000,5.860000,5.860000,651380
2022-05-09,5.750000,6.070000,5.410000,5.720000,5.720000,906356
2022-05-10,5.420000,5.760000,5.295000,5.680000,5.680000,707398
2022-05-11,5.590000,5.720000,5.360000,5.560000,5.560000,489223
2022-05-12,5.550000,5.580000,5.200000,5.260000,5.260000,485523
2022-05-13,5.260000,5.260000,5.260000,5.260000,5.260000,0
2022-05-16,6.550000,6.940000,5.660000,5.750000,5.750000,1711813
2022-05-17,5.840000,5.870000,5.000000,5.020000,5.020000,1517540
2022-05-18,5.300000,5.600000,5.130000,5.570000,5.570000,1369623
2022-05-19,5.290000,5.430000,5.100000,5.300000,5.300000,533124
2022-05-20,5.400000,5.650000,5.330000,5.450000,5.450000,431520
2022-05-23,5.460000,5.600000,5.360000,5.500000,5.500000,370716
2022-05-24,5.510000,5.630000,5.300000,5.320000,5.320000,372589
2022-05-25,5.300000,5.400000,5.140000,5.170000,5.170000,330531
2022-05-26,5.200000,5.450000,5.130000,5.280000,5.280000,334821
2022-05-27,5.320000,5.350000,5.170000,5.240000,5.240000,383014
2022-05-30,5.270000,5.550000,5.230000,5.530000,5.530000,343871
2022-05-31,5.500000,5.640000,5.420000,5.510000,5.510000,479918
2022-06-01,5.550000,5.550000,4.800000,4.820000,4.820000,1103818
2022-06-02,4.800000,5.250000,4.690000,4.940000,4.940000,1017875
2022-06-03,5.100000,5.210000,4.970000,5.050000,5.050000,335575
2022-06-06,5.070000,5.140000,4.870000,4.900000,4.900000,317999
2022-06-07,4.900000,4.970000,4.620000,4.710000,4.710000,656451
2022-06-08,4.740000,4.830000,4.610000,4.690000,4.690000,600220
2022-06-09,4.620000,4.720000,4.380000,4.530000,4.530000,807056
2022-06-10,4.350000,4.460000,4.260000,4.440000,4.440000,785165
2022-06-14,3.870000,4.140000,3.590000,4.030000,4.030000,2308740
2022-06-15,3.980000,4.080000,3.760000,3.770000,3.770000,1185920
2022-06-16,3.900000,4.100000,3.830000,3.860000,3.860000,1095897
2022-06-17,3.700000,3.880000,3.610000,3.770000,3.770000,2836671
2022-06-20,3.900000,3.950000,3.620000,3.700000,3.700000,584418
2022-06-21,3.710000,3.890000,3.700000,3.760000,3.760000,367919
2022-06-22,3.770000,3.860000,3.570000,3.590000,3.590000,479014
2022-06-23,3.490000,3.560000,3.300000,3.310000,3.310000,804682
2022-06-24,3.300000,3.560000,3.280000,3.550000,3.550000,609270
2022-06-27,3.640000,3.920000,3.630000,3.810000,3.810000,652823
2022-06-28,3.800000,3.900000,3.610000,3.730000,3.730000,438046
2022-06-29,3.730000,3.740000,3.520000,3.610000,3.610000,531512
2022-06-30,3.630000,3.650000,3.420000,3.450000,3.450000,539786
2022-07-01,3.450000,3.530000,3.380000,3.420000,3.420000,270544
2022-07-04,3.460000,3.560000,3.380000,3.440000,3.440000,212729
2022-07-05,3.500000,3.500000,3.400000,3.460000,3.460000,157548
2022-07-06,3.430000,3.500000,3.370000,3.430000,3.430000,246737
2022-07-07,3.480000,3.550000,3.370000,3.430000,3.430000,267638
2022-07-08,3.430000,3.700000,3.410000,3.570000,3.570000,494970
2022-07-11,3.600000,3.600000,3.400000,3.430000,3.430000,400139
2022-07-12,3.480000,3.480000,3.200000,3.250000,3.250000,522514
2022-07-13,3.200000,3.280000,3.150000,3.220000,3.220000,261235
2022-07-14,3.250000,3.350000,3.150000,3.310000,3.310000,262738
2022-07-15,3.300000,3.300000,3.180000,3.260000,3.260000,218739
2022-07-18,3.000000,3.180000,2.870000,3.160000,3.160000,649820
2022-07-19,3.150000,3.220000,3.100000,3.140000,3.140000,291847
2022-07-20,3.230000,3.340000,3.190000,3.270000,3.270000,330083
2022-07-21,3.270000,3.290000,3.180000,3.270000,3.270000,362080
2022-07-22,3.290000,3.320000,3.180000,3.240000,3.240000,276110
2022-07-25,3.250000,3.250000,3.170000,3.240000,3.240000,331720
2022-07-26,3.230000,3.310000,3.210000,3.250000,3.250000,285145
2022-07-27,3.260000,3.270000,3.120000,3.170000,3.170000,340049
2022-07-28,3.170000,3.570000,3.170000,3.530000,3.530000,676137
2022-07-29,3.650000,3.880000,3.500000,3.560000,3.560000,391619
2022-08-01,3.570000,3.700000,3.495000,3.560000,3.560000,270752
2022-08-02,3.600000,3.600000,3.360000,3.500000,3.500000,358011
2022-08-03,3.520000,3.950000,3.480000,3.930000,3.930000,565342
2022-08-04,4.100000,4.230000,3.750000,3.750000,3.750000,808615
2022-08-05,3.750000,4.130000,3.740000,4.070000,4.070000,483136
2022-08-08,4.050000,4.240000,3.950000,4.160000,4.160000,1184546
2022-08-09,4.200000,4.310000,4.040000,4.070000,4.070000,506574
2022-08-10,4.010000,4.120000,3.960000,3.980000,3.980000,275209
2022-08-11,4.080000,4.470000,4.080000,4.420000,4.420000,732046
2022-08-12,4.430000,4.430000,4.180000,4.190000,4.190000,590313
2022-08-15,4.240000,4.540000,4.210000,4.230000,4.230000,424361
2022-08-16,4.280000,4.380000,4.140000,4.200000,4.200000,304934
2022-08-17,4.230000,4.280000,4.040000,4.220000,4.220000,386676
2022-08-18,4.170000,4.170000,3.900000,3.910000,3.910000,480430
