Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,8.450000,8.930000,8.450000,8.750000,8.750000,222130
2022-05-06,8.550000,8.550000,7.860000,8.130000,8.130000,490103
2022-05-09,7.950000,7.950000,7.230000,7.340000,7.340000,943176
2022-05-10,7.000000,7.250000,6.510000,7.110000,7.110000,726984
2022-05-11,7.100000,7.100000,6.500000,6.900000,6.900000,700225
2022-05-12,6.800000,6.830000,6.500000,6.630000,6.630000,445266
2022-05-13,6.790000,7.000000,6.495000,6.580000,6.580000,668267
2022-05-16,6.890000,7.140000,6.620000,6.650000,6.650000,938005
2022-05-17,6.850000,7.220000,6.850000,6.930000,6.930000,893349
2022-05-18,7.100000,7.400000,7.005000,7.030000,7.030000,729324
2022-05-19,6.850000,7.530000,6.750000,7.470000,7.470000,711776
2022-05-20,7.570000,7.570000,7.130000,7.440000,7.440000,441257
2022-05-23,7.500000,7.720000,7.470000,7.670000,7.670000,489190
2022-05-24,7.860000,8.010000,7.480000,7.630000,7.630000,606451
2022-05-25,7.780000,7.780000,7.430000,7.640000,7.640000,414899
2022-05-26,7.760000,8.010000,7.600000,7.660000,7.660000,461786
2022-05-27,7.770000,7.880000,7.600000,7.820000,7.820000,358583
2022-05-30,8.100000,8.580000,7.900000,8.340000,8.340000,785419
2022-05-31,8.500000,8.540000,8.150000,8.190000,8.190000,5091332
2022-06-01,8.250000,8.380000,7.790000,7.920000,7.920000,561907
2022-06-02,7.960000,8.100000,7.630000,7.730000,7.730000,290129
2022-06-03,7.840000,8.170000,7.840000,7.980000,7.980000,333686
2022-06-06,7.990000,7.990000,7.700000,7.790000,7.790000,238676
2022-06-07,7.750000,7.770000,7.080000,7.180000,7.180000,327008
2022-06-08,7.270000,7.360000,7.000000,7.090000,7.090000,237911
2022-06-09,7.070000,7.070000,6.650000,6.680000,6.680000,206232
2022-06-10,6.540000,6.590000,6.290000,6.460000,6.460000,333075
2022-06-14,6.050000,6.180000,5.630000,6.140000,6.140000,665684
2022-06-15,6.140000,6.160000,5.700000,5.890000,5.890000,333033
2022-06-16,6.030000,6.200000,5.910000,5.980000,5.980000,343967
2022-06-17,5.800000,6.040000,5.670000,6.040000,6.040000,486529
2022-06-20,5.930000,6.150000,5.720000,5.880000,5.880000,370832
2022-06-21,5.900000,6.160000,5.900000,6.130000,6.130000,281405
2022-06-22,6.140000,6.290000,5.950000,6.000000,6.000000,325271
2022-06-23,6.140000,6.150000,5.990000,6.080000,6.080000,280904
2022-06-24,6.200000,6.360000,6.140000,6.290000,6.290000,225724
2022-06-27,6.400000,6.450000,6.140000,6.220000,6.220000,258790
2022-06-28,6.220000,6.250000,5.950000,6.210000,6.210000,299776
2022-06-29,6.050000,6.230000,5.955000,6.230000,6.230000,1020688
2022-06-30,6.160000,6.260000,6.040000,6.120000,6.120000,252965
2022-07-01,6.130000,6.170000,5.920000,5.920000,5.920000,200936
2022-07-04,6.030000,6.300000,6.030000,6.150000,6.150000,532238
2022-07-05,6.120000,6.240000,5.990000,6.000000,6.000000,99504
2022-07-06,6.000000,6.080000,5.840000,5.870000,5.870000,204985
2022-07-07,5.850000,5.970000,5.530000,5.700000,5.700000,333198
2022-07-08,5.800000,5.980000,5.600000,5.900000,5.900000,244328
2022-07-11,5.930000,5.930000,5.560000,5.560000,5.560000,93469
2022-07-12,5.610000,5.650000,5.400000,5.400000,5.400000,188468
2022-07-13,5.410000,5.470000,5.260000,5.460000,5.460000,253234
2022-07-14,5.500000,5.640000,5.405000,5.580000,5.580000,223474
2022-07-15,5.840000,5.840000,5.470000,5.480000,5.480000,260685
2022-07-18,5.500000,5.710000,5.400000,5.710000,5.710000,202853
2022-07-19,5.710000,5.750000,5.500000,5.590000,5.590000,119367
2022-07-20,5.900000,5.990000,5.720000,5.820000,5.820000,304393
2022-07-21,5.790000,6.070000,5.670000,6.020000,6.020000,255730
2022-07-22,6.070000,6.130000,5.840000,5.980000,5.980000,188141
2022-07-25,6.070000,6.100000,5.950000,6.040000,6.040000,159459
2022-07-26,6.050000,6.160000,5.900000,5.960000,5.960000,179406
2022-07-27,5.900000,6.010000,5.800000,6.000000,6.000000,270395
2022-07-28,6.040000,6.290000,6.040000,6.290000,6.290000,280809
2022-07-29,6.300000,6.450000,6.240000,6.310000,6.310000,648777
2022-08-01,6.500000,6.540000,6.180000,6.250000,6.250000,259110
2022-08-02,6.240000,6.350000,6.150000,6.300000,6.300000,144794
2022-08-03,6.400000,6.710000,6.250000,6.710000,6.710000,263285
2022-08-04,6.850000,6.870000,6.690000,6.740000,6.740000,248333
2022-08-05,6.750000,6.950000,6.650000,6.950000,6.950000,210277
2022-08-08,6.950000,7.300000,6.930000,7.150000,7.150000,723862
2022-08-09,7.110000,7.400000,7.110000,7.350000,7.350000,166180
2022-08-10,7.350000,7.400000,7.110000,7.180000,7.180000,220711
2022-08-11,7.300000,7.310000,7.070000,7.110000,7.110000,153636
2022-08-12,7.060000,7.060000,6.830000,6.860000,6.860000,136495
