Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,0.385000,0.395000,0.375000,0.395000,0.395000,505158
2022-05-04,0.395000,0.410000,0.360000,0.380000,0.380000,1291407
2022-05-05,0.380000,0.380000,0.365000,0.365000,0.365000,421704
2022-05-06,0.365000,0.365000,0.360000,0.360000,0.360000,348309
2022-05-09,0.360000,0.360000,0.345000,0.360000,0.360000,532341
2022-05-10,0.355000,0.355000,0.330000,0.350000,0.350000,668184
2022-05-11,0.345000,0.350000,0.335000,0.335000,0.335000,288752
2022-05-12,0.335000,0.345000,0.300000,0.300000,0.300000,2077488
2022-05-13,0.310000,0.320000,0.310000,0.320000,0.320000,947443
2022-05-16,0.325000,0.330000,0.315000,0.320000,0.320000,392437
2022-05-17,0.320000,0.345000,0.310000,0.345000,0.345000,321875
2022-05-18,0.340000,0.340000,0.315000,0.320000,0.320000,338544
2022-05-19,0.310000,0.340000,0.300000,0.335000,0.335000,973197
2022-05-20,0.335000,0.410000,0.325000,0.410000,0.410000,993844
2022-05-23,0.415000,0.415000,0.385000,0.390000,0.390000,563524
2022-05-24,0.390000,0.400000,0.382500,0.390000,0.390000,232272
2022-05-25,0.400000,0.405000,0.385000,0.400000,0.400000,548247
2022-05-26,0.405000,0.405000,0.380000,0.380000,0.380000,565966
2022-05-27,0.380000,0.380000,0.365000,0.365000,0.365000,418285
2022-05-30,0.365000,0.370000,0.355000,0.355000,0.355000,274662
2022-05-31,0.360000,0.360000,0.345000,0.355000,0.355000,125264
2022-06-01,0.355000,0.355000,0.320000,0.320000,0.320000,1103242
2022-06-02,0.325000,0.345000,0.310000,0.345000,0.345000,937751
2022-06-03,0.345000,0.355000,0.335000,0.350000,0.350000,346400
2022-06-06,0.340000,0.350000,0.330000,0.330000,0.330000,260902
2022-06-07,0.340000,0.340000,0.315000,0.315000,0.315000,389851
2022-06-08,0.320000,0.335000,0.320000,0.325000,0.325000,164546
2022-06-09,0.320000,0.330000,0.320000,0.330000,0.330000,649614
2022-06-10,0.325000,0.325000,0.305000,0.315000,0.315000,705557
2022-06-14,0.300000,0.300000,0.280000,0.285000,0.285000,1106521
2022-06-15,0.285000,0.295000,0.280000,0.295000,0.295000,453198
2022-06-16,0.295000,0.295000,0.280000,0.290000,0.290000,590688
2022-06-17,0.285000,0.300000,0.270000,0.285000,0.285000,29162736
2022-06-20,0.285000,0.285000,0.257500,0.265000,0.265000,567416
2022-06-21,0.280000,0.280000,0.265000,0.270000,0.270000,415582
2022-06-22,0.270000,0.275000,0.260000,0.260000,0.260000,538096
2022-06-23,0.265000,0.270000,0.245000,0.250000,0.250000,1073781
2022-06-24,0.250000,0.300000,0.250000,0.295000,0.295000,1187409
2022-06-27,0.300000,0.310000,0.290000,0.290000,0.290000,627764
2022-06-28,0.290000,0.300000,0.290000,0.300000,0.300000,389560
2022-06-29,0.280000,0.280000,0.270000,0.280000,0.280000,502930
2022-06-30,0.280000,0.280000,0.257500,0.260000,0.260000,2600939
2022-07-01,0.270000,0.275000,0.265000,0.275000,0.275000,267168
2022-07-04,0.280000,0.295000,0.275000,0.280000,0.280000,329464
2022-07-05,0.280000,0.280000,0.280000,0.280000,0.280000,151922
2022-07-06,0.285000,0.285000,0.280000,0.285000,0.285000,143702
2022-07-07,0.290000,0.290000,0.275000,0.275000,0.275000,188633
2022-07-08,0.275000,0.280000,0.270000,0.280000,0.280000,36462
2022-07-11,0.280000,0.280000,0.260000,0.265000,0.265000,172409
2022-07-12,0.265000,0.265000,0.255000,0.260000,0.260000,442019
2022-07-13,0.265000,0.270000,0.257500,0.265000,0.265000,355449
2022-07-14,0.260000,0.260000,0.245000,0.245000,0.245000,1587107
