Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,4.500000,4.590000,4.480000,4.500000,3.980072,23226
2022-05-04,4.490000,4.600000,4.490000,4.600000,4.068518,1996
2022-05-05,4.540000,4.540000,4.490000,4.490000,3.971227,5000
2022-05-06,4.540000,4.540000,4.480000,4.500000,3.980072,350
2022-05-09,4.480000,4.480000,4.390000,4.430000,3.918159,2638
2022-05-10,4.300000,4.300000,4.060000,4.100000,3.626288,18485
2022-05-11,4.100000,4.240000,4.100000,4.220000,3.732423,3895
2022-05-12,4.100000,4.190000,4.100000,4.150000,3.670511,8192
2022-05-13,4.100000,4.100000,4.030000,4.040000,3.573220,3897
2022-05-16,4.070000,4.150000,4.050000,4.150000,3.670511,10017
2022-05-17,4.150000,4.220000,4.150000,4.160000,3.679355,2803
2022-05-18,4.220000,4.240000,4.190000,4.190000,3.705889,4981
2022-05-19,4.190000,4.190000,4.190000,4.190000,3.705889,0
2022-05-20,4.190000,4.190000,4.190000,4.190000,3.705889,0
2022-05-23,4.400000,4.400000,4.230000,4.230000,3.741268,8362
2022-05-24,4.160000,4.160000,4.000000,4.050000,3.582065,25520
2022-05-25,4.110000,4.130000,4.020000,4.020000,3.555531,4860
2022-05-26,4.070000,4.070000,4.040000,4.040000,3.573220,2250
2022-05-27,4.060000,4.060000,4.040000,4.040000,3.573220,5000
2022-05-30,4.060000,4.100000,4.010000,4.100000,3.626288,8138
2022-05-31,4.100000,4.100000,4.100000,4.100000,3.626288,2624
2022-06-01,4.100000,4.100000,4.040000,4.040000,3.573220,5529
2022-06-02,4.040000,4.040000,3.960000,3.980000,3.520153,14953
2022-06-03,3.980000,3.980000,3.980000,3.980000,3.520153,0
2022-06-06,3.980000,3.980000,3.980000,3.980000,3.520153,0
2022-06-07,4.000000,4.000000,3.900000,3.900000,3.449396,2950
2022-06-08,3.860000,4.040000,3.850000,3.980000,3.520153,14027
2022-06-09,3.980000,3.980000,3.980000,3.980000,3.520153,0
2022-06-10,4.010000,4.010000,3.980000,3.980000,3.520153,1000
2022-06-14,3.980000,3.980000,3.570000,3.800000,3.360950,17712
2022-06-15,3.700000,3.730000,3.650000,3.720000,3.290193,6863
2022-06-16,3.730000,3.730000,3.600000,3.730000,3.299037,3308
2022-06-17,3.730000,3.730000,3.730000,3.730000,3.299037,0
2022-06-20,3.900000,3.990000,3.900000,3.980000,3.520153,7278
2022-06-21,3.840000,3.920000,3.770000,3.920000,3.467085,10184
