Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,0.057000,0.057000,0.054000,0.054000,0.054000,3359987
2022-05-04,0.055000,0.055500,0.053000,0.053000,0.053000,3154758
2022-05-05,0.054000,0.054000,0.053000,0.053000,0.053000,1540476
2022-05-06,0.052000,0.052000,0.050000,0.052000,0.052000,7736574
2022-05-09,0.049000,0.050000,0.044000,0.044000,0.044000,7400375
2022-05-10,0.042000,0.045000,0.040000,0.041000,0.041000,7816157
2022-05-11,0.043000,0.043000,0.041000,0.042000,0.042000,2933479
2022-05-12,0.043000,0.044000,0.040000,0.040000,0.040000,5077313
2022-05-13,0.040000,0.042000,0.040000,0.042000,0.042000,5406220
2022-05-16,0.042000,0.044000,0.041000,0.041000,0.041000,3720244
2022-05-17,0.043000,0.044000,0.043000,0.044000,0.044000,3500690
2022-05-18,0.045000,0.049000,0.045000,0.047000,0.047000,4986923
2022-05-19,0.044000,0.046000,0.044000,0.046000,0.046000,2813603
2022-05-20,0.045000,0.046000,0.043000,0.046000,0.046000,6543446
2022-05-23,0.045000,0.045000,0.043000,0.043000,0.043000,1952344
2022-05-24,0.044000,0.044000,0.041000,0.041000,0.041000,3906481
2022-05-25,0.041000,0.042000,0.041000,0.042000,0.042000,599090
2022-05-26,0.042000,0.042000,0.040000,0.040000,0.040000,4071384
2022-05-27,0.042000,0.043000,0.040000,0.043000,0.043000,1816990
2022-05-30,0.041000,0.043000,0.041000,0.042000,0.042000,2490634
2022-05-31,0.041000,0.042000,0.040500,0.041000,0.041000,2361477
2022-06-01,0.041000,0.041000,0.040000,0.040000,0.040000,3641920
2022-06-02,0.040000,0.040000,0.039000,0.039000,0.039000,1382883
2022-06-03,0.041000,0.042000,0.040000,0.040000,0.040000,1804768
2022-06-06,0.040000,0.041000,0.039000,0.039000,0.039000,2191857
2022-06-07,0.039000,0.039500,0.038000,0.039000,0.039000,4857406
2022-06-08,0.039000,0.039000,0.037000,0.037000,0.037000,2006855
2022-06-09,0.038000,0.038000,0.036000,0.036000,0.036000,3370257
2022-06-10,0.036000,0.037000,0.035000,0.035000,0.035000,4688364
2022-06-14,0.035000,0.035000,0.031000,0.032000,0.032000,12965426
2022-06-15,0.032000,0.034000,0.031000,0.033000,0.033000,5788946
2022-06-16,0.034000,0.034000,0.031000,0.031000,0.031000,2416286
2022-06-17,0.032000,0.032000,0.030000,0.031000,0.031000,3571428
2022-06-20,0.031000,0.031000,0.028000,0.029000,0.029000,2457235
2022-06-21,0.029000,0.029500,0.028500,0.029000,0.029000,2833862
2022-06-22,0.029000,0.030000,0.027000,0.028000,0.028000,8971019
2022-06-23,0.027000,0.030000,0.027000,0.030000,0.030000,2876258
2022-06-24,0.030000,0.031000,0.028000,0.030000,0.030000,3422613
2022-06-27,0.030000,0.033000,0.030000,0.032000,0.032000,3540129
2022-06-28,0.032000,0.033000,0.031000,0.031000,0.031000,2324484
2022-06-29,0.031000,0.031500,0.029000,0.029000,0.029000,3397086
2022-06-30,0.029000,0.029500,0.027000,0.027000,0.027000,8660808
2022-07-01,0.027000,0.031000,0.027000,0.031000,0.031000,1414312
