Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,2.030000,2.240000,2.030000,2.190000,2.190000,28600
2022-05-06,2.120000,2.170000,1.960000,2.000000,2.000000,13400
2022-05-09,2.000000,2.030000,1.960000,2.030000,2.030000,3300
2022-05-10,2.030000,2.030000,1.970000,2.030000,2.030000,2200
2022-05-11,2.030000,2.040000,1.940000,2.020000,2.020000,11900
2022-05-12,2.010000,2.010000,1.810000,1.900000,1.900000,124400
2022-05-13,1.900000,1.980000,1.860000,1.900000,1.900000,28700
2022-05-16,2.000000,2.000000,1.890000,1.900000,1.900000,18400
2022-05-17,1.900000,1.970000,1.880000,1.900000,1.900000,24700
2022-05-18,1.950000,1.970000,1.910000,1.910000,1.910000,6600
2022-05-19,1.910000,1.910000,1.870000,1.900000,1.900000,8200
2022-05-20,1.910000,2.000000,1.910000,2.000000,2.000000,10800
2022-05-23,2.020000,2.110000,1.960000,2.010000,2.010000,7800
2022-05-24,2.000000,2.000000,1.920000,1.970000,1.970000,6500
2022-05-25,1.960000,1.960000,1.900000,1.900000,1.900000,7600
2022-05-26,1.910000,1.980000,1.880000,1.900000,1.900000,34900
2022-05-27,1.930000,2.020000,1.930000,1.980000,1.980000,6500
2022-05-30,1.910000,1.930000,1.870000,1.870000,1.870000,21600
2022-05-31,1.920000,1.950000,1.880000,1.950000,1.950000,4600
2022-06-01,1.880000,1.940000,1.860000,1.900000,1.900000,5300
2022-06-02,1.890000,1.900000,1.850000,1.850000,1.850000,46900
2022-06-03,1.830000,1.890000,1.680000,1.750000,1.750000,116200
2022-06-06,1.780000,1.780000,1.660000,1.660000,1.660000,27200
2022-06-07,1.680000,1.710000,1.530000,1.560000,1.560000,78500
2022-06-08,1.400000,1.890000,1.390000,1.620000,1.620000,258500
2022-06-09,1.640000,1.640000,1.580000,1.590000,1.590000,10100
2022-06-10,1.570000,1.630000,1.520000,1.550000,1.550000,16300
2022-06-13,1.520000,1.520000,1.380000,1.480000,1.480000,54700
2022-06-14,1.430000,1.450000,1.250000,1.250000,1.250000,19500
2022-06-15,1.350000,1.350000,1.140000,1.140000,1.140000,70600
2022-06-17,1.130000,1.240000,1.000000,1.070000,1.070000,247400
2022-06-20,1.130000,1.170000,1.060000,1.080000,1.080000,46100
2022-06-21,1.140000,1.140000,1.060000,1.060000,1.060000,18400
2022-06-22,1.070000,1.100000,0.990000,1.030000,1.030000,28100
