Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,3.240000,3.240000,2.980000,3.190000,3.190000,333900
2022-05-06,3.190000,3.240000,2.990000,3.240000,3.240000,160700
2022-05-09,3.250000,3.250000,2.970000,2.990000,2.990000,122500
2022-05-10,3.120000,3.300000,2.920000,3.080000,3.080000,257400
2022-05-11,3.180000,3.250000,2.990000,3.230000,3.230000,160600
2022-05-12,3.160000,3.290000,3.160000,3.200000,3.200000,82900
2022-05-13,3.300000,3.340000,3.150000,3.190000,3.190000,73200
2022-05-16,3.400000,3.590000,3.200000,3.510000,3.510000,196900
2022-05-17,3.650000,3.880000,3.650000,3.860000,3.860000,425200
2022-05-18,3.850000,4.070000,3.670000,3.920000,3.920000,485600
2022-05-19,3.910000,4.050000,3.850000,3.850000,3.850000,452500
2022-05-20,3.990000,3.990000,3.430000,3.920000,3.920000,427200
2022-05-23,4.050000,4.050000,3.670000,3.850000,3.850000,242100
2022-05-24,3.840000,3.850000,3.470000,3.500000,3.500000,590700
2022-05-25,3.520000,3.580000,3.360000,3.500000,3.500000,326900
2022-05-26,3.600000,3.600000,3.190000,3.230000,3.230000,1487400
2022-05-27,3.300000,3.620000,3.240000,3.510000,3.510000,248200
2022-05-30,3.610000,3.620000,3.300000,3.340000,3.340000,191600
2022-05-31,3.420000,3.420000,3.170000,3.290000,3.290000,164900
2022-06-01,3.300000,3.300000,3.090000,3.200000,3.200000,416000
2022-06-02,3.210000,3.320000,3.150000,3.250000,3.250000,174800
2022-06-03,3.310000,3.340000,3.150000,3.300000,3.300000,72100
2022-06-06,3.310000,3.310000,3.070000,3.150000,3.150000,147400
2022-06-07,3.170000,3.170000,3.030000,3.060000,3.060000,105700
2022-06-08,3.070000,3.120000,3.000000,3.000000,3.000000,78400
2022-06-09,3.070000,3.070000,2.940000,2.990000,2.990000,204000
2022-06-10,2.930000,2.970000,2.790000,2.830000,2.830000,251100
2022-06-13,2.830000,2.980000,2.650000,2.970000,2.970000,508000
2022-06-14,2.920000,3.070000,2.820000,2.900000,2.900000,176400
2022-06-15,2.920000,2.960000,2.760000,2.840000,2.840000,155000
2022-06-17,2.850000,2.850000,2.740000,2.770000,2.770000,105000
2022-06-20,2.760000,2.840000,2.560000,2.600000,2.600000,487500
2022-06-21,2.650000,2.650000,2.510000,2.600000,2.600000,209600
2022-06-22,2.540000,2.850000,2.540000,2.850000,2.850000,319600
2022-06-23,2.930000,2.990000,2.740000,2.850000,2.850000,57800
2022-06-24,2.850000,3.040000,2.750000,3.000000,3.000000,166100
2022-06-27,3.000000,3.240000,2.910000,3.220000,3.220000,147900
2022-06-28,3.250000,3.480000,3.200000,3.350000,3.350000,468100
2022-06-29,3.450000,3.600000,3.350000,3.380000,3.380000,251300
2022-06-30,3.400000,3.600000,3.400000,3.600000,3.600000,1284100
2022-07-01,3.570000,3.660000,3.450000,3.470000,3.470000,48000
2022-07-04,3.400000,3.400000,3.260000,3.300000,3.300000,184500
2022-07-05,3.280000,3.290000,3.150000,3.180000,3.180000,35800
2022-07-06,3.200000,3.290000,3.130000,3.160000,3.160000,186100
2022-07-07,3.200000,3.240000,3.120000,3.120000,3.120000,159700
2022-07-08,3.230000,3.260000,3.090000,3.090000,3.090000,54900
2022-07-11,3.070000,3.120000,3.050000,3.050000,3.050000,54200
2022-07-12,3.010000,3.200000,2.910000,3.000000,3.000000,100900
2022-07-13,3.010000,3.040000,2.900000,3.000000,3.000000,47200
2022-07-14,2.930000,3.240000,2.910000,3.230000,3.230000,66600
2022-07-15,3.150000,3.430000,3.110000,3.270000,3.270000,81900
2022-07-18,3.360000,3.360000,3.160000,3.160000,3.160000,20000
2022-07-19,3.160000,3.210000,3.020000,3.100000,3.100000,167300
2022-07-20,3.090000,3.200000,2.970000,3.060000,3.060000,255400
2022-07-21,3.020000,3.160000,3.000000,3.060000,3.060000,181500
2022-07-22,3.150000,3.150000,3.060000,3.110000,3.110000,11000
2022-07-25,3.250000,3.250000,2.950000,2.950000,2.950000,69700
2022-07-26,2.960000,3.040000,2.910000,2.940000,2.940000,53900
2022-07-27,3.000000,3.080000,2.600000,2.900000,2.900000,214200
2022-07-28,2.900000,3.060000,2.850000,3.060000,3.060000,60400
2022-07-29,3.090000,3.100000,2.800000,2.850000,2.850000,553800
2022-08-01,2.910000,2.950000,2.800000,2.920000,2.920000,867700
2022-08-02,2.990000,3.000000,2.880000,2.880000,2.880000,6300
2022-08-03,2.910000,2.990000,2.850000,2.990000,2.990000,55700
2022-08-04,2.990000,3.180000,2.950000,3.130000,3.130000,216900
2022-08-05,3.050000,3.230000,3.050000,3.120000,3.120000,98500
2022-08-08,3.120000,3.280000,3.020000,3.070000,3.070000,130400
2022-08-09,3.070000,3.200000,3.030000,3.150000,3.150000,150700
2022-08-10,3.220000,3.310000,3.160000,3.260000,3.260000,267300
2022-08-11,3.260000,3.260000,3.070000,3.070000,3.070000,112900
2022-08-12,3.110000,3.150000,2.910000,2.910000,2.910000,218200
2022-08-15,2.950000,3.010000,2.850000,2.900000,2.900000,151800
2022-08-16,2.980000,3.050000,2.870000,2.970000,2.970000,133100
2022-08-17,3.020000,3.020000,2.730000,2.900000,2.900000,151600
2022-08-18,2.880000,2.970000,2.810000,2.910000,2.910000,5600
2022-08-19,2.890000,2.900000,2.810000,2.810000,2.810000,38000
2022-08-22,2.880000,2.890000,2.700000,2.700000,2.700000,18200
2022-08-23,2.760000,2.950000,2.760000,2.860000,2.860000,11900
2022-08-24,2.940000,3.040000,2.900000,2.900000,2.900000,149500
