Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,9.770000,9.800000,9.500000,9.510000,9.510000,422000
2022-04-29,9.580000,9.700000,9.320000,9.360000,9.360000,717000
2022-05-02,9.330000,9.360000,8.990000,9.260000,9.260000,619800
2022-05-03,9.260000,9.320000,8.830000,8.940000,8.940000,565100
2022-05-04,8.810000,9.180000,8.550000,9.030000,9.030000,673800
2022-05-05,8.940000,9.000000,8.480000,8.700000,8.700000,483800
2022-05-06,8.680000,8.800000,8.410000,8.620000,8.620000,499600
2022-05-09,8.360000,8.550000,8.230000,8.230000,8.230000,353400
2022-05-10,8.260000,8.350000,7.930000,8.000000,8.000000,414300
2022-05-11,8.030000,8.350000,7.900000,8.050000,8.050000,514100
2022-05-12,8.030000,8.270000,7.740000,8.200000,8.200000,536400
2022-05-13,8.200000,8.560000,8.070000,8.210000,8.210000,655700
2022-05-16,8.270000,8.400000,7.900000,8.350000,8.350000,485900
2022-05-17,8.460000,8.770000,8.460000,8.560000,8.560000,339700
2022-05-18,8.590000,8.630000,8.190000,8.190000,8.190000,259600
2022-05-19,8.190000,8.380000,8.100000,8.100000,8.100000,299800
2022-05-20,8.250000,8.290000,7.870000,7.930000,7.930000,411000
2022-05-23,8.010000,8.480000,8.010000,8.250000,8.250000,649100
2022-05-24,8.200000,8.250000,7.850000,8.000000,8.000000,329000
2022-05-25,8.020000,8.120000,7.760000,8.020000,8.020000,308200
2022-05-26,8.050000,8.310000,8.030000,8.220000,8.220000,184000
2022-05-27,8.220000,8.340000,8.000000,8.060000,8.060000,282000
2022-05-30,8.110000,8.290000,8.040000,8.290000,8.290000,222300
2022-05-31,8.160000,8.160000,7.990000,8.000000,8.000000,571700
2022-06-01,8.050000,8.080000,7.870000,7.940000,7.940000,435600
2022-06-02,8.060000,8.200000,7.990000,7.990000,7.990000,261900
2022-06-03,8.040000,8.110000,7.880000,7.880000,7.880000,271700
2022-06-06,7.940000,7.970000,7.510000,7.550000,7.550000,546200
2022-06-07,7.550000,7.630000,7.310000,7.410000,7.410000,519500
2022-06-08,7.360000,7.660000,7.320000,7.400000,7.400000,331000
2022-06-09,7.440000,7.660000,7.350000,7.530000,7.530000,270200
2022-06-10,7.480000,7.500000,7.150000,7.180000,7.180000,518500
2022-06-13,6.970000,7.250000,6.950000,7.080000,7.080000,519100
2022-06-14,7.080000,7.210000,6.990000,7.090000,7.090000,318300
2022-06-15,7.170000,7.320000,7.080000,7.220000,7.220000,348500
2022-06-17,7.080000,7.370000,6.990000,7.360000,7.360000,367700
2022-06-20,7.330000,7.520000,7.150000,7.150000,7.150000,201000
2022-06-21,7.220000,7.290000,6.820000,6.860000,6.860000,376700
2022-06-22,6.730000,7.050000,6.720000,6.850000,6.850000,246500
2022-06-23,6.880000,6.960000,6.720000,6.720000,6.720000,296500
2022-06-24,6.780000,6.930000,6.620000,6.710000,6.710000,332900
2022-06-27,6.710000,6.810000,6.530000,6.800000,6.800000,436300
2022-06-28,6.780000,6.900000,6.510000,6.510000,6.510000,268300
2022-06-29,6.550000,6.580000,6.300000,6.330000,6.330000,345800
2022-06-30,6.270000,6.410000,6.190000,6.280000,6.280000,591500
2022-07-01,6.300000,6.430000,6.140000,6.260000,6.260000,450300
2022-07-04,6.280000,6.280000,5.810000,5.810000,5.810000,367000
2022-07-05,5.800000,5.830000,5.520000,5.830000,5.830000,725000
2022-07-06,5.860000,6.950000,5.840000,6.910000,6.910000,1687600
2022-07-07,6.930000,7.020000,6.760000,6.890000,6.890000,415400
2022-07-08,6.780000,7.000000,6.780000,6.920000,6.920000,293600
2022-07-11,6.850000,6.990000,6.660000,6.870000,6.870000,319500
2022-07-12,6.890000,7.140000,6.740000,7.050000,7.050000,401300
2022-07-13,6.980000,7.060000,6.800000,6.840000,6.840000,211200
2022-07-14,6.780000,6.890000,6.690000,6.880000,6.880000,155400
2022-07-15,6.880000,6.890000,6.550000,6.700000,6.700000,287600
2022-07-18,6.690000,6.810000,6.190000,6.200000,6.200000,731100
2022-07-19,6.220000,6.410000,6.070000,6.170000,6.170000,473500
2022-07-20,6.020000,6.270000,5.980000,6.270000,6.270000,521600
2022-07-21,6.320000,6.500000,6.100000,6.150000,6.150000,365700
2022-07-22,6.180000,6.340000,6.040000,6.100000,6.100000,341300
2022-07-25,6.140000,6.190000,6.020000,6.090000,6.090000,331300
2022-07-26,6.100000,6.100000,5.760000,5.950000,5.950000,325200
2022-07-27,5.920000,6.190000,5.880000,6.100000,6.100000,362400
2022-07-28,6.140000,6.230000,6.070000,6.120000,6.120000,411500
2022-07-29,6.130000,6.130000,5.830000,5.890000,5.890000,448400
2022-08-01,5.850000,6.060000,5.840000,5.890000,5.890000,660100
2022-08-02,5.890000,6.090000,5.840000,5.840000,5.840000,721700
2022-08-03,5.860000,6.170000,5.860000,6.010000,6.010000,634500
2022-08-04,6.040000,6.640000,6.000000,6.440000,6.440000,713500
2022-08-05,6.450000,6.600000,6.330000,6.510000,6.510000,351100
2022-08-08,6.550000,6.780000,6.460000,6.500000,6.500000,619600
2022-08-09,6.540000,6.580000,6.270000,6.270000,6.270000,500300
2022-08-10,6.320000,6.640000,6.320000,6.500000,6.500000,929400
2022-08-11,6.610000,6.610000,6.230000,6.330000,6.330000,708900
2022-08-12,6.400000,6.440000,6.200000,6.360000,6.360000,723200
2022-08-15,6.400000,6.570000,6.150000,6.370000,6.370000,615900
2022-08-16,6.490000,6.490000,6.000000,6.060000,6.060000,1158600
2022-08-17,6.000000,6.200000,5.950000,6.120000,6.120000,578200
2022-08-18,6.160000,6.160000,5.960000,6.100000,6.100000,1004500
2022-08-19,6.020000,6.080000,5.970000,6.050000,6.050000,352400
2022-08-22,6.010000,6.120000,5.910000,6.080000,6.080000,439100
2022-08-23,6.060000,6.160000,6.000000,6.060000,6.060000,389000
2022-08-24,6.080000,6.490000,6.080000,6.260000,6.260000,1315600
2022-08-25,6.300000,6.400000,6.240000,6.310000,6.310000,611800
2022-08-26,6.300000,6.440000,6.150000,6.180000,6.180000,579600
2022-08-29,6.200000,6.360000,6.100000,6.250000,6.250000,387300
2022-08-30,6.230000,6.340000,6.060000,6.210000,6.210000,452300
2022-08-31,6.160000,6.320000,6.090000,6.250000,6.250000,644800
2022-09-01,6.220000,6.420000,6.180000,6.360000,6.360000,893000
2022-09-02,6.430000,6.430000,6.200000,6.200000,6.200000,605100
2022-09-05,6.240000,6.240000,6.080000,6.130000,6.130000,376700
2022-09-06,6.100000,6.100000,5.930000,5.990000,5.990000,764000
2022-09-08,5.980000,6.220000,5.980000,6.170000,6.170000,431700
2022-09-09,6.250000,6.460000,6.150000,6.200000,6.200000,695500
2022-09-12,6.260000,6.340000,6.170000,6.270000,6.270000,383800
2022-09-13,6.240000,6.270000,6.090000,6.100000,6.100000,412700
2022-09-14,6.090000,6.130000,5.890000,5.900000,5.900000,1011300
2022-09-15,5.950000,6.060000,5.840000,5.990000,5.990000,823400
2022-09-16,5.750000,5.760000,5.500000,5.680000,5.680000,3909300
2022-09-19,5.610000,6.290000,5.540000,6.220000,6.220000,1634700
2022-09-20,6.270000,6.590000,6.210000,6.440000,6.440000,1341300
2022-09-21,6.470000,6.640000,6.340000,6.550000,6.550000,524000
2022-09-22,6.600000,6.920000,6.480000,6.920000,6.920000,558800
2022-09-23,6.800000,7.100000,6.700000,6.950000,6.950000,1092800
2022-09-26,6.970000,7.010000,6.700000,6.740000,6.740000,492800
2022-09-27,6.740000,6.930000,6.590000,6.650000,6.650000,393400
2022-09-28,6.650000,7.620000,6.520000,7.450000,7.450000,2215100
2022-09-29,7.390000,7.550000,7.260000,7.380000,7.380000,1090100
2022-09-30,7.350000,7.700000,7.260000,7.630000,7.630000,1384500
2022-10-03,7.540000,7.750000,7.150000,7.450000,7.450000,897700
2022-10-04,7.590000,7.760000,7.320000,7.550000,7.550000,725600
2022-10-05,7.450000,7.980000,7.450000,7.800000,7.800000,1478900
2022-10-06,7.860000,8.200000,7.780000,7.900000,7.900000,1217400
2022-10-07,7.900000,7.900000,7.680000,7.780000,7.780000,362800
2022-10-10,7.800000,7.800000,7.440000,7.700000,7.700000,513300
2022-10-11,7.680000,7.770000,7.550000,7.630000,7.630000,638900
2022-10-13,7.560000,7.770000,7.430000,7.730000,7.730000,353700
2022-10-14,7.780000,7.800000,7.290000,7.330000,7.330000,588800
2022-10-17,7.340000,7.460000,7.250000,7.270000,7.270000,353100
2022-10-18,7.340000,7.420000,7.180000,7.290000,7.290000,393400
2022-10-19,7.270000,7.300000,7.010000,7.050000,7.050000,446200
2022-10-20,7.180000,7.180000,6.890000,6.940000,6.940000,548900
2022-10-21,6.880000,6.990000,6.640000,6.850000,6.850000,941600
2022-10-24,6.840000,7.140000,6.770000,7.050000,7.050000,528700
2022-10-25,7.000000,7.480000,6.910000,7.360000,7.360000,638800
2022-10-26,7.290000,7.610000,7.240000,7.600000,7.600000,1213900
2022-10-27,7.640000,8.210000,7.640000,7.960000,7.960000,1579600
2022-10-28,7.890000,8.270000,7.800000,8.110000,8.110000,853400
2022-10-31,8.500000,8.910000,8.390000,8.510000,8.510000,1605800
2022-11-01,8.580000,9.050000,8.180000,8.930000,8.930000,1206200
2022-11-03,8.890000,8.910000,8.540000,8.550000,8.550000,656700
2022-11-04,8.630000,9.010000,8.600000,8.900000,8.900000,1041200
2022-11-07,8.980000,8.980000,8.200000,8.200000,8.200000,435100
2022-11-08,8.250000,8.260000,7.940000,7.970000,7.970000,459900
2022-11-09,7.950000,7.990000,7.520000,7.580000,7.580000,405600
2022-11-10,7.500000,7.510000,6.870000,7.090000,7.090000,917000
2022-11-11,7.000000,7.010000,6.470000,6.520000,6.520000,915600
2022-11-14,6.590000,6.710000,6.100000,6.240000,6.240000,680000
2022-11-16,6.260000,6.370000,5.700000,5.700000,5.700000,1019300
2022-11-17,5.750000,5.920000,5.590000,5.740000,5.740000,1130300
2022-11-18,5.850000,6.390000,5.850000,5.880000,5.880000,1499800
2022-11-21,5.950000,6.040000,5.700000,6.020000,6.020000,687200
2022-11-22,6.110000,6.310000,5.780000,5.870000,5.870000,885400
2022-11-23,5.820000,5.980000,5.670000,5.920000,5.920000,456500
2022-11-24,5.940000,6.240000,5.940000,6.240000,6.240000,511200
2022-11-25,6.220000,6.220000,5.660000,5.690000,5.690000,895800
2022-11-28,5.680000,5.680000,5.000000,5.200000,5.200000,2532700
2022-11-29,5.190000,5.360000,5.090000,5.360000,5.360000,908000
2022-11-30,5.360000,5.520000,5.170000,5.520000,5.520000,1158700
2022-12-01,5.440000,5.520000,5.250000,5.270000,5.270000,945600
2022-12-02,5.300000,5.440000,5.200000,5.400000,5.400000,662600
2022-12-05,5.360000,5.420000,5.050000,5.070000,5.070000,648800
2022-12-06,5.080000,5.170000,5.020000,5.110000,5.110000,527700
2022-12-07,5.080000,5.210000,5.050000,5.140000,5.140000,528200
2022-12-08,5.110000,5.190000,4.940000,4.950000,4.950000,673400
2022-12-09,4.980000,5.010000,4.870000,4.950000,4.950000,461000
2022-12-12,4.920000,4.990000,4.650000,4.760000,4.760000,901600
2022-12-13,4.840000,4.950000,4.540000,4.560000,4.560000,1089900
2022-12-14,4.550000,4.640000,4.350000,4.520000,4.520000,1274100
2022-12-15,4.500000,4.720000,4.460000,4.500000,4.500000,909000
2022-12-16,4.500000,4.510000,4.240000,4.300000,4.300000,834000
2022-12-19,4.270000,4.420000,4.250000,4.260000,4.260000,706800
2022-12-20,4.320000,4.500000,4.250000,4.380000,4.380000,1008600
2022-12-21,4.380000,4.450000,4.230000,4.380000,4.380000,774500
2022-12-22,4.380000,4.430000,4.250000,4.300000,4.300000,590000
2022-12-23,4.320000,4.420000,4.290000,4.340000,4.340000,770900
2022-12-26,4.340000,4.580000,4.260000,4.580000,4.580000,573300
2022-12-27,4.580000,4.580000,4.300000,4.370000,4.370000,667200
2022-12-28,4.370000,4.480000,4.340000,4.420000,4.420000,967200
2022-12-29,4.420000,4.490000,4.370000,4.470000,4.470000,1179800
2023-01-02,4.400000,4.400000,4.230000,4.360000,4.360000,497800
2023-01-03,4.280000,4.430000,3.990000,4.000000,4.000000,1849400
2023-01-04,4.040000,4.080000,3.950000,3.960000,3.960000,1406400
2023-01-05,4.030000,4.120000,3.960000,4.000000,4.000000,1231600
2023-01-06,4.080000,4.110000,3.960000,4.040000,4.040000,1110100
2023-01-09,3.970000,4.130000,3.870000,4.040000,4.040000,2045400
2023-01-10,4.010000,4.260000,3.980000,4.130000,4.130000,1868900
2023-01-11,4.110000,4.200000,4.000000,4.130000,4.130000,1370800
2023-01-12,4.100000,4.450000,4.000000,4.350000,4.350000,1209700
2023-01-13,4.330000,4.330000,4.160000,4.270000,4.270000,720700
2023-01-16,4.220000,4.300000,4.060000,4.160000,4.160000,526800
2023-01-17,4.150000,4.230000,4.080000,4.080000,4.080000,335500
2023-01-18,4.100000,4.330000,4.100000,4.150000,4.150000,529200
2023-01-19,4.100000,4.400000,4.070000,4.360000,4.360000,541500
