Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,82.709091,83.290909,82.236366,82.909088,69.578255,32010
2022-04-29,83.290909,83.490906,82.090912,83.309090,69.913940,38500
2022-05-02,83.109093,84.990906,81.127274,84.927269,71.271935,64350
2022-05-03,85.090912,87.009087,84.945457,86.163635,72.309509,55220
2022-05-04,86.690910,88.909088,85.909088,88.909088,74.613533,24750
2022-05-05,88.863632,89.727272,87.127274,87.845451,73.720901,32780
2022-05-06,88.072723,88.072723,86.036362,86.890907,72.919838,33220
2022-05-09,86.363632,86.363632,83.154549,83.572723,70.135185,52360
2022-05-10,83.536362,84.245453,81.636360,83.545456,70.112312,28600
2022-05-11,82.836365,85.263634,82.618179,85.263634,71.554222,17160
2022-05-12,85.227272,85.227272,83.881821,84.636360,71.027809,17710
2022-05-13,84.509087,85.527275,83.863632,85.527275,71.775482,74250
2022-05-16,86.154549,86.909088,85.363632,86.900002,72.927475,29810
2022-05-17,86.900002,88.581818,86.836365,87.009087,73.019020,21120
2022-05-18,87.063637,87.063637,83.772728,84.400002,70.829437,32780
2022-05-19,85.290909,85.763634,83.881821,85.572723,71.813599,38610
2022-05-20,86.118179,87.736366,86.090912,87.272728,73.240273,27060
2022-05-23,87.727272,88.318184,87.254547,87.445457,73.385231,10780
2022-05-24,86.363632,87.463638,85.681816,87.445457,73.385231,77990
2022-05-25,86.563637,88.090912,86.563637,88.090912,73.926903,13860
2022-05-26,88.181816,88.599998,86.000000,86.172729,72.317139,23870
2022-05-27,86.854546,86.854546,84.763634,85.236366,71.531326,42350
2022-05-30,85.436363,85.763634,84.500000,84.536362,70.943871,26400
2022-05-31,84.727272,86.809090,84.727272,86.809090,72.851189,41030
2022-06-01,86.790909,87.690910,84.536362,85.081818,71.401642,73590
2022-06-02,85.490906,85.545456,83.863632,84.409088,70.837074,32010
2022-06-03,84.500000,84.500000,81.363632,81.363632,68.281303,39380
2022-06-06,82.309090,82.309090,80.545456,80.909088,67.899834,26070
2022-06-07,80.436363,80.654549,78.963638,79.718178,66.900414,30910
2022-06-08,80.136360,80.154549,78.699997,79.254547,66.511330,26510
2022-06-09,79.218178,79.581818,78.145454,78.809090,66.137497,27500
2022-06-10,78.790909,79.818184,76.990906,79.081818,66.366371,160050
2022-06-13,78.518181,78.672729,75.236366,77.781815,65.275398,37400
2022-06-14,78.127274,78.336365,74.981819,75.263634,63.162098,45100
2022-06-15,75.645454,77.254547,75.645454,77.245453,64.825272,34210
2022-06-17,75.645454,77.018181,74.300003,77.018181,64.634537,31680
2022-06-20,76.890907,77.363632,74.109093,75.445457,63.314686,29810
2022-06-21,75.663635,76.372726,74.454544,74.863632,62.826416,24310
2022-06-22,74.672729,74.809090,73.199997,73.418182,61.613380,41470
2022-06-23,74.309090,74.309090,72.618179,73.900002,62.017735,24310
2022-06-24,74.072723,75.454544,73.500000,74.772728,62.750126,167310
2022-06-27,75.727272,77.236366,75.309090,76.818184,64.466698,17600
2022-06-28,78.054543,78.363632,77.254547,78.136360,65.572922,17050
2022-06-29,78.318184,78.809090,77.727272,78.181816,65.611084,14520
2022-06-30,77.427269,77.427269,75.718178,76.690910,64.359894,45430
2022-07-01,76.172729,77.972725,75.681816,77.090912,64.695580,113300
2022-07-04,77.254547,77.254547,75.118179,75.545456,63.398613,78320
2022-07-05,75.536362,75.536362,73.072723,74.218178,62.284748,69960
2022-07-06,74.027275,74.509087,71.854546,73.190910,61.422649,24090
2022-07-07,73.118179,75.036362,73.118179,74.209091,62.277122,65450
2022-07-08,74.209091,75.181816,73.609093,74.072723,62.162682,22990
2022-07-11,73.772728,74.181816,72.027275,72.027275,60.446117,22110
2022-07-12,72.827271,74.536362,72.400002,74.536362,62.551773,34210
2022-07-13,74.172729,75.318184,74.172729,74.536362,62.551773,41250
2022-07-14,74.036362,74.418182,72.318184,72.645454,60.964893,27830
2022-07-15,73.518181,74.081818,71.990906,72.263634,60.644470,81840
2022-07-18,72.699997,72.763634,71.809090,72.263634,60.644470,38500
2022-07-19,72.699997,74.945457,72.454544,74.545456,62.559402,19470
2022-07-20,74.536362,75.199997,73.963638,75.145454,63.062923,32450
2022-07-21,75.081818,75.400002,74.372726,75.045456,62.979008,27170
2022-07-22,77.245453,77.245453,74.645454,75.136360,63.055294,20020
2022-07-25,75.363632,76.072723,75.090912,75.636360,63.474903,33000
2022-07-26,75.636360,75.881821,74.500000,74.727272,62.711979,23210
2022-07-27,73.181816,74.472725,72.672729,74.163635,63.196953,21890
2022-07-28,74.918182,74.918182,73.190910,73.381821,62.530746,54230
2022-07-29,74.072723,74.545456,72.072723,74.000000,63.057510,57860
2022-08-01,74.563637,74.563637,72.354546,73.500000,62.631447,56100
2022-08-02,73.518181,74.181816,72.809090,73.481819,62.615959,25630
2022-08-03,72.963638,74.436363,72.518181,74.090912,63.134979,13640
2022-08-04,73.809090,74.818184,73.809090,74.318184,63.328648,14410
2022-08-05,74.863632,75.181816,73.818184,74.863632,63.793438,12650
2022-08-08,74.900002,75.527275,74.199997,74.227272,63.251171,20570
2022-08-09,74.227272,74.845451,73.209091,74.718178,63.669491,26510
2022-08-10,75.409088,76.290909,75.136360,75.990906,64.754021,23320
2022-08-11,75.827271,76.236366,75.563637,76.090912,64.839233,10560
2022-08-12,79.672729,82.727272,79.672729,82.254547,70.091446,50490
2022-08-15,82.645454,83.390907,81.818184,82.199997,70.044968,38940
2022-08-16,82.290909,83.172729,81.663635,81.800003,69.704109,55440
2022-08-17,77.681816,78.181816,76.090912,78.181816,70.527603,49390
2022-08-18,78.072723,79.536362,78.072723,79.072723,71.331276,21450
2022-08-19,78.854546,78.909088,77.099998,77.772728,70.158554,37840
2022-08-22,77.736366,77.809090,76.127274,77.045456,69.502502,25960
2022-08-23,77.590912,78.727272,77.063637,78.599998,70.904846,19250
2022-08-24,79.090912,80.272728,79.090912,80.081818,72.241577,22000
2022-08-25,80.063637,80.836365,80.018181,80.427269,72.553215,13530
2022-08-26,80.900002,81.809090,79.754547,79.936363,72.110374,22000
2022-08-29,80.490906,81.545456,80.318184,80.781815,72.873047,43780
2022-08-30,80.890907,81.181816,79.481819,80.445457,72.569618,14300
2022-08-31,80.418182,83.618179,80.027275,83.618179,75.431717,54230
2022-09-01,83.318184,83.736366,82.136360,83.590912,75.407127,43780
2022-09-02,84.536362,84.763634,82.709091,82.763634,74.660835,47630
2022-09-05,84.718178,84.718178,81.745453,81.745453,73.742340,23650
2022-09-06,81.818184,82.636360,80.000000,80.000000,72.167778,44880
