Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,5.500000,5.500000,5.500000,5.500000,5.500000,5200
2023-09-14,5.500000,5.500000,5.250000,5.450000,5.450000,23800
2023-09-15,5.500000,5.500000,5.250000,5.250000,5.250000,5400
2023-09-18,5.420000,5.420000,5.050000,5.050000,5.050000,18900
2023-09-19,4.750000,5.000000,4.550000,4.600000,4.600000,14300
2023-09-20,4.500000,5.000000,4.010000,5.000000,5.000000,36500
2023-09-21,5.000000,5.240000,4.700000,4.990000,4.990000,31400
2023-09-22,5.000000,5.000000,4.550000,4.550000,4.550000,2900
2023-09-25,4.500000,4.990000,4.500000,4.990000,4.990000,1100
2023-09-26,4.700000,4.900000,4.600000,4.900000,4.900000,12400
2023-09-27,4.800000,4.880000,4.500000,4.880000,4.880000,6700
2023-09-28,4.800000,4.800000,4.550000,4.550000,4.550000,900
2023-09-29,4.730000,4.750000,4.730000,4.740000,4.740000,2900
2023-10-02,4.500000,4.600000,4.400000,4.600000,4.600000,3900
2023-10-03,4.600000,4.740000,4.300000,4.450000,4.450000,29500
2023-10-04,4.350000,4.590000,4.150000,4.550000,4.550000,8700
2023-10-05,4.500000,4.500000,4.400000,4.500000,4.500000,5700
2023-10-06,4.400000,4.400000,4.000000,4.150000,4.150000,72800
2023-10-10,4.200000,4.390000,4.110000,4.210000,4.210000,8000
2023-10-11,4.150000,4.240000,4.100000,4.100000,4.100000,22300
2023-10-12,4.200000,4.200000,4.100000,4.120000,4.120000,2800
2023-10-13,4.100000,4.190000,4.050000,4.100000,4.100000,21200
2023-10-16,4.000000,4.030000,3.960000,3.980000,3.980000,30100
2023-10-17,3.750000,3.870000,3.660000,3.680000,3.680000,91900
2023-10-18,3.750000,4.000000,3.750000,3.900000,3.900000,132000
2023-10-19,3.900000,3.900000,3.850000,3.850000,3.850000,2200
2023-10-20,3.900000,3.990000,3.850000,3.900000,3.900000,116600
2023-10-23,3.860000,4.000000,3.860000,4.000000,4.000000,4300
2023-10-24,3.900000,4.090000,3.900000,4.090000,4.090000,69900
2023-10-25,4.000000,4.250000,4.000000,4.250000,4.250000,159300
2023-10-26,4.230000,4.270000,4.100000,4.200000,4.200000,4600
2023-10-27,4.200000,4.800000,4.200000,4.800000,4.800000,6600
2023-10-30,4.800000,4.800000,4.450000,4.500000,4.500000,4900
2023-10-31,4.420000,4.450000,4.300000,4.400000,4.400000,39200
2023-11-01,4.380000,4.400000,4.320000,4.350000,4.350000,40000
2023-11-02,4.350000,4.500000,4.300000,4.480000,4.480000,78600
2023-11-03,4.470000,4.470000,4.230000,4.250000,4.250000,34700
2023-11-06,4.250000,4.300000,4.190000,4.200000,4.200000,24800
2023-11-07,4.260000,4.300000,4.120000,4.210000,4.210000,111700
2023-11-08,4.200000,4.200000,4.100000,4.110000,4.110000,619900
2023-11-09,4.130000,4.170000,3.970000,4.080000,4.080000,1316700
2023-11-10,4.080000,4.080000,3.950000,3.950000,3.950000,5400
