Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,8.080000,8.100000,7.770000,7.990000,7.943854,2014900
2022-04-29,8.020000,8.510000,8.000000,8.230000,8.182468,1918600
2022-05-02,7.900000,8.150000,7.840000,8.150000,8.102931,1492000
2022-05-03,8.190000,8.340000,8.060000,8.170000,8.122816,1185500
2022-05-04,8.200000,8.290000,7.910000,8.280000,8.232180,844400
2022-05-05,8.200000,8.320000,7.770000,7.900000,7.854375,1266000
2022-05-06,7.860000,7.890000,7.540000,7.720000,7.675415,1603900
2022-05-09,7.490000,7.490000,7.140000,7.160000,7.118649,1688400
2022-05-10,7.440000,7.440000,6.800000,6.900000,6.860150,2445500
2022-05-11,7.050000,7.400000,6.950000,7.040000,6.999342,1489700
2022-05-12,6.810000,6.960000,6.480000,6.580000,6.541998,2968000
2022-05-13,6.570000,6.910000,6.550000,6.760000,6.720959,1644600
2022-05-16,6.810000,7.110000,6.690000,6.940000,6.899920,1948700
2022-05-17,7.220000,7.450000,7.180000,7.370000,7.327436,1007500
2022-05-18,7.270000,7.460000,6.940000,7.040000,6.999342,1021600
2022-05-19,7.140000,7.440000,7.100000,7.330000,7.287667,1148200
2022-05-20,7.480000,7.510000,7.060000,7.200000,7.158418,1212600
2022-05-24,7.270000,7.330000,7.150000,7.210000,7.168360,604600
2022-05-25,7.240000,7.310000,7.040000,7.250000,7.208129,1036900
2022-05-26,7.250000,7.400000,7.210000,7.380000,7.337379,851500
2022-05-27,7.480000,7.530000,7.290000,7.410000,7.367205,700000
2022-05-30,7.500000,7.540000,7.440000,7.490000,7.446743,319300
2022-05-31,7.470000,7.550000,7.100000,7.240000,7.198186,1190800
2022-06-01,7.380000,7.430000,7.120000,7.180000,7.138533,587900
2022-06-02,7.430000,7.820000,7.420000,7.660000,7.615761,1717200
2022-06-03,7.650000,7.660000,7.340000,7.400000,7.357263,1234000
2022-06-06,7.490000,7.640000,7.400000,7.510000,7.466628,738900
2022-06-07,7.380000,7.640000,7.340000,7.630000,7.585935,610800
2022-06-08,7.520000,7.770000,7.510000,7.710000,7.665473,1232000
2022-06-09,7.670000,7.750000,7.160000,7.200000,7.158418,1955100
2022-06-10,7.030000,7.070000,6.830000,6.950000,6.909861,1219300
2022-06-13,6.740000,6.780000,6.460000,6.500000,6.462461,1263700
2022-06-14,6.540000,6.670000,6.500000,6.520000,6.482345,866800
2022-06-15,6.680000,6.790000,6.460000,6.590000,6.551941,817100
2022-06-16,6.320000,6.460000,6.060000,6.290000,6.253673,1195800
2022-06-17,6.250000,6.460000,6.170000,6.200000,6.164193,1440400
2022-06-20,6.180000,6.380000,6.120000,6.340000,6.303384,318100
2022-06-21,6.440000,6.440000,6.270000,6.300000,6.263616,643800
2022-06-22,6.000000,6.000000,5.760000,5.770000,5.736676,1291500
2022-06-23,5.650000,5.720000,5.180000,5.240000,5.209737,1511800
2022-06-24,5.230000,5.550000,5.230000,5.490000,5.458293,1763300
2022-06-27,5.560000,5.920000,5.520000,5.870000,5.836099,1112500
2022-06-28,5.930000,5.990000,5.650000,5.700000,5.667081,1099500
