Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,3.050000,3.240000,3.050000,3.200000,3.200000,65800
2022-04-29,3.250000,3.360000,3.150000,3.200000,3.200000,64800
2022-05-02,3.200000,3.230000,3.060000,3.150000,3.150000,101800
2022-05-03,3.120000,3.150000,3.040000,3.070000,3.070000,63900
2022-05-04,3.060000,3.060000,2.920000,2.940000,2.940000,119300
2022-05-05,2.910000,2.950000,2.800000,2.830000,2.830000,155900
2022-05-06,2.820000,2.890000,2.750000,2.810000,2.810000,108500
2022-05-09,2.760000,2.760000,2.610000,2.670000,2.670000,85700
2022-05-10,2.730000,2.730000,2.500000,2.540000,2.540000,35000
2022-05-11,2.580000,2.670000,2.450000,2.500000,2.500000,96000
2022-05-12,2.470000,2.540000,2.370000,2.450000,2.450000,106200
2022-05-13,2.500000,2.730000,2.470000,2.550000,2.550000,335700
2022-05-16,2.600000,2.620000,2.530000,2.620000,2.620000,104200
2022-05-17,2.690000,2.750000,2.660000,2.700000,2.700000,25100
2022-05-18,2.690000,2.690000,2.460000,2.480000,2.480000,82600
2022-05-19,2.410000,2.550000,2.380000,2.380000,2.380000,93400
2022-05-20,2.470000,2.470000,2.270000,2.300000,2.300000,116100
2022-05-24,2.440000,2.500000,2.180000,2.380000,2.380000,432200
2022-05-25,2.380000,2.450000,2.300000,2.360000,2.360000,46500
2022-05-26,2.320000,2.390000,2.320000,2.370000,2.370000,183800
2022-05-27,2.360000,2.360000,2.280000,2.310000,2.310000,82100
2022-05-30,2.330000,2.420000,2.310000,2.340000,2.340000,170200
2022-05-31,2.350000,2.350000,2.230000,2.290000,2.290000,135200
2022-06-01,2.280000,2.290000,2.150000,2.230000,2.230000,137400
2022-06-02,2.210000,2.350000,2.210000,2.330000,2.330000,35900
2022-06-03,2.320000,2.340000,2.220000,2.270000,2.270000,33800
2022-06-06,2.270000,2.270000,2.170000,2.210000,2.210000,53100
2022-06-07,2.190000,2.310000,2.100000,2.310000,2.310000,101900
2022-06-08,2.300000,2.350000,2.230000,2.270000,2.270000,39200
2022-06-09,2.250000,2.400000,2.250000,2.400000,2.400000,142500
2022-06-10,2.390000,2.390000,2.290000,2.360000,2.360000,22800
2022-06-13,2.350000,2.350000,2.150000,2.150000,2.150000,52400
2022-06-14,2.150000,2.160000,2.100000,2.100000,2.100000,55000
2022-06-15,2.150000,2.200000,2.100000,2.170000,2.170000,31100
2022-06-16,2.240000,2.240000,2.050000,2.060000,2.060000,86400
2022-06-17,2.060000,2.110000,2.050000,2.100000,2.100000,69100
2022-06-20,2.100000,2.110000,2.090000,2.090000,2.090000,4100
2022-06-21,2.110000,2.160000,1.910000,1.960000,1.960000,175500
2022-06-22,1.950000,2.010000,1.880000,1.930000,1.930000,253200
2022-06-23,2.000000,2.000000,1.890000,1.930000,1.930000,45000
2022-06-24,1.970000,2.160000,1.950000,2.110000,2.110000,87300
2022-06-27,2.200000,2.270000,2.120000,2.170000,2.170000,36700
2022-06-28,2.250000,2.250000,2.050000,2.100000,2.100000,26700
2022-06-29,2.120000,2.170000,1.990000,1.990000,1.990000,17400
2022-06-30,2.210000,2.210000,2.060000,2.120000,2.120000,52200
2022-07-04,2.200000,2.200000,2.020000,2.050000,2.050000,138400
2022-07-05,2.050000,2.050000,1.890000,1.920000,1.920000,200500
2022-07-06,1.900000,1.940000,1.850000,1.940000,1.940000,57400
2022-07-07,1.960000,2.000000,1.870000,1.890000,1.890000,177300
2022-07-08,1.910000,1.930000,1.860000,1.860000,1.860000,51200
2022-07-11,1.860000,1.910000,1.730000,1.840000,1.840000,282900
2022-07-12,1.820000,1.840000,1.750000,1.770000,1.770000,21600
2022-07-13,1.750000,1.860000,1.750000,1.820000,1.820000,28600
2022-07-14,1.800000,1.890000,1.730000,1.890000,1.890000,34100
2022-07-15,2.000000,2.190000,2.000000,2.130000,2.130000,179300
2022-07-18,2.190000,2.250000,2.040000,2.040000,2.040000,28700
2022-07-19,2.060000,2.060000,1.960000,2.010000,2.010000,6200
2022-07-20,2.190000,2.190000,1.950000,1.950000,1.950000,35400
2022-07-21,1.950000,1.970000,1.900000,1.900000,1.900000,87000
2022-07-22,1.930000,1.940000,1.880000,1.940000,1.940000,26200
2022-07-25,2.100000,2.100000,1.900000,2.000000,2.000000,24000
2022-07-26,2.060000,2.110000,2.020000,2.100000,2.100000,8800
2022-07-27,2.150000,2.270000,2.060000,2.270000,2.270000,35900
2022-07-28,2.240000,2.610000,2.230000,2.590000,2.590000,121500
2022-07-29,2.640000,2.880000,2.600000,2.710000,2.710000,130600
2022-08-02,2.670000,2.880000,2.650000,2.860000,2.860000,39800
2022-08-03,2.950000,2.950000,2.640000,2.710000,2.710000,127800
2022-08-04,2.870000,2.870000,2.690000,2.690000,2.690000,6600
2022-08-05,2.730000,2.800000,2.650000,2.790000,2.790000,21700
2022-08-08,2.850000,2.920000,2.850000,2.880000,2.880000,45200
2022-08-09,2.910000,3.400000,2.870000,3.110000,3.110000,252500
2022-08-10,3.090000,3.350000,3.080000,3.210000,3.210000,228200
2022-08-11,3.270000,3.350000,3.070000,3.090000,3.090000,72600
2022-08-12,3.080000,3.230000,3.070000,3.090000,3.090000,27900
2022-08-15,3.050000,3.150000,2.910000,3.120000,3.120000,96000
2022-08-16,3.100000,3.150000,2.920000,3.100000,3.100000,146200
2022-08-17,3.020000,3.120000,2.890000,2.890000,2.890000,84500
2022-08-18,2.920000,3.000000,2.920000,2.930000,2.930000,15200
2022-08-19,2.930000,2.930000,2.830000,2.830000,2.830000,18700
2022-08-22,2.790000,2.800000,2.710000,2.720000,2.720000,33300
2022-08-23,2.800000,2.800000,2.740000,2.800000,2.800000,7700
2022-08-24,2.800000,3.000000,2.790000,2.980000,2.980000,71600
2022-08-25,2.970000,2.970000,2.820000,2.840000,2.840000,47600
2022-08-26,2.870000,2.880000,2.620000,2.620000,2.620000,21800
2022-08-29,2.650000,2.700000,2.550000,2.570000,2.570000,30000
2022-08-30,2.560000,2.580000,2.480000,2.570000,2.570000,26100
2022-08-31,2.580000,2.580000,2.510000,2.560000,2.560000,17700
2022-09-01,2.530000,2.600000,2.490000,2.500000,2.500000,20300
2022-09-02,2.500000,2.690000,2.500000,2.570000,2.570000,9900
2022-09-06,2.580000,2.810000,2.570000,2.810000,2.810000,47900
2022-09-07,2.780000,3.000000,2.740000,2.980000,2.980000,47900
2022-09-08,3.030000,3.030000,2.870000,2.880000,2.880000,38500
2022-09-09,2.920000,3.060000,2.830000,2.980000,2.980000,150400
2022-09-12,2.980000,2.980000,2.900000,2.930000,2.930000,30400
2022-09-13,2.880000,3.030000,2.870000,2.960000,2.960000,36600
2022-09-14,2.930000,3.200000,2.910000,3.070000,3.070000,101400
2022-09-15,3.030000,3.090000,2.960000,2.990000,2.990000,14800
2022-09-16,2.970000,2.970000,2.800000,2.810000,2.810000,86600
2022-09-19,2.780000,2.850000,2.700000,2.810000,2.810000,61500
2022-09-20,2.810000,2.810000,2.720000,2.750000,2.750000,12500
2022-09-21,2.760000,2.830000,2.660000,2.720000,2.720000,33100
2022-09-22,2.620000,2.660000,2.470000,2.500000,2.500000,59600
2022-09-23,2.510000,2.540000,2.290000,2.310000,2.310000,50300
2022-09-26,2.690000,2.690000,2.150000,2.290000,2.290000,95100
2022-09-27,2.320000,2.350000,2.180000,2.320000,2.320000,29700
2022-09-28,2.410000,2.410000,2.250000,2.300000,2.300000,51300
2022-09-29,2.260000,2.350000,2.240000,2.340000,2.340000,40200
2022-09-30,2.300000,2.410000,2.290000,2.370000,2.370000,145500
2022-10-03,2.460000,2.660000,2.400000,2.450000,2.450000,19300
2022-10-04,2.470000,2.470000,2.130000,2.170000,2.170000,248700
2022-10-05,2.260000,2.260000,2.140000,2.210000,2.210000,35800
2022-10-06,2.200000,2.260000,2.150000,2.150000,2.150000,28600
2022-10-07,2.150000,2.180000,2.000000,2.000000,2.000000,49900
2022-10-11,1.980000,1.980000,1.730000,1.770000,1.770000,259700
2022-10-12,1.840000,1.840000,1.750000,1.790000,1.790000,237600
2022-10-13,1.840000,1.840000,1.750000,1.760000,1.760000,133800
2022-10-14,1.840000,1.840000,1.740000,1.800000,1.800000,85300
2022-10-17,1.880000,1.880000,1.630000,1.680000,1.680000,414100
2022-10-18,1.680000,1.790000,1.680000,1.790000,1.790000,60700
2022-10-19,1.750000,1.830000,1.710000,1.750000,1.750000,38600
2022-10-20,1.760000,1.820000,1.750000,1.800000,1.800000,147500
2022-10-21,1.780000,1.960000,1.780000,1.900000,1.900000,173600
2022-10-24,2.000000,2.000000,1.840000,1.920000,1.920000,132500
2022-10-25,1.990000,2.180000,1.910000,2.150000,2.150000,81900
2022-10-26,2.150000,2.460000,2.150000,2.420000,2.420000,188200
2022-10-27,2.420000,2.420000,2.240000,2.370000,2.370000,125100
2022-10-28,2.450000,2.450000,2.330000,2.400000,2.400000,11600
2022-10-31,2.450000,2.470000,2.400000,2.400000,2.400000,34300
2022-11-01,2.370000,2.420000,2.340000,2.410000,2.410000,208800
