Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,1.120000,1.260000,1.100000,1.200000,1.200000,518300
2022-04-29,1.200000,1.290000,1.190000,1.290000,1.290000,305800
2022-05-02,1.270000,1.370000,1.250000,1.300000,1.300000,136100
2022-05-03,1.290000,1.310000,1.160000,1.180000,1.180000,190500
2022-05-04,1.190000,1.240000,1.160000,1.220000,1.220000,135100
2022-05-05,1.210000,1.210000,1.140000,1.150000,1.150000,154300
2022-05-06,1.160000,1.180000,1.110000,1.150000,1.150000,87700
2022-05-09,1.120000,1.130000,1.060000,1.060000,1.060000,30700
2022-05-10,1.120000,1.120000,1.030000,1.060000,1.060000,50100
2022-05-11,1.080000,1.180000,1.030000,1.030000,1.030000,104600
2022-05-12,1.040000,1.080000,1.010000,1.030000,1.030000,50600
2022-05-13,1.040000,1.120000,1.040000,1.100000,1.100000,52800
2022-05-16,1.110000,1.200000,1.090000,1.150000,1.150000,50000
2022-05-17,1.150000,1.210000,1.150000,1.160000,1.160000,151800
2022-05-18,1.180000,1.180000,1.060000,1.100000,1.100000,24500
2022-05-19,1.110000,1.170000,1.110000,1.140000,1.140000,50700
2022-05-20,1.190000,1.210000,1.120000,1.190000,1.190000,88800
2022-05-24,1.240000,1.250000,1.160000,1.180000,1.180000,47100
2022-05-25,1.180000,1.220000,1.160000,1.190000,1.190000,40600
2022-05-26,1.190000,1.220000,1.160000,1.160000,1.160000,37500
2022-05-27,1.170000,1.210000,1.140000,1.170000,1.170000,57900
2022-05-30,1.190000,1.220000,1.190000,1.210000,1.210000,1300
2022-05-31,1.190000,1.200000,1.130000,1.130000,1.130000,32100
2022-06-01,1.140000,1.200000,1.090000,1.130000,1.130000,82600
2022-06-02,1.170000,1.240000,1.120000,1.180000,1.180000,88600
2022-06-03,1.200000,1.210000,1.160000,1.170000,1.170000,27800
2022-06-06,1.200000,1.230000,1.150000,1.210000,1.210000,51600
2022-06-07,1.180000,1.210000,1.160000,1.210000,1.210000,353500
2022-06-08,1.180000,1.200000,1.170000,1.200000,1.200000,4900
2022-06-09,1.190000,1.190000,1.120000,1.170000,1.170000,247100
2022-06-10,1.140000,1.170000,1.110000,1.170000,1.170000,43300
2022-06-13,1.190000,1.190000,1.070000,1.110000,1.110000,59800
2022-06-14,1.200000,1.200000,1.050000,1.110000,1.110000,49200
2022-06-15,1.160000,1.190000,1.100000,1.160000,1.160000,33800
2022-06-16,1.150000,1.160000,1.090000,1.110000,1.110000,92900
2022-06-17,1.150000,1.190000,1.060000,1.180000,1.180000,229200
2022-06-20,1.130000,1.180000,1.130000,1.130000,1.130000,700
2022-06-21,1.130000,1.180000,1.100000,1.180000,1.180000,28400
2022-06-22,1.190000,1.190000,1.130000,1.170000,1.170000,58500
2022-06-23,1.180000,1.180000,1.140000,1.160000,1.160000,212100
2022-06-24,1.200000,1.200000,1.080000,1.080000,1.080000,200000
2022-06-27,1.100000,1.110000,1.060000,1.070000,1.070000,17600
2022-06-28,1.170000,1.170000,1.030000,1.030000,1.030000,156100
2022-06-29,1.030000,1.080000,0.990000,1.080000,1.080000,48400
2022-06-30,1.040000,1.060000,1.020000,1.040000,1.040000,25700
2022-07-04,1.010000,1.050000,1.010000,1.050000,1.050000,16700
2022-07-05,1.010000,1.070000,1.010000,1.040000,1.040000,136200
2022-07-06,1.020000,1.040000,1.010000,1.020000,1.020000,132900
2022-07-07,1.040000,1.040000,1.020000,1.040000,1.040000,221700
2022-07-08,1.020000,1.030000,0.990000,1.020000,1.020000,38500
2022-07-11,1.030000,1.030000,1.000000,1.000000,1.000000,54100
2022-07-12,1.010000,1.010000,0.940000,0.950000,0.950000,30100
2022-07-13,0.930000,0.980000,0.900000,0.900000,0.900000,92500
2022-07-14,0.920000,0.920000,0.850000,0.850000,0.850000,19100
2022-07-15,0.880000,0.880000,0.830000,0.830000,0.830000,58300
2022-07-18,0.860000,0.890000,0.840000,0.850000,0.850000,167200
2022-07-19,0.860000,0.880000,0.850000,0.850000,0.850000,112000
2022-07-20,0.860000,0.860000,0.820000,0.850000,0.850000,66500
2022-07-21,0.860000,0.860000,0.830000,0.840000,0.840000,39200
2022-07-22,0.840000,0.860000,0.830000,0.850000,0.850000,84900
2022-07-25,0.850000,0.860000,0.830000,0.860000,0.860000,7900
2022-07-26,0.850000,0.850000,0.780000,0.790000,0.790000,44600
2022-07-27,0.800000,0.810000,0.780000,0.790000,0.790000,38000
2022-07-28,0.810000,0.810000,0.790000,0.790000,0.790000,27200
2022-07-29,0.810000,0.810000,0.730000,0.760000,0.760000,89600
2022-08-02,0.770000,0.800000,0.770000,0.780000,0.780000,209300
2022-08-03,0.780000,0.810000,0.780000,0.810000,0.810000,133500
2022-08-04,0.800000,0.800000,0.790000,0.790000,0.790000,29200
2022-08-05,0.810000,0.810000,0.750000,0.770000,0.770000,132400
2022-08-08,0.790000,0.790000,0.750000,0.750000,0.750000,386300
2022-08-09,0.760000,0.760000,0.720000,0.720000,0.720000,115900
2022-08-10,0.730000,0.750000,0.730000,0.740000,0.740000,42500
2022-08-11,0.740000,0.770000,0.730000,0.750000,0.750000,270700
2022-08-12,0.750000,0.750000,0.710000,0.720000,0.720000,276400
2022-08-15,0.680000,0.710000,0.650000,0.670000,0.670000,330500
2022-08-16,0.660000,0.680000,0.650000,0.650000,0.650000,211600
2022-08-17,0.700000,0.700000,0.630000,0.650000,0.650000,356000
2022-08-18,0.680000,0.680000,0.660000,0.660000,0.660000,171800
2022-08-19,0.680000,0.680000,0.660000,0.660000,0.660000,130300
2022-08-22,0.650000,0.660000,0.640000,0.650000,0.650000,34400
2022-08-23,0.650000,0.680000,0.620000,0.620000,0.620000,179000
2022-08-24,0.640000,0.650000,0.630000,0.630000,0.630000,149700
2022-08-25,0.650000,0.650000,0.640000,0.640000,0.640000,264900
2022-08-26,0.660000,0.660000,0.620000,0.640000,0.640000,154800
2022-08-29,0.640000,0.640000,0.630000,0.640000,0.640000,337000
2022-08-30,0.620000,0.620000,0.600000,0.600000,0.600000,21300
2022-08-31,0.610000,0.610000,0.590000,0.590000,0.590000,28000
2022-09-01,0.590000,0.600000,0.560000,0.560000,0.560000,68100
2022-09-02,0.570000,0.590000,0.570000,0.590000,0.590000,40000
2022-09-06,0.590000,0.620000,0.590000,0.620000,0.620000,62800
2022-09-07,0.600000,0.600000,0.570000,0.570000,0.570000,82200
2022-09-08,0.600000,0.600000,0.570000,0.580000,0.580000,44200
2022-09-09,0.610000,0.630000,0.610000,0.620000,0.620000,181700
2022-09-12,0.630000,0.660000,0.520000,0.650000,0.650000,534600
2022-09-13,0.650000,0.710000,0.640000,0.710000,0.710000,67800
2022-09-14,0.710000,0.790000,0.680000,0.790000,0.790000,125600
2022-09-15,0.780000,0.840000,0.780000,0.810000,0.810000,90500
