Date,Open,High,Low,Close,Adj Close,Volume
2022-04-29,42.500000,42.900002,40.799999,40.849998,40.849998,1618
2022-05-02,40.849998,42.549999,40.000000,40.000000,40.000000,394
2022-05-04,40.000000,41.450001,38.000000,39.049999,39.049999,1088
2022-05-05,39.049999,39.650002,37.099998,38.849998,38.849998,2303
2022-05-06,37.099998,37.150002,36.950001,36.950001,36.950001,2863
2022-05-09,38.750000,38.750000,35.150002,35.200001,35.200001,2087
2022-05-10,34.500000,36.900002,33.700001,33.700001,33.700001,2118
2022-05-11,35.000000,35.349998,32.500000,32.549999,32.549999,5946
2022-05-12,32.849998,33.700001,30.950001,30.950001,30.950001,3580
2022-05-13,32.400002,32.450001,30.049999,31.500000,31.500000,3831
2022-05-16,32.799999,33.000000,31.200001,32.049999,32.049999,3144
2022-05-17,33.000000,33.650002,31.049999,33.650002,33.650002,3659
2022-05-18,32.250000,35.299999,32.250000,35.299999,35.299999,5213
2022-05-19,35.299999,37.049999,35.299999,37.049999,37.049999,5709
2022-05-20,38.900002,38.900002,38.000000,38.900002,38.900002,4896
2022-05-23,40.700001,40.799999,40.700001,40.799999,40.799999,3969
2022-05-24,38.849998,42.500000,38.799999,40.200001,40.200001,19866
2022-05-25,41.849998,41.849998,38.250000,39.049999,39.049999,8426
2022-05-26,38.700001,40.700001,37.099998,37.099998,37.099998,3049
2022-05-27,38.250000,38.250000,35.250000,36.299999,36.299999,2466
2022-05-30,37.849998,38.099998,36.000000,37.250000,37.250000,13549
2022-05-31,36.500000,38.099998,35.400002,35.700001,35.700001,6045
2022-06-01,33.950001,37.349998,33.950001,35.099998,35.099998,2382
2022-06-02,36.849998,36.849998,34.599998,35.750000,35.750000,5501
2022-06-03,34.750000,37.500000,34.000000,34.549999,34.549999,3667
2022-06-06,35.349998,35.349998,34.000000,34.700001,34.700001,2077
2022-06-07,33.099998,33.099998,31.250000,31.600000,31.600000,17336
2022-06-08,32.450001,32.450001,31.500000,32.000000,32.000000,2107
2022-06-09,32.000000,33.349998,31.799999,33.349998,33.349998,1287
2022-06-10,31.200001,34.150002,31.200001,32.849998,32.849998,1264
2022-06-13,31.000000,32.799999,29.700001,32.599998,32.599998,556
2022-06-14,33.250000,33.250000,30.250000,32.750000,32.750000,1640
2022-06-15,31.500000,33.650002,30.850000,33.099998,33.099998,292
2022-06-16,33.099998,33.099998,30.150000,30.200001,30.200001,1648
2022-06-17,29.000000,32.000000,29.000000,31.500000,31.500000,830
2022-06-20,32.150002,32.150002,28.350000,28.350000,28.350000,1379
2022-06-21,30.350000,30.400000,25.549999,26.850000,26.850000,3505
2022-06-22,28.500000,28.500000,24.400000,25.850000,25.850000,1174
2022-06-23,26.000000,26.500000,25.450001,26.000000,26.000000,1007
2022-06-24,25.850000,25.850000,24.700001,24.700001,24.700001,1964
2022-06-27,25.200001,25.900000,25.200001,25.900000,25.900000,2200
2022-06-28,27.150000,27.150000,26.049999,27.150000,27.150000,991
2022-06-29,27.150000,28.500000,26.049999,28.500000,28.500000,2751
2022-06-30,29.799999,29.900000,28.500000,29.799999,29.799999,3144
2022-07-01,30.799999,31.250000,30.100000,31.200001,31.200001,4112
2022-07-04,32.450001,32.750000,31.000000,32.750000,32.750000,2270
2022-07-05,33.900002,34.250000,31.150000,31.200001,31.200001,3060
2022-07-06,32.500000,32.500000,29.799999,30.100000,30.100000,662
2022-07-07,30.450001,30.950001,28.850000,29.250000,29.250000,938
2022-07-08,29.900000,29.900000,28.100000,28.299999,28.299999,335
2022-07-11,29.600000,29.700001,29.600000,29.700001,29.700001,1078
2022-07-12,31.100000,31.150000,30.500000,31.150000,31.150000,2559
2022-07-13,32.599998,32.700001,31.350000,32.700001,32.700001,1357
2022-07-14,32.049999,33.900002,31.600000,33.599998,33.599998,671
2022-07-15,33.599998,33.900002,32.099998,33.900002,33.900002,457
2022-07-18,34.000000,34.000000,32.549999,33.950001,33.950001,825
2022-07-19,33.950001,33.950001,32.349998,32.549999,32.549999,1539
2022-07-20,31.299999,32.150002,31.299999,32.099998,32.099998,466
2022-07-21,33.299999,33.450001,31.000000,32.250000,32.250000,3324
2022-07-22,30.700001,33.750000,30.700001,32.700001,32.700001,1542
2022-07-25,33.150002,33.150002,31.299999,33.099998,33.099998,4111
2022-07-26,34.750000,34.750000,33.000000,34.000000,34.000000,5238
2022-07-27,32.400002,34.450001,32.400002,34.450001,34.450001,1174
2022-07-28,32.799999,35.450001,32.799999,33.000000,33.000000,4244
2022-07-29,31.600000,33.950001,31.600000,32.950001,32.950001,2091
2022-08-01,34.200001,34.549999,34.200001,34.549999,34.549999,2022
2022-08-02,36.250000,36.250000,36.250000,36.250000,36.250000,2109
2022-08-03,38.049999,38.049999,38.049999,38.049999,38.049999,4242
2022-08-04,39.950001,39.950001,39.950001,39.950001,39.950001,16367
2022-08-05,43.500000,43.500000,38.500000,39.400002,39.400002,11716
2022-08-08,42.650002,42.650002,36.049999,37.349998,37.349998,7412
2022-08-10,37.250000,37.250000,34.450001,35.000000,35.000000,6692
2022-08-11,35.000000,37.950001,34.599998,35.000000,35.000000,4149
2022-08-12,36.349998,36.349998,33.650002,34.250000,34.250000,1158
2022-08-16,37.650002,37.650002,34.049999,34.500000,34.500000,5950
2022-08-17,35.000000,37.950001,34.000000,36.650002,36.650002,2555
2022-08-18,36.650002,37.000000,34.549999,36.950001,36.950001,3934
2022-08-19,38.799999,38.799999,35.299999,35.950001,35.950001,4526
2022-08-22,38.299999,38.299999,34.599998,35.700001,35.700001,4131
2022-08-23,36.450001,37.599998,33.200001,36.099998,36.099998,3564
2022-08-24,37.950001,37.950001,35.700001,35.750000,35.750000,3459
2022-08-25,35.549999,36.000000,35.000000,35.849998,35.849998,2867
2022-08-26,34.700001,37.450001,33.150002,35.500000,35.500000,6808
2022-08-29,37.000000,37.000000,34.099998,34.799999,34.799999,7144
