Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,4.960000,4.960000,4.500000,4.610000,4.610000,231084
2022-04-29,4.610000,4.840000,4.380000,4.410000,4.410000,546813
2022-05-02,4.210000,4.620000,4.210000,4.560000,4.560000,190561
2022-05-04,4.620000,4.750000,4.340000,4.340000,4.340000,218741
2022-05-05,4.130000,4.400000,4.130000,4.200000,4.200000,148334
2022-05-06,4.180000,4.190000,3.990000,4.100000,4.100000,80008
2022-05-09,4.150000,4.290000,3.900000,3.930000,3.930000,70644
2022-05-10,4.100000,4.100000,3.740000,3.760000,3.760000,120462
2022-05-11,3.590000,3.940000,3.590000,3.830000,3.830000,46642
2022-05-12,3.940000,3.940000,3.650000,3.790000,3.790000,81539
2022-05-13,3.960000,3.970000,3.840000,3.870000,3.870000,103017
2022-05-16,3.870000,4.060000,3.850000,4.060000,4.060000,63689
2022-05-17,4.070000,4.260000,3.920000,4.240000,4.240000,76652
2022-05-18,4.400000,4.450000,4.030000,4.050000,4.050000,77101
2022-05-19,4.240000,4.240000,3.900000,4.080000,4.080000,63420
2022-05-20,4.220000,4.220000,3.980000,4.000000,4.000000,50857
2022-05-23,4.000000,4.000000,3.800000,3.860000,3.860000,71605
2022-05-24,3.950000,4.050000,3.820000,3.940000,3.940000,36966
2022-05-25,4.020000,4.080000,3.800000,3.830000,3.830000,13889
2022-05-26,3.800000,3.940000,3.650000,3.800000,3.800000,118895
2022-05-27,3.800000,3.990000,3.700000,3.990000,3.990000,75689
2022-05-30,3.830000,4.140000,3.810000,3.890000,3.890000,54312
2022-05-31,3.860000,4.070000,3.730000,3.970000,3.970000,40040
2022-06-01,3.820000,4.050000,3.800000,3.850000,3.850000,63470
2022-06-02,3.800000,3.920000,3.660000,3.680000,3.680000,80008
2022-06-03,3.830000,3.830000,3.530000,3.670000,3.670000,30819
2022-06-06,3.800000,3.800000,3.530000,3.730000,3.730000,21569
2022-06-07,3.890000,3.890000,3.550000,3.550000,3.550000,89417
2022-06-08,3.550000,3.700000,3.440000,3.630000,3.630000,34712
2022-06-09,3.520000,3.630000,3.450000,3.550000,3.550000,32591
2022-06-10,3.400000,3.680000,3.400000,3.600000,3.600000,53464
2022-06-13,3.690000,3.690000,3.490000,3.590000,3.590000,47671
2022-06-14,3.600000,3.670000,3.500000,3.600000,3.600000,25714
2022-06-15,3.750000,3.750000,3.420000,3.430000,3.430000,67656
2022-06-16,3.500000,3.600000,3.270000,3.510000,3.510000,41703
2022-06-17,3.590000,3.600000,3.340000,3.380000,3.380000,96804
2022-06-20,3.450000,3.520000,3.220000,3.320000,3.320000,51422
2022-06-21,3.190000,3.450000,3.190000,3.370000,3.370000,17812
2022-06-22,3.260000,3.380000,3.210000,3.210000,3.210000,23154
2022-06-23,3.210000,3.250000,3.050000,3.080000,3.080000,6453
2022-06-24,3.050000,3.230000,3.000000,3.070000,3.070000,45848
2022-06-27,3.150000,3.220000,3.100000,3.190000,3.190000,16602
2022-06-28,3.050000,3.250000,3.050000,3.220000,3.220000,47927
2022-06-29,3.320000,3.320000,3.090000,3.100000,3.100000,17541
2022-06-30,3.200000,3.200000,3.070000,3.170000,3.170000,15397
2022-07-01,3.320000,3.320000,3.080000,3.240000,3.240000,6144
2022-07-04,3.290000,3.400000,3.160000,3.380000,3.380000,27848
2022-07-05,3.490000,3.500000,3.310000,3.430000,3.430000,10965
2022-07-06,3.400000,3.540000,3.310000,3.340000,3.340000,36705
2022-07-07,3.500000,3.500000,3.360000,3.490000,3.490000,23294
2022-07-08,3.460000,3.600000,3.460000,3.530000,3.530000,17524
2022-07-11,3.600000,3.600000,3.420000,3.460000,3.460000,12640
2022-07-12,3.530000,3.590000,3.350000,3.450000,3.450000,18533
2022-07-13,3.520000,3.530000,3.330000,3.410000,3.410000,24601
2022-07-14,3.320000,3.480000,3.240000,3.240000,3.240000,23602
2022-07-15,3.250000,3.330000,3.110000,3.320000,3.320000,37505
2022-07-18,3.450000,3.470000,3.220000,3.450000,3.450000,51951
2022-07-19,3.550000,3.610000,3.350000,3.520000,3.520000,66984
2022-07-20,3.600000,3.630000,3.350000,3.540000,3.540000,51836
2022-07-21,3.450000,3.570000,3.400000,3.430000,3.430000,28153
2022-07-22,3.450000,3.530000,3.320000,3.340000,3.340000,22585
2022-07-25,3.350000,3.380000,3.180000,3.340000,3.340000,96089
2022-07-26,3.200000,3.370000,3.200000,3.270000,3.270000,35287
2022-07-27,3.200000,3.380000,3.200000,3.310000,3.310000,8068
2022-07-28,3.170000,3.310000,3.170000,3.190000,3.190000,12162
2022-07-29,3.300000,3.300000,3.040000,3.040000,3.040000,38936
2022-08-01,3.000000,3.040000,2.910000,2.910000,2.910000,37387
2022-08-02,2.810000,3.050000,2.810000,3.050000,3.050000,66250
2022-08-03,3.000000,3.190000,2.900000,2.900000,2.900000,99022
2022-08-04,2.990000,2.990000,2.800000,2.950000,2.950000,32493
2022-08-05,3.050000,3.050000,2.850000,3.030000,3.030000,31635
2022-08-08,2.950000,3.040000,2.880000,2.910000,2.910000,69212
2022-08-10,2.780000,2.880000,2.780000,2.810000,2.810000,63171
2022-08-11,2.810000,2.950000,2.670000,2.950000,2.950000,251333
2022-08-12,3.050000,3.090000,2.880000,3.020000,3.020000,70688
2022-08-16,3.100000,3.100000,2.930000,3.000000,3.000000,33806
2022-08-17,3.000000,3.140000,2.920000,3.050000,3.050000,6837
2022-08-18,3.150000,3.200000,2.900000,2.960000,2.960000,84080
2022-08-19,3.000000,3.100000,2.900000,2.910000,2.910000,73450
2022-08-22,2.900000,3.050000,2.770000,3.050000,3.050000,475922
2022-08-23,3.190000,3.190000,2.950000,3.110000,3.110000,16429
2022-08-24,3.000000,3.260000,2.990000,3.260000,3.260000,52978
2022-08-25,3.400000,3.420000,3.200000,3.420000,3.420000,126502
2022-08-26,3.590000,3.590000,3.450000,3.510000,3.510000,44748
2022-08-29,3.550000,3.680000,3.350000,3.590000,3.590000,112364
2022-08-30,3.750000,3.750000,3.490000,3.530000,3.530000,83162
2022-09-01,3.500000,3.640000,3.360000,3.360000,3.360000,127521
2022-09-02,3.200000,3.420000,3.200000,3.200000,3.200000,40691
2022-09-05,3.200000,3.350000,3.060000,3.140000,3.140000,28287
2022-09-06,3.260000,3.260000,2.990000,3.020000,3.020000,422596
2022-09-07,3.050000,3.140000,2.930000,3.000000,3.000000,48020
2022-09-08,3.100000,3.150000,2.930000,3.140000,3.140000,200840
