Date,Open,High,Low,Close,Adj Close,Volume
2022-04-29,3.260000,3.420000,3.100000,3.230000,3.230000,11622
2022-05-02,3.200000,3.300000,3.110000,3.260000,3.260000,2027
2022-05-04,3.350000,3.350000,3.100000,3.100000,3.100000,13818
2022-05-05,3.100000,3.200000,3.000000,3.090000,3.090000,13959
2022-05-06,3.050000,3.220000,2.970000,3.160000,3.160000,13120
2022-05-09,3.310000,3.310000,3.030000,3.100000,3.100000,2946
2022-05-10,3.230000,3.230000,2.950000,2.960000,2.960000,20017
2022-05-11,2.820000,3.100000,2.820000,2.820000,2.820000,12109
2022-05-12,2.900000,2.900000,2.680000,2.700000,2.700000,14372
2022-05-13,2.650000,2.830000,2.570000,2.690000,2.690000,7489
2022-05-16,2.690000,2.820000,2.570000,2.760000,2.760000,8619
2022-05-17,2.760000,2.870000,2.660000,2.850000,2.850000,24979
2022-05-18,2.850000,2.960000,2.850000,2.860000,2.860000,9498
2022-05-19,2.940000,2.940000,2.760000,2.900000,2.900000,6726
2022-05-20,3.040000,3.040000,2.760000,2.880000,2.880000,9876
2022-05-23,3.020000,3.020000,2.740000,2.850000,2.850000,18242
2022-05-24,2.950000,2.950000,2.710000,2.710000,2.710000,18439
2022-05-25,2.700000,2.740000,2.580000,2.700000,2.700000,17420
2022-05-26,2.820000,2.820000,2.570000,2.600000,2.600000,15431
2022-05-27,2.700000,2.700000,2.500000,2.600000,2.600000,5168
2022-05-30,2.730000,2.730000,2.500000,2.640000,2.640000,5615
2022-05-31,2.550000,2.760000,2.520000,2.760000,2.760000,7005
2022-06-01,2.810000,2.850000,2.650000,2.750000,2.750000,9383
2022-06-02,2.750000,2.850000,2.650000,2.760000,2.760000,12123
2022-06-03,2.880000,2.880000,2.660000,2.690000,2.690000,5248
2022-06-06,2.800000,2.800000,2.560000,2.650000,2.650000,20447
2022-06-07,2.720000,2.720000,2.520000,2.520000,2.520000,29661
2022-06-08,2.640000,2.640000,2.430000,2.490000,2.490000,3339
2022-06-09,2.550000,2.550000,2.410000,2.550000,2.550000,4689
2022-06-10,2.600000,2.600000,2.430000,2.590000,2.590000,9342
2022-06-13,2.640000,2.640000,2.480000,2.590000,2.590000,1305
2022-06-14,2.590000,2.650000,2.500000,2.640000,2.640000,3289
2022-06-15,2.640000,2.710000,2.530000,2.620000,2.620000,1707
2022-06-16,2.730000,2.730000,2.490000,2.490000,2.490000,33426
2022-06-17,2.370000,2.610000,2.370000,2.480000,2.480000,27238
2022-06-20,2.590000,2.590000,2.380000,2.450000,2.450000,3411
2022-06-21,2.450000,2.550000,2.330000,2.330000,2.330000,42404
2022-06-22,2.400000,2.400000,2.220000,2.290000,2.290000,4920
2022-06-23,2.350000,2.350000,2.180000,2.190000,2.190000,8222
2022-06-24,2.260000,2.270000,2.120000,2.130000,2.130000,7534
2022-06-27,2.220000,2.220000,2.050000,2.190000,2.190000,5969
2022-06-28,2.250000,2.290000,2.250000,2.270000,2.270000,7719
2022-06-29,2.270000,2.270000,2.160000,2.210000,2.210000,4001
2022-06-30,2.300000,2.310000,2.250000,2.300000,2.300000,3691
2022-07-01,2.300000,2.300000,2.190000,2.290000,2.290000,5604
2022-07-04,2.290000,2.290000,2.180000,2.240000,2.240000,14307
2022-07-05,2.300000,2.300000,2.130000,2.150000,2.150000,21527
2022-07-06,2.090000,2.220000,2.080000,2.090000,2.090000,7532
2022-07-07,2.190000,2.190000,2.010000,2.130000,2.130000,3213
2022-07-08,2.220000,2.220000,2.100000,2.220000,2.220000,7156
2022-07-11,2.300000,2.300000,2.160000,2.300000,2.300000,2458
2022-07-12,2.360000,2.360000,2.220000,2.340000,2.340000,4341
2022-07-13,2.440000,2.450000,2.270000,2.400000,2.400000,2507
2022-07-14,2.450000,2.510000,2.280000,2.380000,2.380000,9701
2022-07-15,2.380000,2.470000,2.280000,2.370000,2.370000,11859
2022-07-18,2.440000,2.480000,2.300000,2.470000,2.470000,18571
2022-07-19,2.530000,2.530000,2.350000,2.350000,2.350000,6307
2022-07-20,2.460000,2.460000,2.240000,2.250000,2.250000,19658
2022-07-21,2.360000,2.360000,2.200000,2.350000,2.350000,7014
2022-07-22,2.460000,2.460000,2.260000,2.400000,2.400000,5397
2022-07-25,2.400000,2.480000,2.290000,2.310000,2.310000,7071
2022-07-26,2.200000,2.300000,2.200000,2.300000,2.300000,5064
2022-07-27,2.390000,2.410000,2.190000,2.350000,2.350000,16936
2022-07-28,2.350000,2.350000,2.250000,2.300000,2.300000,2440
2022-07-29,2.250000,2.360000,2.200000,2.350000,2.350000,7393
2022-08-01,2.400000,2.410000,2.250000,2.400000,2.400000,3615
2022-08-02,2.500000,2.500000,2.320000,2.430000,2.430000,6862
2022-08-03,2.430000,2.530000,2.320000,2.450000,2.450000,22133
2022-08-04,2.570000,2.570000,2.360000,2.400000,2.400000,16002
2022-08-05,2.400000,2.520000,2.400000,2.510000,2.510000,15168
2022-08-08,2.510000,2.630000,2.510000,2.630000,2.630000,19009
2022-08-10,2.750000,2.750000,2.570000,2.730000,2.730000,16050
2022-08-11,2.750000,2.750000,2.600000,2.660000,2.660000,19943
2022-08-12,2.730000,2.790000,2.530000,2.700000,2.700000,15731
2022-08-16,2.690000,2.740000,2.570000,2.590000,2.590000,20850
2022-08-17,2.710000,2.710000,2.500000,2.550000,2.550000,8874
2022-08-18,2.500000,2.600000,2.470000,2.500000,2.500000,6435
2022-08-19,2.400000,2.620000,2.400000,2.620000,2.620000,14711
2022-08-22,2.740000,2.740000,2.490000,2.710000,2.710000,13447
2022-08-23,2.710000,2.710000,2.600000,2.690000,2.690000,13563
2022-08-24,2.790000,2.790000,2.590000,2.680000,2.680000,4222
2022-08-25,2.800000,2.800000,2.640000,2.680000,2.680000,13899
2022-08-26,2.650000,2.760000,2.550000,2.560000,2.560000,20058
2022-08-29,2.680000,2.680000,2.520000,2.520000,2.520000,5381
2022-08-30,2.620000,2.620000,2.400000,2.400000,2.400000,55521
2022-09-01,2.450000,2.450000,2.340000,2.350000,2.350000,5895
2022-09-02,2.300000,2.390000,2.240000,2.290000,2.290000,26859
2022-09-05,2.300000,2.380000,2.300000,2.310000,2.310000,10933
2022-09-06,2.310000,2.410000,2.310000,2.370000,2.370000,12456
2022-09-07,2.480000,2.480000,2.370000,2.480000,2.480000,27018
2022-09-08,2.560000,2.560000,2.400000,2.490000,2.490000,13496
2022-09-09,2.490000,2.610000,2.410000,2.600000,2.600000,15892
2022-09-12,2.600000,2.660000,2.480000,2.570000,2.570000,7440
2022-09-13,2.500000,2.690000,2.450000,2.660000,2.660000,43133
