Date,Open,High,Low,Close,Adj Close,Volume
2022-04-29,242.600006,242.600006,230.449997,232.000000,230.342651,8530
2022-05-02,null,null,null,null,null,null
2022-05-04,231.250000,239.699997,224.000000,226.000000,224.385498,22433
2022-05-05,228.899994,232.899994,227.199997,227.850006,226.222305,6847
2022-05-06,213.000000,228.550003,213.000000,224.100006,222.499084,6905
2022-05-09,221.000000,236.050003,221.000000,224.250000,222.648010,6090
2022-05-10,230.000000,231.750000,210.699997,213.949997,212.421585,5544
2022-05-11,216.000000,223.149994,204.300003,208.850006,207.358032,6162
2022-05-12,200.000000,207.199997,195.899994,201.449997,200.010880,12220
2022-05-13,205.399994,223.899994,205.399994,214.050003,212.520874,2462
2022-05-16,218.750000,222.949997,212.000000,217.649994,216.095154,2387
2022-05-17,220.050003,220.050003,213.949997,218.199997,216.641235,2145
2022-05-18,220.800003,224.550003,211.399994,214.300003,212.769104,5673
2022-05-19,210.000000,217.399994,208.250000,216.699997,215.151947,3865
2022-05-20,219.800003,221.000000,216.750000,219.500000,217.931946,5929
2022-05-23,220.550003,224.550003,215.199997,222.300003,220.711945,3627
2022-05-24,223.050003,224.449997,214.000000,217.050003,215.499451,924
2022-05-25,218.850006,220.000000,207.000000,208.550003,207.060165,1955
2022-05-26,208.000000,210.350006,202.949997,210.100006,208.599106,1720
2022-05-27,211.300003,212.699997,207.550003,209.699997,208.201950,720
2022-05-30,215.300003,216.000000,211.300003,215.149994,213.613007,1309
2022-05-31,215.199997,219.399994,213.550003,215.949997,214.407303,2993
2022-06-01,222.399994,222.399994,215.100006,216.550003,215.003021,1983
2022-06-02,217.750000,218.850006,215.000000,217.199997,215.648376,872
2022-06-03,219.800003,219.850006,208.300003,210.500000,208.996231,2157
2022-06-06,210.600006,211.199997,208.000000,209.300003,207.804825,4552
2022-06-07,209.949997,211.050003,207.399994,208.500000,207.010529,1775
2022-06-08,208.300003,209.050003,200.250000,202.750000,201.301605,1815
2022-06-09,203.000000,203.100006,198.699997,201.899994,200.457672,1573
2022-06-10,206.800003,206.800003,197.000000,201.449997,200.010880,2352
2022-06-13,198.850006,202.350006,193.250000,200.000000,198.571243,1364
2022-06-14,198.000000,202.449997,197.000000,199.149994,197.727310,3209
2022-06-15,201.300003,201.500000,195.000000,196.300003,194.897690,1330
2022-06-16,198.000000,198.000000,169.750000,170.949997,169.728775,10550
2022-06-17,168.000000,174.750000,168.000000,174.449997,173.203766,6580
2022-06-20,177.750000,177.750000,155.250000,158.399994,157.268417,17292
2022-06-21,158.399994,176.800003,155.149994,174.550003,173.303055,9426
2022-06-22,178.399994,178.399994,165.000000,165.699997,165.178696,4135
2022-06-23,165.649994,171.000000,164.000000,167.600006,167.072723,1790
2022-06-24,169.100006,171.850006,165.000000,169.199997,168.667679,5336
2022-06-27,172.050003,174.300003,167.949997,169.050003,168.518158,2336
2022-06-28,170.149994,173.449997,169.800003,172.949997,172.405884,1427
2022-06-29,173.399994,174.699997,170.000000,170.899994,170.362335,1181
2022-06-30,172.800003,173.800003,169.600006,171.500000,170.960449,1471
2022-07-01,171.850006,172.100006,167.000000,168.449997,167.920044,1624
2022-07-04,169.649994,169.899994,164.100006,165.300003,164.779953,814
2022-07-05,166.899994,169.500000,165.800003,167.800003,167.272095,1290
2022-07-06,173.949997,173.949997,165.649994,171.250000,170.711243,4654
2022-07-07,178.800003,178.800003,171.699997,173.100006,172.555420,1700
2022-07-08,175.149994,178.050003,174.050003,175.300003,174.748505,3896
2022-07-11,173.050003,176.199997,170.449997,175.449997,174.898026,4049
2022-07-12,175.149994,175.149994,172.149994,173.850006,173.303070,4668
2022-07-13,173.250000,178.600006,170.649994,171.000000,170.462021,3984
2022-07-14,171.850006,172.500000,167.550003,170.000000,169.465164,1959
2022-07-15,169.699997,171.300003,166.350006,167.750000,167.222244,1965
2022-07-18,172.399994,172.399994,168.000000,170.449997,169.913757,785
2022-07-19,170.449997,171.850006,169.399994,170.850006,170.312500,7092
2022-07-20,171.350006,174.449997,170.000000,172.149994,171.608398,6699
2022-07-21,169.750000,179.649994,168.949997,176.850006,176.293625,12447
