Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,3.130000,3.280000,3.130000,3.280000,3.280000,50
2023-04-11,3.280000,3.280000,3.280000,3.280000,3.280000,0
2023-04-12,3.610000,3.610000,3.610000,3.610000,3.610000,10
2023-04-13,3.610000,3.610000,3.610000,3.610000,3.610000,0
2023-04-17,3.790000,3.790000,3.790000,3.790000,3.790000,600
2023-04-18,3.790000,3.790000,3.790000,3.790000,3.790000,0
2023-04-19,3.970000,3.970000,3.970000,3.970000,3.970000,10
2023-04-20,3.970000,3.970000,3.970000,3.970000,3.970000,0
2023-04-21,4.160000,4.160000,4.160000,4.160000,4.160000,10
2023-04-24,4.160000,4.160000,4.160000,4.160000,4.160000,0
2023-04-25,4.160000,4.160000,4.160000,4.160000,4.160000,0
2023-04-26,4.360000,4.360000,4.360000,4.360000,4.360000,100
2023-04-27,4.360000,4.360000,4.360000,4.360000,4.360000,0
2023-04-28,4.360000,4.360000,4.360000,4.360000,4.360000,0
2023-05-02,4.570000,4.570000,4.570000,4.570000,4.570000,100
2023-05-03,4.790000,4.790000,4.790000,4.790000,4.790000,695
2023-05-04,4.790000,4.790000,4.790000,4.790000,4.790000,0
2023-05-05,4.790000,4.790000,4.790000,4.790000,4.790000,0
2023-05-08,4.790000,4.790000,4.790000,4.790000,4.790000,0
2023-05-09,4.790000,4.790000,4.790000,4.790000,4.790000,0
2023-05-10,5.020000,5.020000,5.020000,5.020000,5.020000,10
2023-05-11,5.270000,5.270000,5.270000,5.270000,5.270000,100
2023-05-12,5.270000,5.270000,5.270000,5.270000,5.270000,0
2023-05-15,5.270000,5.270000,5.270000,5.270000,5.270000,0
2023-05-16,5.270000,5.270000,5.270000,5.270000,5.270000,0
2023-05-17,5.530000,5.530000,5.530000,5.530000,5.530000,16
2023-05-18,5.530000,5.530000,5.530000,5.530000,5.530000,0
2023-05-19,5.530000,5.530000,5.530000,5.530000,5.530000,0
2023-05-22,5.530000,5.530000,5.530000,5.530000,5.530000,0
2023-05-23,5.800000,5.800000,5.800000,5.800000,5.800000,300
2023-05-24,6.090000,6.090000,6.090000,6.090000,6.090000,10
2023-05-25,6.090000,6.090000,6.090000,6.090000,6.090000,0
2023-05-26,6.390000,6.390000,6.390000,6.390000,6.390000,100
2023-05-29,6.390000,6.390000,6.390000,6.390000,6.390000,0
2023-05-30,6.390000,6.390000,6.390000,6.390000,6.390000,0
2023-05-31,6.390000,6.390000,6.390000,6.390000,6.390000,0
2023-06-01,6.700000,6.700000,6.700000,6.700000,6.700000,50
2023-06-02,6.700000,6.700000,6.700000,6.700000,6.700000,0
2023-06-05,7.030000,7.030000,7.030000,7.030000,7.030000,1
2023-06-06,7.030000,7.030000,7.030000,7.030000,7.030000,0
2023-06-07,7.380000,7.380000,7.380000,7.380000,7.380000,100
2023-06-08,7.740000,7.740000,7.740000,7.740000,7.740000,25
2023-06-09,7.740000,7.740000,7.740000,7.740000,7.740000,0
2023-06-12,8.120000,8.120000,8.120000,8.120000,8.120000,10
2023-06-13,8.120000,8.120000,8.120000,8.120000,8.120000,0
2023-06-14,8.520000,8.520000,8.520000,8.520000,8.520000,105
2023-06-15,8.940000,8.940000,8.940000,8.940000,8.940000,7
2023-06-16,9.380000,9.380000,9.380000,9.380000,9.380000,1100
2023-06-19,9.380000,9.380000,9.380000,9.380000,9.380000,0
2023-06-20,9.380000,9.380000,9.380000,9.380000,9.380000,0
2023-06-21,9.380000,9.380000,9.380000,9.380000,9.380000,0
2023-06-22,9.380000,9.380000,9.380000,9.380000,9.380000,0
2023-06-23,9.380000,9.380000,9.380000,9.380000,9.380000,0
2023-06-26,9.560000,9.560000,9.560000,9.560000,9.560000,1640
2023-06-27,9.560000,9.560000,9.560000,9.560000,9.560000,0
2023-06-28,9.560000,9.560000,9.560000,9.560000,9.560000,0
2023-06-30,9.560000,9.560000,9.560000,9.560000,9.560000,0
2023-07-03,9.750000,9.750000,9.750000,9.750000,9.750000,2200
2023-07-04,9.750000,9.750000,9.750000,9.750000,9.750000,0
2023-07-05,9.750000,9.750000,9.750000,9.750000,9.750000,0
2023-07-06,9.750000,9.750000,9.750000,9.750000,9.750000,0
2023-07-07,9.750000,9.750000,9.750000,9.750000,9.750000,0
2023-07-10,9.940000,9.940000,9.940000,9.940000,9.940000,1447
2023-07-11,9.940000,9.940000,9.940000,9.940000,9.940000,0
2023-07-12,9.940000,9.940000,9.940000,9.940000,9.940000,0
