Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,57.750000,57.750000,54.900002,57.650002,57.650002,1239
2022-04-29,52.000000,62.750000,51.549999,58.700001,58.700001,304
2022-05-02,61.849998,61.849998,53.099998,58.150002,58.150002,1178
2022-05-04,59.349998,59.349998,55.099998,57.000000,57.000000,192
2022-05-05,57.000000,58.000000,57.000000,58.000000,58.000000,102
2022-05-06,56.000000,56.000000,53.200001,55.400002,55.400002,27
2022-05-09,54.299999,55.000000,51.650002,52.549999,52.549999,245
2022-05-10,52.549999,57.000000,46.049999,51.799999,51.799999,3383
2022-05-11,51.799999,53.599998,42.150002,44.750000,44.750000,6464
2022-05-12,48.400002,48.400002,46.500000,48.150002,48.150002,152
2022-05-13,48.150002,52.000000,48.150002,49.900002,49.900002,459
2022-05-16,49.000000,51.950001,48.650002,49.950001,49.950001,61
2022-05-17,49.700001,52.000000,45.000000,46.200001,46.200001,2627
2022-05-18,51.000000,51.400002,45.099998,46.299999,46.299999,2247
2022-05-19,47.349998,49.450001,46.799999,48.450001,48.450001,152
2022-05-20,48.500000,50.599998,47.500000,47.599998,47.599998,39
2022-05-23,46.500000,48.849998,44.099998,48.299999,48.299999,104
2022-05-24,48.000000,51.400002,47.000000,47.000000,47.000000,275
2022-05-25,44.250000,50.950001,44.250000,45.000000,45.000000,84
2022-05-26,44.200001,50.299999,44.150002,50.299999,50.299999,126
2022-05-27,48.000000,48.000000,42.299999,43.150002,43.150002,4773
2022-05-30,43.799999,43.799999,42.000000,43.150002,43.150002,1157
2022-05-31,42.099998,45.500000,42.099998,43.900002,43.900002,1312
2022-06-01,45.000000,46.900002,42.049999,45.900002,45.900002,2933
2022-06-02,46.950001,46.950001,44.450001,44.500000,44.500000,121
2022-06-03,44.250000,44.900002,42.299999,44.650002,44.650002,5100
2022-06-06,44.500000,46.599998,42.049999,46.549999,46.549999,73
2022-06-07,45.349998,45.349998,39.650002,42.549999,42.549999,948
2022-06-08,40.500000,45.900002,40.500000,43.000000,43.000000,2310
2022-06-09,42.500000,45.549999,41.250000,43.750000,43.750000,105
2022-06-10,43.750000,44.000000,40.849998,44.000000,44.000000,50
2022-06-13,45.950001,45.950001,41.750000,43.250000,43.250000,37
2022-06-14,43.000000,44.400002,43.000000,44.400002,44.400002,23
2022-06-15,44.400002,44.400002,43.049999,44.049999,44.049999,110
2022-06-16,43.799999,43.799999,41.299999,41.299999,41.299999,6
2022-06-17,40.950001,40.950001,38.099998,40.000000,40.000000,540
2022-06-20,39.000000,42.900002,34.200001,41.500000,41.500000,1054
2022-06-21,38.000000,40.450001,36.349998,37.500000,37.500000,3738
2022-06-22,39.900002,39.900002,36.049999,38.500000,38.500000,319
2022-06-23,41.400002,41.400002,41.349998,41.349998,41.349998,4
2022-06-24,39.900002,39.900002,39.900002,39.900002,39.900002,8
2022-06-27,40.099998,41.950001,40.000000,40.950001,40.950001,1032
2022-06-28,40.500000,40.500000,34.250000,37.150002,37.150002,2185
2022-06-29,39.500000,42.400002,38.250000,39.299999,39.299999,1409
2022-06-30,39.299999,39.299999,37.000000,37.000000,37.000000,302
2022-07-01,35.099998,41.700001,35.099998,41.700001,41.700001,165
2022-07-04,41.000000,41.000000,39.000000,40.500000,40.500000,427
2022-07-05,41.099998,41.099998,40.500000,41.099998,41.099998,47
2022-07-06,40.900002,44.599998,37.650002,39.000000,39.000000,505
2022-07-07,42.549999,44.950001,41.000000,41.849998,41.849998,97
2022-07-08,41.849998,43.500000,37.000000,37.650002,37.650002,1835
2022-07-11,44.950001,44.950001,37.000000,37.799999,37.799999,3863
2022-07-12,42.349998,42.349998,37.299999,37.500000,37.500000,199
2022-07-13,42.000000,44.650002,37.950001,38.000000,38.000000,199
2022-07-14,41.950001,41.950001,37.450001,39.849998,39.849998,457
2022-07-15,39.000000,41.700001,37.000000,37.250000,37.250000,2155
2022-07-18,37.299999,40.400002,36.099998,36.849998,36.849998,33
2022-07-19,39.500000,39.650002,36.950001,36.950001,36.950001,222
2022-07-20,37.000000,43.250000,37.000000,38.000000,38.000000,834
2022-07-21,42.200001,42.200001,37.849998,41.549999,41.549999,968
2022-07-22,38.500000,40.450001,36.750000,39.250000,39.250000,1697
2022-07-25,37.099998,43.000000,37.099998,41.200001,41.200001,343
2022-07-26,41.200001,41.200001,38.500000,38.500000,38.500000,156
2022-07-27,42.849998,42.849998,38.200001,38.500000,38.500000,297
2022-07-28,43.000000,43.000000,37.000000,39.500000,39.500000,1002
2022-07-29,39.000000,40.599998,38.299999,40.000000,40.000000,2060
2022-08-01,40.000000,40.299999,39.400002,39.750000,39.750000,321
2022-08-02,40.799999,40.849998,37.599998,39.150002,39.150002,336
2022-08-03,40.849998,40.849998,38.500000,39.000000,39.000000,64
2022-08-04,40.900002,42.950001,39.950001,40.500000,40.500000,2100
2022-08-05,40.549999,41.000000,40.000000,40.299999,40.299999,3377
2022-08-08,40.400002,40.950001,39.650002,40.200001,40.200001,547
2022-08-10,40.849998,40.950001,40.000000,40.000000,40.000000,91
2022-08-11,41.349998,41.349998,38.150002,38.150002,38.150002,57
2022-08-12,42.500000,42.500000,39.049999,41.099998,41.099998,309
2022-08-16,41.049999,41.049999,39.150002,39.450001,39.450001,4243
2022-08-17,39.500000,39.500000,39.000000,39.299999,39.299999,76
2022-08-18,40.000000,40.750000,38.400002,39.700001,39.700001,2278
2022-08-19,41.000000,41.000000,37.500000,38.099998,38.099998,1429
2022-08-22,40.700001,40.700001,38.500000,38.500000,38.500000,1442
2022-08-23,36.299999,39.200001,36.299999,39.000000,39.000000,1986
2022-08-24,38.900002,38.900002,37.500000,38.200001,38.200001,2
2022-08-25,38.500000,39.950001,38.500000,38.500000,38.500000,151
2022-08-26,38.500000,41.000000,36.549999,39.599998,39.599998,4385
2022-08-29,40.000000,40.599998,37.000000,40.150002,40.150002,4178
2022-08-30,39.500000,40.900002,38.650002,39.599998,39.599998,1222
2022-09-01,40.400002,43.950001,40.000000,40.000000,40.000000,6708
2022-09-02,39.900002,43.500000,39.900002,42.799999,42.799999,1257
2022-09-05,42.799999,42.799999,40.000000,40.150002,40.150002,1291
2022-09-06,40.000000,41.700001,40.000000,40.150002,40.150002,213
2022-09-07,40.000000,42.299999,40.000000,41.750000,41.750000,516
2022-09-08,42.849998,42.849998,41.000000,42.549999,42.549999,689
2022-09-09,42.250000,42.250000,39.650002,40.500000,40.500000,107
2022-09-12,40.049999,42.500000,40.049999,41.950001,41.950001,1898
2022-09-13,41.049999,42.500000,40.500000,41.950001,41.950001,992
2022-09-14,42.950001,47.900002,41.299999,42.549999,42.549999,3353
2022-09-15,38.650002,43.349998,38.650002,42.599998,42.599998,2414
2022-09-16,42.599998,42.799999,37.599998,41.000000,41.000000,2776
2022-09-19,40.799999,43.500000,40.799999,41.250000,41.250000,310
2022-09-20,43.000000,43.000000,41.250000,41.250000,41.250000,61
2022-09-21,41.299999,45.500000,41.200001,42.000000,42.000000,1259
2022-09-22,41.000000,41.500000,41.000000,41.200001,41.200001,239
2022-09-23,42.549999,44.000000,41.400002,42.900002,42.900002,2153
2022-09-26,39.400002,42.799999,39.400002,41.700001,41.700001,461
2022-09-27,41.700001,42.400002,40.750000,42.000000,42.000000,65
2022-09-28,42.750000,42.950001,41.000000,42.700001,42.700001,148
2022-09-29,39.299999,43.000000,39.299999,42.650002,42.650002,993
2022-09-30,43.900002,43.900002,41.000000,41.150002,41.150002,146
2022-10-03,41.000000,42.950001,41.000000,41.099998,41.099998,117
2022-10-04,42.799999,43.000000,41.049999,42.000000,42.000000,673
2022-10-06,41.150002,43.849998,41.150002,43.200001,43.200001,315
2022-10-07,44.000000,44.000000,43.299999,43.299999,43.299999,175
2022-10-10,44.000000,44.000000,42.000000,43.400002,43.400002,21075
2022-10-11,42.099998,43.400002,42.000000,43.400002,43.400002,10164
2022-10-12,42.750000,42.750000,42.500000,42.500000,42.500000,2
2022-10-13,42.500000,43.500000,42.000000,42.049999,42.049999,1859
2022-10-14,42.049999,43.299999,42.000000,42.049999,42.049999,408
2022-10-17,42.900002,43.700001,42.000000,42.000000,42.000000,1340
2022-10-18,44.349998,44.349998,42.000000,43.000000,43.000000,20319
2022-10-19,43.400002,49.700001,43.400002,43.549999,43.549999,661
2022-10-20,43.250000,44.049999,43.250000,44.049999,44.049999,13168
2022-10-21,47.000000,48.000000,44.000000,46.849998,46.849998,16300
2022-10-24,49.000000,49.000000,44.150002,45.500000,45.500000,2037
2022-10-25,44.650002,47.900002,44.250000,47.700001,47.700001,307
2022-10-27,45.000000,49.000000,44.900002,45.000000,45.000000,2044
2022-10-28,44.950001,47.900002,44.950001,45.500000,45.500000,3863
2022-10-31,45.049999,49.950001,45.000000,49.900002,49.900002,3255
2022-11-01,48.000000,48.950001,45.099998,45.849998,45.849998,613
2022-11-02,47.549999,47.549999,45.000000,45.000000,45.000000,6462
2022-11-03,49.450001,49.450001,45.500000,45.549999,45.549999,3432
2022-11-04,45.049999,46.000000,45.000000,45.849998,45.849998,1330
2022-11-07,46.000000,49.000000,43.349998,45.450001,45.450001,10680
2022-11-09,45.900002,46.000000,45.000000,45.750000,45.750000,4979
2022-11-10,47.700001,49.000000,47.700001,48.700001,48.700001,4
2022-11-11,55.750000,55.750000,45.700001,47.200001,47.200001,2725
2022-11-14,47.000000,47.000000,45.349998,46.950001,46.950001,1281
2022-11-15,47.000000,47.900002,46.799999,47.099998,47.099998,5317
2022-11-16,50.049999,50.049999,48.799999,49.000000,49.000000,27763
2022-11-17,50.000000,50.000000,49.000000,49.000000,49.000000,4867
2022-11-18,49.250000,50.000000,49.000000,49.000000,49.000000,3515
2022-11-21,49.099998,49.099998,48.500000,48.500000,48.500000,2694
2022-11-22,48.950001,48.950001,48.950001,48.950001,48.950001,138
2022-11-23,47.099998,49.000000,45.150002,47.200001,47.200001,2530
2022-11-24,55.349998,55.349998,47.000000,47.900002,47.900002,1857
2022-11-25,50.000000,50.000000,44.900002,48.849998,48.849998,783
2022-11-28,49.000000,49.000000,47.000000,47.250000,47.250000,1216
2022-11-29,48.950001,50.000000,48.000000,49.000000,49.000000,4342
2022-11-30,49.000000,50.000000,47.049999,47.200001,47.200001,196
2022-12-01,49.049999,49.049999,49.000000,49.000000,49.000000,4372
2022-12-02,49.000000,50.000000,49.000000,49.799999,49.799999,1536
2022-12-05,49.500000,50.000000,49.000000,50.000000,50.000000,4400
2022-12-06,50.000000,50.000000,49.000000,49.000000,49.000000,10336
2022-12-07,49.000000,49.000000,47.000000,48.950001,48.950001,8052
2022-12-08,48.950001,48.950001,47.299999,47.500000,47.500000,120
2022-12-09,47.750000,51.700001,45.049999,48.349998,48.349998,596
2022-12-12,49.799999,50.000000,49.799999,49.799999,49.799999,478
2022-12-13,50.000000,50.000000,46.599998,46.900002,46.900002,1133
2022-12-14,47.000000,47.599998,46.900002,47.599998,47.599998,225
2022-12-15,49.849998,49.849998,46.000000,46.450001,46.450001,3346
2022-12-16,49.000000,50.000000,48.000000,48.500000,48.500000,4009
2022-12-19,49.950001,51.400002,47.599998,50.099998,50.099998,7284
2022-12-20,51.500000,51.500000,49.000000,49.049999,49.049999,1062
2022-12-21,48.000000,49.500000,46.599998,46.599998,46.599998,2183
2022-12-22,46.599998,46.599998,46.599998,46.599998,46.599998,10
2022-12-23,45.000000,45.400002,44.299999,45.400002,45.400002,1382
2022-12-26,47.000000,47.250000,44.650002,44.700001,44.700001,465
2022-12-27,43.500000,47.799999,42.500000,44.799999,44.799999,412
2022-12-28,45.099998,47.099998,45.099998,47.000000,47.000000,791
2022-12-29,48.750000,49.250000,47.049999,49.049999,49.049999,369
2022-12-30,49.200001,49.200001,49.200001,49.200001,49.200001,100
2023-01-02,47.049999,49.950001,47.049999,49.849998,49.849998,72
2023-01-03,48.049999,48.400002,46.000000,46.000000,46.000000,2718
2023-01-04,45.549999,48.599998,45.000000,46.849998,46.849998,753
2023-01-05,44.099998,46.000000,44.099998,46.000000,46.000000,540
2023-01-06,46.950001,47.000000,44.299999,44.299999,44.299999,279
2023-01-09,43.450001,48.950001,43.450001,46.299999,46.299999,2212
2023-01-10,47.250000,50.900002,46.299999,49.049999,49.049999,9432
2023-01-11,51.000000,54.000000,49.000000,49.000000,49.000000,5713
2023-01-12,49.250000,50.900002,48.200001,48.200001,48.200001,266
2023-01-13,48.099998,52.400002,47.099998,48.299999,48.299999,751
2023-01-16,52.000000,52.000000,48.750000,49.650002,49.650002,1621
2023-01-17,52.000000,52.000000,47.099998,48.700001,48.700001,1737
2023-01-18,50.950001,50.950001,48.200001,49.049999,49.049999,916
2023-01-19,51.150002,51.150002,48.150002,48.650002,48.650002,1209
2023-01-20,52.950001,52.950001,48.500000,48.599998,48.599998,356
2023-01-23,48.549999,48.549999,47.599998,48.000000,48.000000,1697
2023-01-24,48.000000,48.000000,47.549999,47.549999,47.549999,834
2023-01-25,47.150002,50.799999,47.150002,49.049999,49.049999,168
2023-01-27,47.049999,53.900002,47.000000,49.900002,49.900002,6311
2023-01-30,48.000000,48.650002,44.049999,46.150002,46.150002,10292
2023-01-31,45.549999,50.000000,44.750000,47.200001,47.200001,805
2023-02-01,46.750000,46.750000,45.799999,46.200001,46.200001,200
2023-02-02,49.000000,49.000000,49.000000,49.000000,49.000000,1
2023-02-03,52.299999,52.299999,45.049999,46.400002,46.400002,3680
2023-02-06,45.000000,46.500000,45.000000,46.299999,46.299999,652
2023-02-07,49.950001,49.950001,49.950001,49.950001,49.950001,2
2023-02-08,51.400002,51.400002,47.700001,48.349998,48.349998,74
2023-02-09,48.099998,48.099998,46.549999,46.549999,46.549999,105
2023-02-10,50.000000,50.000000,46.549999,48.099998,48.099998,31
2023-02-13,48.099998,48.099998,48.099998,48.099998,48.099998,0
2023-02-14,51.950001,53.900002,49.299999,50.700001,50.700001,22494
2023-02-15,50.750000,52.450001,49.799999,50.099998,50.099998,2587
2023-02-16,50.000000,51.849998,48.299999,49.500000,49.500000,5306
2023-02-17,50.799999,52.400002,50.799999,50.900002,50.900002,501
2023-02-20,52.000000,52.000000,47.500000,48.200001,48.200001,1108
2023-02-21,51.549999,52.000000,47.500000,51.549999,51.549999,3683
2023-02-22,49.599998,49.900002,48.000000,48.950001,48.950001,626
2023-02-23,48.000000,53.549999,48.000000,50.250000,50.250000,4704
2023-02-24,49.000000,49.950001,48.400002,48.500000,48.500000,631
2023-02-27,51.900002,52.750000,48.000000,48.049999,48.049999,3111
2023-02-28,47.849998,50.950001,47.799999,50.450001,50.450001,1481
2023-03-01,51.049999,51.490002,48.310001,48.599998,48.599998,1200
2023-03-02,52.990002,52.990002,48.700001,50.639999,50.639999,281
2023-03-03,48.000000,52.500000,48.000000,51.000000,51.000000,1598
2023-03-06,51.000000,51.000000,50.000000,50.000000,50.000000,161
2023-03-08,51.900002,51.900002,48.000000,48.020000,48.020000,1542
2023-03-09,50.330002,51.500000,50.330002,51.259998,51.259998,1918
2023-03-10,51.189999,51.189999,48.520000,49.980000,49.980000,497
2023-03-13,51.220001,51.220001,47.000000,47.099998,47.099998,772
2023-03-14,49.000000,51.980000,48.200001,48.980000,48.980000,3574
2023-03-15,50.000000,51.849998,47.110001,49.320000,49.320000,2190
2023-03-16,51.000000,51.000000,47.200001,51.000000,51.000000,2192
2023-03-17,50.000000,51.000000,50.000000,51.000000,51.000000,2012
2023-03-20,51.000000,51.009998,48.110001,49.150002,49.150002,397
2023-03-21,48.160000,50.849998,47.000000,48.570000,48.570000,1549
2023-03-22,51.970001,51.970001,48.990002,51.900002,51.900002,3
2023-03-23,50.990002,50.990002,50.980000,50.980000,50.980000,151
2023-03-24,50.000000,50.000000,47.000000,47.000000,47.000000,1375
2023-03-27,47.500000,51.349998,47.000000,47.400002,47.400002,111
2023-03-28,46.000000,49.939999,44.119999,44.160000,44.160000,783
2023-03-29,44.400002,47.000000,44.320000,47.000000,47.000000,236
2023-03-31,50.990002,50.990002,47.500000,47.500000,47.500000,328
2023-04-03,49.990002,49.990002,46.000000,49.740002,49.740002,144
2023-04-05,48.740002,49.730000,48.740002,49.700001,49.700001,4
