Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,1.450000,1.510000,1.510000,1.450000,1.450000,2980
2022-04-29,1.450000,1.450000,1.450000,1.450000,1.450000,0
2022-05-03,1.500000,1.600000,1.340000,1.500000,1.500000,286679
2022-05-04,1.500000,1.598000,1.340000,1.500000,1.500000,462425
2022-05-05,1.500000,1.352000,1.352000,1.500000,1.500000,7000
2022-05-06,1.500000,1.500000,1.352000,1.450000,1.450000,200803
2022-05-09,1.450000,1.600000,1.600000,1.450000,1.450000,33124
2022-05-10,1.450000,1.700000,1.550000,1.450000,1.450000,200003
2022-05-11,1.500000,1.352000,1.352000,1.500000,1.500000,200000
2022-05-12,1.500000,1.550000,1.352000,1.500000,1.500000,300000
2022-05-13,1.500000,1.375000,1.375000,1.500000,1.500000,2771
2022-05-16,1.500000,1.650000,1.650000,1.500000,1.500000,575
2022-05-17,1.500000,1.550000,1.310000,1.500000,1.500000,226451
2022-05-18,1.500000,1.380000,1.380000,1.500000,1.500000,6451
2022-05-19,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-05-20,1.500000,1.300000,1.300000,1.500000,1.500000,3
2022-05-23,1.500000,1.380000,1.380000,1.500000,1.500000,4255
2022-05-24,1.500000,1.550000,1.550000,1.500000,1.500000,129
2022-05-25,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-05-26,1.500000,1.530000,1.380000,1.500000,1.500000,625000
2022-05-27,1.500000,1.530000,1.530000,1.500000,1.500000,250000
2022-05-30,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-05-31,1.500000,1.700000,1.475000,1.550000,1.550000,256250
2022-06-01,1.550000,1.700000,1.700000,1.500000,1.500000,200000
2022-06-06,1.500000,1.480000,1.480000,1.500000,1.500000,40000
2022-06-07,1.500000,1.600000,1.420000,1.500000,1.500000,1555572
2022-06-08,1.500000,1.540000,1.375000,1.500000,1.500000,400887
2022-06-09,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-10,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-13,1.500000,1.375000,1.375000,1.500000,1.500000,2000
2022-06-14,1.500000,1.650000,1.375000,1.500000,1.500000,371
2022-06-15,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-16,1.500000,1.425000,1.425000,1.500000,1.500000,30000
2022-06-17,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-20,1.500000,1.330000,1.330000,1.500000,1.500000,5000
2022-06-21,1.500000,1.380000,1.330000,1.500000,1.500000,35958
2022-06-22,1.500000,1.380000,1.310000,1.500000,1.500000,50055
2022-06-23,1.500000,1.500000,1.330000,1.500000,1.500000,400626
2022-06-24,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-27,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-06-28,1.500000,1.575000,1.330000,1.500000,1.500000,1334
2022-06-29,1.500000,1.699000,1.400000,1.500000,1.500000,210054
2022-06-30,1.500000,1.500000,1.500000,1.500000,1.500000,0
2022-07-01,1.500000,1.420000,1.420000,1.500000,1.500000,10000
2022-07-04,1.500000,1.700000,1.700000,1.650000,1.650000,300000
2022-07-05,1.650000,2.000000,1.800000,1.850000,1.850000,111253
2022-07-06,1.900000,1.980000,1.740000,1.900000,1.900000,141248
2022-07-07,1.900000,1.740000,1.720000,1.900000,1.900000,115000
2022-07-08,1.900000,1.950000,1.710000,1.900000,1.900000,3282
2022-07-11,1.900000,1.900000,1.900000,1.900000,1.900000,0
2022-07-12,1.900000,1.900000,1.900000,1.900000,1.900000,0
2022-07-13,1.900000,1.950000,1.950000,1.900000,1.900000,817
2022-07-14,1.900000,1.700000,1.700000,1.850000,1.850000,60000
2022-07-15,1.850000,1.850000,1.850000,1.850000,1.850000,0
2022-07-18,1.850000,1.850000,1.850000,1.850000,1.850000,0
2022-07-19,1.850000,1.850000,1.850000,1.850000,1.850000,0
2022-07-20,1.850000,1.700000,1.600000,1.850000,1.850000,287937
