Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,6.850000,6.840000,6.840000,6.850000,6.850000,1388
2022-04-29,6.850000,6.838000,6.838000,6.850000,6.850000,48875
2022-05-03,6.850000,6.800000,6.800000,6.850000,6.850000,5000
2022-05-04,6.850000,6.711000,6.711000,6.850000,6.850000,3354
2022-05-05,6.850000,6.850000,6.800000,6.850000,6.850000,105221
2022-05-06,6.850000,6.850000,6.850000,6.850000,6.850000,0
2022-05-09,6.550000,7.000000,6.200000,6.350000,6.350000,694978
2022-05-10,6.350000,6.497000,6.040000,6.350000,6.350000,43973
2022-05-11,6.350000,6.400000,6.295000,6.350000,6.350000,15476
2022-05-12,6.400000,6.970000,6.000000,6.100000,6.100000,300478
2022-05-13,6.100000,6.249000,6.000000,6.250000,6.250000,522562
2022-05-16,6.250000,6.200000,6.000000,6.125000,6.125000,122887
2022-05-17,6.125000,6.185000,6.036000,6.125000,6.125000,181520
2022-05-18,6.125000,6.100000,6.000000,6.050000,6.050000,47500
2022-05-19,6.050000,6.099000,6.000000,6.050000,6.050000,41843
2022-05-20,6.050000,6.070000,6.000000,6.050000,6.050000,98021
2022-05-23,6.050000,6.000000,6.000000,6.050000,6.050000,19000
2022-05-24,6.050000,6.065000,6.000000,6.050000,6.050000,25000
2022-05-25,6.050000,6.099000,6.000000,6.050000,6.050000,20000
2022-05-26,6.050000,6.000000,6.000000,6.050000,6.050000,10000
2022-05-27,6.050000,6.040000,6.000000,6.050000,6.050000,14592
2022-05-30,6.050000,6.040000,6.040000,6.050000,6.050000,20000
2022-05-31,6.050000,6.000000,6.000000,6.050000,6.050000,3000
2022-06-01,6.050000,6.010000,6.010000,6.050000,6.050000,21277
2022-06-06,6.050000,6.100000,6.001000,6.050000,6.050000,26316
2022-06-07,6.050000,6.200000,6.000000,6.100000,6.100000,302567
2022-06-08,6.100000,6.200000,6.140000,6.100000,6.100000,77734
2022-06-09,6.100000,6.140000,6.000000,6.000000,6.000000,27948
2022-06-10,6.000000,6.000000,6.000000,6.000000,6.000000,0
2022-06-13,6.150000,6.400000,6.400000,6.250000,6.250000,7170
2022-06-14,6.250000,6.170000,6.005000,6.250000,6.250000,19993
2022-06-15,6.250000,6.005000,6.005000,6.250000,6.250000,10000
2022-06-16,6.250000,6.200000,6.140000,6.200000,6.200000,12395
2022-06-17,6.250000,6.130000,6.000000,6.250000,6.250000,206966
2022-06-20,6.250000,6.495000,6.000000,6.000000,6.000000,176658
2022-06-21,6.000000,5.800000,5.710000,5.850000,5.850000,76374
2022-06-22,5.850000,6.000000,5.500000,5.625000,5.625000,103893
2022-06-23,5.625000,5.600000,5.550000,5.625000,5.625000,35631
2022-06-24,5.625000,5.795000,5.555000,5.750000,5.750000,257196
2022-06-27,5.750000,5.770000,5.520000,5.750000,5.750000,17967
2022-06-28,5.750000,5.750000,5.750000,5.750000,5.750000,0
2022-06-29,5.750000,5.750000,5.505000,5.750000,5.750000,13692
2022-06-30,5.750000,5.750000,5.000000,5.625000,5.625000,187590
2022-07-01,5.625000,5.445000,5.445000,5.500000,5.500000,31250
2022-07-04,5.500000,5.500000,5.500000,5.500000,5.500000,0
2022-07-05,5.500000,5.500000,5.440000,5.250000,5.250000,1640
2022-07-06,5.500000,5.600000,5.150000,5.500000,5.500000,13530
2022-07-07,5.500000,5.600000,5.600000,5.500000,5.500000,50000
2022-07-08,5.500000,5.990000,5.900000,5.600000,5.600000,40940
2022-07-11,5.600000,6.000000,5.600000,5.700000,5.700000,139235
2022-07-12,5.700000,5.310000,5.310000,5.650000,5.650000,105000
2022-07-13,5.650000,5.740000,5.740000,5.650000,5.650000,425
2022-07-14,5.650000,5.330000,5.330000,5.650000,5.650000,13611
2022-07-15,5.650000,5.650000,5.650000,5.650000,5.650000,0
2022-07-18,5.650000,5.300000,5.300000,5.600000,5.600000,9660
2022-07-19,5.600000,6.000000,5.690000,5.600000,5.600000,53224
2022-07-20,5.600000,6.000000,5.700000,5.600000,5.600000,3871
2022-07-21,5.600000,6.000000,5.750000,5.750000,5.750000,5567
2022-07-22,5.600000,5.900000,5.900000,5.600000,5.600000,842
2022-07-25,5.600000,5.600000,5.600000,5.600000,5.600000,0
2022-07-26,5.600000,5.600000,5.600000,5.600000,5.600000,0
2022-07-27,5.600000,5.875000,5.208000,5.600000,5.600000,94974
2022-07-28,5.600000,5.800000,5.200000,5.250000,5.250000,38704
2022-07-29,5.250000,5.300000,5.300000,5.250000,5.250000,25
2022-08-01,5.250000,5.500000,5.250000,5.350000,5.350000,103056
2022-08-02,5.350000,5.500000,5.200000,5.350000,5.350000,12519
2022-08-03,5.350000,5.500000,4.500000,5.000000,5.000000,546279
2022-08-04,5.000000,5.200000,4.940000,5.000000,5.000000,30501
2022-08-05,5.000000,5.200000,4.840000,5.000000,5.000000,26614
2022-08-08,5.000000,5.000000,5.000000,5.000000,5.000000,0
2022-08-09,5.000000,5.000000,4.718000,4.850000,4.850000,127603
2022-08-10,4.850000,4.895000,4.893000,4.850000,4.850000,40243
2022-08-11,4.850000,4.890000,4.740000,4.850000,4.850000,40944
2022-08-12,4.850000,4.890000,4.706000,4.850000,4.850000,108099
2022-08-15,4.850000,4.740000,4.700000,4.800000,4.800000,79715
2022-08-16,4.800000,4.800000,4.700000,4.800000,4.800000,48322
2022-08-17,4.800000,4.790000,4.700000,4.800000,4.800000,60216
2022-08-18,4.800000,4.900000,4.300000,4.800000,4.800000,284329
2022-08-19,4.800000,4.800000,4.500000,4.700000,4.700000,37974
2022-08-22,4.750000,4.900000,4.410000,4.800000,4.800000,413202
2022-08-23,4.800000,4.900000,4.900000,4.800000,4.800000,100
2022-08-24,4.800000,4.780000,4.700000,4.800000,4.800000,287988
2022-08-25,4.800000,4.698000,4.698000,4.800000,4.800000,2500
2022-08-26,4.800000,4.800000,4.600000,4.800000,4.800000,267456
2022-08-30,4.800000,4.800000,4.600000,4.750000,4.750000,26200
2022-08-31,4.750000,4.700000,4.100000,4.400000,4.400000,334690
2022-09-01,4.400000,4.302000,4.300000,4.400000,4.400000,41000
2022-09-02,4.400000,4.340000,4.340000,4.400000,4.400000,10000
2022-09-05,4.400000,4.600000,4.300000,4.450000,4.450000,28340
2022-09-06,4.450000,4.600000,4.300000,4.450000,4.450000,3048
2022-09-07,4.450000,4.300000,4.120000,4.250000,4.250000,180000
2022-09-08,4.250000,4.300000,4.200000,4.150000,4.150000,335902
2022-09-09,4.150000,4.300000,4.190000,4.150000,4.150000,6534
2022-09-12,4.340000,4.500000,4.340000,4.400000,4.400000,231022
2022-09-13,4.400000,4.400000,4.400000,4.400000,4.400000,0
2022-09-14,4.400000,4.340000,4.340000,4.400000,4.400000,46373
2022-09-15,4.400000,4.390000,4.100000,4.350000,4.350000,173006
2022-09-16,4.350000,4.400000,4.300000,4.350000,4.350000,8760
2022-09-20,4.350000,4.400000,4.300000,4.350000,4.350000,22297
2022-09-21,4.350000,4.340000,4.340000,4.350000,4.350000,22857
2022-09-22,4.350000,4.310000,4.310000,4.350000,4.350000,31000
2022-09-23,4.350000,4.375000,4.300000,4.350000,4.350000,33048
2022-09-26,4.500000,4.600000,4.311000,4.430000,4.430000,169467
2022-09-27,4.450000,4.480000,4.400000,4.480000,4.480000,42978
2022-09-28,4.450000,4.480000,4.150000,4.250000,4.250000,132561
2022-09-29,4.250000,4.300000,4.200000,4.250000,4.250000,20104
2022-09-30,4.250000,4.247000,4.200000,4.250000,4.250000,549854
2022-10-03,4.250000,4.300000,4.201000,4.250000,4.250000,197010
2022-10-04,4.250000,4.380000,4.300000,4.250000,4.250000,1259
2022-10-05,4.250000,4.219000,4.219000,4.250000,4.250000,10572
2022-10-06,4.250000,4.219000,4.219000,4.250000,4.250000,12848
2022-10-07,4.250000,4.219000,4.219000,4.250000,4.250000,1098
2022-10-10,4.250000,4.225000,4.225000,4.250000,4.250000,205000
2022-10-11,4.250000,4.650000,4.150000,4.400000,4.400000,965744
2022-10-12,4.400000,4.500000,4.110000,4.400000,4.400000,35747
2022-10-13,4.400000,4.300000,4.300000,4.400000,4.400000,12337
2022-10-14,4.400000,4.100000,4.000000,4.200000,4.200000,175000
2022-10-17,4.200000,4.150000,4.100000,4.300000,4.300000,673523
2022-10-18,4.300000,4.300000,4.300000,4.300000,4.300000,0
2022-10-19,4.300000,4.300000,4.300000,4.300000,4.300000,0
2022-10-20,4.300000,4.104000,4.104000,4.300000,4.300000,4152
2022-10-21,4.300000,4.500000,4.100000,4.300000,4.300000,121756
2022-10-24,4.300000,4.200000,4.200000,4.300000,4.300000,23666
2022-10-25,4.300000,4.195000,4.100000,4.300000,4.300000,7182
2022-10-26,4.300000,4.300000,4.300000,4.300000,4.300000,0
2022-10-27,4.300000,4.300000,4.300000,4.300000,4.300000,0
2022-10-28,4.300000,4.010000,4.010000,4.250000,4.250000,50000
2022-10-31,4.250000,4.150000,4.055000,4.050000,4.050000,94742
2022-11-01,4.050000,4.050000,4.000000,4.050000,4.050000,90864
2022-11-02,4.050000,4.100000,4.100000,4.050000,4.050000,165
2022-11-03,4.050000,4.100000,3.900000,4.050000,4.050000,135609
2022-11-04,4.050000,4.000000,4.000000,3.970000,3.970000,7243
2022-11-07,3.950000,3.990000,3.800000,3.850000,3.850000,120014
2022-11-08,3.900000,4.000000,3.700000,3.700000,3.700000,1357774
2022-11-09,3.650000,3.813000,3.600000,3.800000,3.800000,512412
2022-11-10,3.700000,4.090000,3.800000,4.050000,4.050000,630388
2022-11-11,4.050000,4.236000,3.828000,4.150000,4.150000,366235
2022-11-14,4.500000,4.800000,3.944000,4.400000,4.400000,532555
2022-11-15,4.400000,4.500000,4.000000,4.250000,4.250000,170334
2022-11-16,4.250000,4.150000,3.750000,3.950000,3.950000,257434
2022-11-17,3.950000,3.935000,3.935000,3.950000,3.950000,10496
2022-11-18,3.950000,4.000000,3.966000,4.000000,4.000000,148964
2022-11-21,4.000000,3.966000,3.710000,4.000000,4.000000,165116
2022-11-22,4.000000,3.899000,3.750000,4.000000,4.000000,34214
2022-11-23,4.000000,4.200000,3.800000,4.050000,4.050000,872235
2022-11-24,4.050000,4.500000,3.903000,4.350000,4.350000,241150
2022-11-25,4.350000,5.000000,4.500000,4.750000,4.750000,238082
2022-11-28,4.750000,5.000000,4.200000,4.450000,4.450000,392173
2022-11-29,4.450000,4.620000,4.400000,4.550000,4.550000,129071
2022-11-30,4.550000,4.670000,4.500000,4.600000,4.600000,186285
2022-12-01,4.600000,5.000000,4.120000,4.850000,4.850000,642833
2022-12-02,4.850000,6.400000,4.900000,5.400000,5.400000,2114529
2022-12-05,5.450000,5.500000,4.984000,5.100000,5.100000,670021
2022-12-06,5.150000,5.390000,5.000000,5.350000,5.350000,238398
2022-12-07,5.350000,5.600000,5.200000,5.200000,5.200000,872952
2022-12-08,5.200000,5.400000,5.022000,5.200000,5.200000,91603
2022-12-09,5.200000,5.004000,4.550000,4.750000,4.750000,1497526
2022-12-12,4.750000,5.000000,4.500000,4.750000,4.750000,68178
2022-12-13,4.750000,4.900000,4.588000,4.850000,4.850000,23044
2022-12-14,4.850000,4.950000,4.703000,4.850000,4.850000,58823
2022-12-15,4.850000,5.000000,4.690000,4.750000,4.750000,218387
2022-12-16,4.750000,5.000000,4.500000,4.750000,4.750000,16668
2022-12-19,4.750000,4.620000,4.500000,4.750000,4.750000,7875
2022-12-20,4.750000,5.000000,4.560000,4.750000,4.750000,73691
2022-12-21,4.750000,4.930000,4.890000,4.850000,4.850000,25000
2022-12-22,5.350000,5.300000,4.910000,5.250000,5.250000,984398
2022-12-23,5.250000,5.500000,5.150000,5.250000,5.250000,536993
2022-12-28,5.250000,5.500000,5.000000,5.250000,5.250000,362817
2022-12-29,5.250000,5.250000,5.000000,5.250000,5.250000,220000
2022-12-30,5.250000,5.500000,5.225000,5.250000,5.250000,49803
2023-01-03,5.250000,5.500000,5.005000,5.250000,5.250000,137704
2023-01-04,5.250000,5.500000,5.000000,5.250000,5.250000,112449
2023-01-05,5.250000,5.500000,5.056000,5.250000,5.250000,57870
2023-01-06,5.250000,5.500000,5.000000,5.250000,5.250000,71657
2023-01-09,5.250000,5.500000,5.000000,5.150000,5.150000,325006
2023-01-10,5.150000,5.245000,4.700000,4.950000,4.950000,316140
2023-01-11,4.950000,5.300000,4.670000,5.200000,5.200000,168471
2023-01-12,4.900000,5.300000,4.500000,4.900000,4.900000,10540
2023-01-13,4.900000,5.475000,4.500000,5.250000,5.250000,1025224
2023-01-16,5.250000,5.411000,5.000000,5.150000,5.150000,327975
2023-01-17,5.150000,5.200000,4.952000,4.950000,4.950000,224431
2023-01-18,4.950000,5.195000,4.910000,4.950000,4.950000,376243
2023-01-19,4.950000,5.418000,4.700000,5.350000,5.350000,286547
2023-01-20,5.350000,5.800000,5.055000,5.200000,5.200000,844275
2023-01-23,5.200000,6.000000,4.941000,5.250000,5.250000,1674648
2023-01-24,5.250000,5.420000,4.800000,5.000000,5.000000,378322
2023-01-25,5.000000,5.160000,4.800000,5.000000,5.000000,83941
2023-01-26,5.000000,5.000000,4.800000,4.900000,4.900000,113929
2023-01-27,4.900000,5.000000,4.970000,4.900000,4.900000,30236
2023-01-30,4.900000,5.000000,4.963000,4.900000,4.900000,29500
2023-01-31,4.900000,5.740000,4.963000,5.500000,5.500000,1094032
2023-02-01,5.550000,5.700000,5.100000,5.350000,5.350000,328420
2023-02-02,5.350000,5.380000,5.200000,5.350000,5.350000,81656
2023-02-03,5.350000,5.220000,4.750000,4.900000,4.900000,911974
2023-02-06,4.950000,5.000000,4.650000,4.800000,4.800000,460265
2023-02-07,4.700000,4.800000,4.324000,4.600000,4.600000,860379
2023-02-08,4.600000,5.000000,4.550000,4.650000,4.650000,3233078
2023-02-09,4.650000,4.700000,4.200000,4.600000,4.600000,277199
2023-02-10,4.300000,4.600000,4.200000,4.600000,4.600000,212816
2023-02-13,4.450000,4.600000,4.303000,4.450000,4.450000,44503
2023-02-14,4.450000,4.550000,4.331000,4.500000,4.500000,80810
2023-02-15,4.500000,4.600000,4.200000,4.600000,4.600000,313518
2023-02-16,4.200000,4.300000,4.100000,4.200000,4.200000,550469
2023-02-17,4.200000,4.500000,4.100000,4.300000,4.300000,346893
2023-02-20,4.300000,4.400000,4.200000,4.300000,4.300000,4063
2023-02-21,4.300000,4.500000,4.200000,4.350000,4.350000,989292
2023-02-22,4.350000,4.340000,4.200000,4.350000,4.350000,31164
2023-02-23,4.350000,4.500000,4.200000,4.350000,4.350000,65264
2023-02-24,4.350000,4.400000,4.200000,4.350000,4.350000,89646
2023-02-27,4.350000,4.379000,4.379000,4.350000,4.350000,26903
2023-02-28,4.350000,4.500000,4.200000,4.400000,4.400000,1910
2023-03-01,4.400000,4.500000,4.310000,4.400000,4.400000,106920
2023-03-02,4.400000,4.370000,4.370000,4.300000,4.300000,10000
2023-03-03,4.300000,4.200000,4.200000,4.300000,4.300000,160
2023-03-06,3.750000,4.000000,3.500000,3.650000,3.650000,1911100
2023-03-07,3.650000,3.880000,3.500000,3.600000,3.600000,1550723
2023-03-08,3.650000,3.780000,3.600000,3.780000,3.780000,103714
2023-03-09,3.650000,3.700000,3.695000,3.650000,3.650000,155716
2023-03-10,3.650000,3.700000,3.550000,3.630000,3.630000,1073090
2023-03-13,3.630000,3.660000,3.400000,3.500000,3.500000,1418400
2023-03-14,3.500000,3.520000,3.400000,3.500000,3.500000,38074
2023-03-15,3.500000,3.500000,3.400000,3.450000,3.450000,650902
2023-03-16,3.450000,3.500000,3.400000,3.500000,3.500000,153230
2023-03-17,3.500000,3.560000,3.500000,3.500000,3.500000,172440
2023-03-20,3.450000,3.500000,3.275000,3.450000,3.450000,358862
2023-03-21,3.450000,3.500000,3.400000,3.450000,3.450000,51606
2023-03-22,3.450000,3.580000,3.430000,3.580000,3.580000,6125
2023-03-23,3.450000,3.580000,3.400000,3.450000,3.450000,410173
2023-03-24,3.450000,3.500000,3.403000,3.500000,3.500000,55754
2023-03-27,3.450000,3.500000,3.150000,3.400000,3.400000,552020
2023-03-28,3.400000,3.300000,3.200000,3.300000,3.300000,656363
2023-03-29,3.350000,3.400000,3.025000,3.300000,3.300000,552659
2023-03-30,3.300000,3.400000,3.100000,3.300000,3.300000,533925
2023-03-31,3.300000,3.400000,3.200000,3.300000,3.300000,78723
2023-04-03,3.300000,3.400000,3.200000,3.300000,3.300000,227849
2023-04-04,3.350000,3.400000,3.200000,3.300000,3.300000,64820
