Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,2.600000,2.700000,2.561000,2.650000,2.650000,1971790
2022-04-29,2.650000,3.200000,2.635000,3.100000,3.100000,5652142
2022-05-03,3.100000,3.200000,3.000000,3.050000,3.050000,3106151
2022-05-04,3.050000,3.040000,2.800000,2.900000,2.900000,2987362
2022-05-05,2.900000,3.100000,2.830000,3.000000,3.000000,1469371
2022-05-06,3.050000,3.500000,3.000000,3.250000,3.250000,4390180
2022-05-09,3.250000,3.600000,3.172000,3.440000,3.440000,7248858
2022-05-10,3.575000,3.750000,3.250000,3.440000,3.440000,7623781
2022-05-11,3.400000,3.450000,3.100000,3.150000,3.150000,1801864
2022-05-12,3.150000,3.189000,2.800000,3.050000,3.050000,2369360
2022-05-13,2.950000,3.300000,2.874000,3.150000,3.150000,1901041
2022-05-16,3.150000,3.189000,2.800000,2.900000,2.900000,1652339
2022-05-17,2.900000,2.975000,2.840000,2.900000,2.900000,986098
2022-05-18,2.900000,2.975000,2.800000,2.850000,2.850000,3093540
2022-05-19,2.850000,2.900000,2.800000,2.850000,2.850000,689754
2022-05-20,2.900000,3.400000,2.820000,3.150000,3.150000,3459946
2022-05-23,3.150000,3.270000,3.000000,3.150000,3.150000,1288318
2022-05-24,3.200000,3.500000,3.150000,3.350000,3.350000,4758476
2022-05-25,3.350000,3.350000,3.100000,3.150000,3.150000,2320377
2022-05-26,3.150000,3.280000,3.000000,3.100000,3.100000,2521490
2022-05-27,3.100000,3.200000,3.053000,3.100000,3.100000,313330
2022-05-30,3.100000,3.200000,3.083000,3.100000,3.100000,1144145
2022-05-31,3.100000,3.200000,3.011000,3.100000,3.100000,1695796
2022-06-01,3.100000,3.190000,3.000000,3.100000,3.100000,651580
2022-06-06,3.100000,3.118000,2.900000,3.000000,3.000000,1095348
2022-06-07,3.000000,3.071000,2.900000,3.000000,3.000000,4188929
2022-06-08,3.000000,3.004000,2.900000,2.950000,2.950000,1684769
2022-06-09,2.950000,3.001000,2.800000,2.800000,2.800000,1805908
