Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,9.680000,9.703000,9.680000,9.703000,9.703000,600
2022-07-12,9.703000,9.703000,9.703000,9.703000,9.703000,0
2022-07-13,9.690000,9.690000,9.690000,9.690000,9.690000,300
2022-07-14,9.690000,9.710000,9.690000,9.700000,9.700000,196700
2022-07-15,9.710000,9.710000,9.690000,9.690000,9.690000,11200
2022-07-18,9.730000,9.730000,9.690000,9.690000,9.690000,700
2022-07-19,9.730000,9.730000,9.680000,9.680000,9.680000,15300
2022-07-20,9.680000,9.697000,9.670000,9.680000,9.680000,76500
2022-07-21,9.680000,9.710000,9.680000,9.700000,9.700000,30700
2022-07-22,9.700000,9.710000,9.700000,9.710000,9.710000,5200
2022-07-25,9.690000,9.700000,9.690000,9.690000,9.690000,3000
2022-07-26,9.690000,9.700000,9.690000,9.700000,9.700000,4000
2022-07-27,9.690000,9.710000,9.690000,9.710000,9.710000,109200
2022-07-28,9.690000,9.710000,9.690000,9.710000,9.710000,123400
2022-07-29,9.730000,9.730000,9.710000,9.730000,9.730000,3500
2022-08-01,9.720000,9.730000,9.720000,9.720000,9.720000,800
2022-08-02,9.730000,9.730000,9.720000,9.720000,9.720000,531400
2022-08-03,9.740000,9.750000,9.740000,9.740000,9.740000,25500
2022-08-04,9.770000,9.770000,9.740000,9.750000,9.750000,329500
2022-08-05,9.710000,9.770000,9.710000,9.750000,9.750000,1030100
2022-08-08,9.750000,9.755000,9.720000,9.720000,9.720000,13600
2022-08-09,9.730000,9.749000,9.730000,9.730000,9.730000,290600
2022-08-10,9.730000,9.740000,9.730000,9.730000,9.730000,67000
2022-08-11,9.730000,9.740000,9.730000,9.740000,9.740000,2000
2022-08-12,9.745000,9.745000,9.730000,9.730000,9.730000,3800
2022-08-15,9.730000,9.740000,9.730000,9.740000,9.740000,152000
2022-08-16,9.740000,9.740000,9.730000,9.740000,9.740000,161700
2022-08-17,9.730000,9.750000,9.730000,9.740000,9.740000,4500
2022-08-18,9.720000,9.740000,9.720000,9.740000,9.740000,4300
2022-08-19,9.720000,9.720000,9.720000,9.720000,9.720000,200
2022-08-22,9.720000,9.740000,9.720000,9.720000,9.720000,40600
2022-08-23,9.740000,9.755000,9.740000,9.755000,9.755000,3600
2022-08-24,9.770000,9.770000,9.740000,9.770000,9.770000,38400
2022-08-25,9.760000,9.780000,9.760000,9.760000,9.760000,1898200
2022-08-26,9.760000,9.770000,9.760000,9.770000,9.770000,2900
2022-08-29,9.760000,9.770000,9.760000,9.770000,9.770000,500
2022-08-30,9.790000,9.790000,9.770000,9.770000,9.770000,9100
2022-08-31,9.774000,9.774000,9.760000,9.760000,9.760000,1100
2022-09-01,9.760000,9.760000,9.760000,9.760000,9.760000,3000
2022-09-02,9.760000,9.770000,9.760000,9.770000,9.770000,2600
2022-09-06,9.750000,9.765000,9.750000,9.750000,9.750000,16200
2022-09-07,9.700000,9.757000,9.700000,9.757000,9.757000,3500
2022-09-08,9.757000,9.757000,9.757000,9.757000,9.757000,0
2022-09-09,9.740000,9.755000,9.740000,9.750000,9.750000,4900
2022-09-12,9.760000,9.760000,9.760000,9.760000,9.760000,800
2022-09-13,9.730000,9.775000,9.730000,9.770000,9.770000,334300
2022-09-14,9.790000,9.790000,9.760000,9.770000,9.770000,214500
2022-09-15,9.765000,9.765000,9.760000,9.760000,9.760000,6200
2022-09-16,9.750000,9.790000,9.750000,9.790000,9.790000,464600
2022-09-19,9.780000,9.785000,9.780000,9.780000,9.780000,402200
2022-09-20,9.770000,9.780000,9.770000,9.780000,9.780000,6400
2022-09-21,9.770000,9.780000,9.770000,9.780000,9.780000,29800
2022-09-22,9.770000,9.780000,9.770000,9.780000,9.780000,18000
2022-09-23,9.770000,9.785000,9.770000,9.780000,9.780000,9600
