Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,226.110001,228.119995,222.710007,225.720001,205.326065,1473100
2022-04-29,224.529999,225.949997,218.889999,219.339996,199.522507,1295000
2022-05-02,219.389999,220.990005,213.490005,216.779999,197.193817,1463200
2022-05-03,217.559998,220.490005,216.830002,219.160004,199.358795,1125300
2022-05-04,218.500000,220.960007,213.750000,220.660004,200.723251,1623300
2022-05-05,219.990005,219.990005,211.130005,213.270004,194.000946,1427300
2022-05-06,212.199997,212.850006,208.149994,210.369995,191.362976,1296100
2022-05-09,208.830002,209.240005,200.660004,201.600006,183.385315,1821200
2022-05-10,203.490005,205.649994,198.089996,200.270004,182.175507,1574900
2022-05-11,200.110001,202.350006,197.979996,198.619995,180.674591,1498300
2022-05-12,198.020004,199.169998,191.940002,196.009995,178.300385,2572500
2022-05-13,198.199997,202.320007,196.089996,200.100006,182.020889,1888600
2022-05-16,200.490005,200.660004,195.039993,196.169998,178.445938,2064800
2022-05-17,198.699997,199.309998,194.029999,196.029999,178.318604,1664300
2022-05-18,194.960007,195.130005,187.100006,188.479996,171.450745,1832400
2022-05-19,186.710007,191.360001,186.190002,190.149994,172.969864,1611300
2022-05-20,192.089996,193.000000,188.729996,192.110001,174.752747,2601900
2022-05-23,194.270004,194.559998,191.259995,191.600006,174.288834,1879100
2022-05-24,191.580002,192.630005,187.899994,191.669998,174.352509,1226700
2022-05-25,192.929993,196.759995,191.089996,195.429993,177.772812,1897900
2022-05-26,195.740005,198.589996,195.179993,196.910004,179.119080,1029200
2022-05-27,198.830002,199.940002,197.509995,199.929993,181.866226,1123900
2022-05-31,199.839996,200.360001,197.449997,198.830002,180.865601,2286600
2022-06-01,199.199997,201.000000,197.740005,199.369995,181.356812,1617600
2022-06-02,200.000000,204.740005,199.369995,204.679993,186.187057,1308200
2022-06-03,201.619995,203.940002,199.220001,200.000000,181.929886,1061400
2022-06-06,202.970001,203.369995,198.979996,199.360001,181.347702,1228800
2022-06-07,198.720001,203.080002,198.669998,202.759995,184.440521,1145100
2022-06-08,201.649994,203.470001,199.110001,199.570007,181.538757,1094700
2022-06-09,199.139999,201.169998,197.889999,197.929993,180.953613,1319900
2022-06-10,196.580002,201.470001,195.320007,199.899994,182.754669,2471100
2022-06-13,195.960007,206.110001,195.270004,202.990005,185.579651,2937900
2022-06-14,202.759995,202.940002,195.179993,196.110001,179.289749,2345400
2022-06-15,197.500000,203.130005,196.839996,200.880005,183.650620,1434600
2022-06-16,197.330002,204.970001,196.729996,203.279999,185.844742,2167900
2022-06-17,202.720001,203.250000,197.119995,200.529999,183.330658,3571600
2022-06-21,202.470001,209.300003,201.779999,208.500000,190.617065,1936000
2022-06-22,206.600006,210.600006,205.389999,208.460007,190.580490,1581200
2022-06-23,209.309998,211.289993,206.410004,208.460007,190.580490,1217700
2022-06-24,209.119995,210.380005,207.009995,210.000000,191.988403,1556100
