Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,8.550000,8.640000,7.830000,7.980000,7.980000,12500
2022-07-12,8.370000,8.370000,7.980000,8.160000,8.160000,9543
2022-07-13,8.070000,8.400000,7.830000,7.950000,7.950000,8177
2022-07-14,7.950000,8.340000,7.500000,7.770000,7.770000,15363
2022-07-15,7.530000,8.310000,7.050000,8.100000,8.100000,14540
2022-07-18,7.950000,7.950000,6.600000,7.140000,7.140000,31737
2022-07-19,7.350000,7.440000,6.630000,7.020000,7.020000,8210
2022-07-20,6.990000,7.350000,6.750000,6.900000,6.900000,7620
2022-07-21,6.900000,7.170000,6.690000,6.990000,6.990000,18087
2022-07-22,7.140000,7.140000,6.690000,6.750000,6.750000,5143
2022-07-25,6.810000,7.080000,6.600000,6.900000,6.900000,6463
2022-07-26,6.660000,6.900000,6.000000,6.180000,6.180000,19873
2022-07-27,6.360000,6.900000,6.180000,6.600000,6.600000,10143
2022-07-28,6.690000,6.690000,6.300000,6.480000,6.480000,1120
2022-07-29,6.600000,6.630000,6.120000,6.600000,6.600000,9163
2022-08-01,6.870000,6.900000,6.120000,6.600000,6.600000,7713
2022-08-02,6.900000,6.900000,6.000000,6.390000,6.390000,8110
2022-08-03,6.180000,6.600000,6.180000,6.600000,6.600000,6947
2022-08-04,6.600000,7.080000,6.480000,6.900000,6.900000,5750
2022-08-05,6.780000,7.350000,6.780000,6.780000,6.780000,8153
2022-08-08,7.230000,7.800000,6.810000,7.770000,7.770000,20760
2022-08-09,7.800000,7.950000,7.260000,7.500000,7.500000,7740
2022-08-10,7.290000,7.950000,7.290000,7.530000,7.530000,3993
2022-08-11,7.560000,7.800000,7.350000,7.800000,7.800000,5073
2022-08-12,7.800000,7.800000,7.500000,7.680000,7.680000,3220
2022-08-15,7.800000,8.070000,7.500000,7.770000,7.770000,7253
2022-08-16,7.530000,7.770000,7.200000,7.200000,7.200000,5687
2022-08-17,7.800000,7.860000,6.900000,7.350000,7.350000,4033
2022-08-18,7.350000,7.710000,6.600000,7.410000,7.410000,7307
2022-08-19,7.500000,7.560000,6.630000,7.410000,7.410000,4387
2022-08-22,6.660000,7.410000,6.630000,7.230000,7.230000,4523
2022-08-23,7.200000,7.500000,7.200000,7.410000,7.410000,1597
2022-08-24,7.470000,7.950000,7.200000,7.650000,7.650000,12880
2022-08-25,7.800000,8.100000,7.500000,7.920000,7.920000,5767
2022-08-26,8.100000,8.100000,7.530000,7.710000,7.710000,1470
2022-08-29,7.590000,8.100000,7.530000,7.770000,7.770000,13157
2022-08-30,7.920000,7.950000,7.560000,7.560000,7.560000,3310
2022-08-31,7.560000,8.100000,6.840000,7.320000,7.320000,32047
2022-09-01,7.320000,8.070000,6.930000,7.230000,7.230000,18577
2022-09-02,7.200000,7.800000,7.020000,7.440000,7.440000,6793
2022-09-06,7.230000,7.650000,7.020000,7.170000,7.170000,2363
2022-09-07,6.930000,7.350000,6.930000,7.200000,7.200000,2987
2022-09-08,6.930000,7.500000,6.870000,7.080000,7.080000,1197
2022-09-09,7.020000,7.500000,7.020000,7.020000,7.020000,3803
2022-09-12,7.050000,7.500000,7.050000,7.050000,7.050000,3487
2022-09-13,7.380000,8.250000,7.290000,7.290000,7.290000,40617
2022-09-14,7.650000,8.640000,7.050000,7.200000,7.200000,56550
2022-09-15,8.100000,8.100000,7.200000,7.380000,7.380000,5657
2022-09-16,7.050000,7.500000,7.050000,7.140000,7.140000,3570
2022-09-19,7.200000,7.590000,6.390000,6.750000,6.750000,10997
2022-09-20,6.600000,6.870000,6.600000,6.720000,6.720000,527
2022-09-21,7.050000,7.050000,4.980000,6.510000,6.510000,13907
2022-09-22,6.030000,6.210000,5.460000,5.730000,5.730000,4137
2022-09-23,5.700000,6.060000,5.460000,5.760000,5.760000,3283
2022-09-26,5.910000,6.000000,5.460000,5.850000,5.850000,2987
2022-09-27,6.210000,6.900000,5.040000,5.700000,5.700000,5010
2022-09-28,5.430000,5.970000,5.430000,5.850000,5.850000,2270
2022-09-29,5.640000,6.300000,5.160000,5.670000,5.670000,2613
2022-09-30,5.700000,6.090000,5.370000,5.370000,5.370000,4643
2022-10-03,6.000000,6.000000,5.190000,5.400000,5.400000,1590
2022-10-04,5.700000,5.910000,5.190000,5.430000,5.430000,5150
2022-10-05,5.550000,6.090000,5.400000,5.460000,5.460000,3300
2022-10-06,5.880000,5.910000,5.400000,5.640000,5.640000,3210
2022-10-07,5.400000,6.180000,5.400000,5.790000,5.790000,6180
2022-10-10,5.820000,6.180000,5.820000,5.970000,5.970000,2973
2022-10-11,5.940000,6.900000,5.850000,6.210000,6.210000,13393
2022-10-12,6.150000,6.780000,6.000000,6.300000,6.300000,4027
2022-10-13,6.000000,6.300000,6.000000,6.060000,6.060000,1303
