Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,4.550000,4.620000,4.340000,4.400000,4.400000,289100
2022-07-12,4.360000,4.540000,4.345000,4.390000,4.390000,133800
2022-07-13,4.320000,4.455000,4.210000,4.320000,4.320000,160800
2022-07-14,4.170000,4.270000,4.110000,4.210000,4.210000,253600
2022-07-15,4.020000,4.310000,4.000000,4.240000,4.240000,364800
2022-07-18,4.320000,4.630000,4.320000,4.470000,4.470000,247100
2022-07-19,4.540000,4.730000,4.540000,4.700000,4.700000,113300
2022-07-20,4.680000,4.860000,4.670000,4.810000,4.810000,120900
2022-07-21,4.770000,4.790000,4.580000,4.640000,4.640000,166000
2022-07-22,4.660000,5.059000,4.320000,4.350000,4.350000,284200
2022-07-25,4.390000,4.390000,4.095000,4.200000,4.200000,371100
2022-07-26,4.070000,4.100000,3.780000,3.830000,3.830000,367900
2022-07-27,3.890000,3.980000,3.705000,3.970000,3.970000,260700
2022-07-28,3.920000,4.100000,3.830000,4.050000,4.050000,224400
2022-07-29,4.070000,4.080000,3.850000,4.060000,4.060000,293500
2022-08-01,4.040000,4.410000,3.960000,4.330000,4.330000,200500
2022-08-02,4.250000,4.260000,4.060000,4.070000,4.070000,168300
2022-08-03,4.100000,4.370000,4.030000,4.350000,4.350000,236400
2022-08-04,4.290000,4.860000,4.290000,4.800000,4.800000,507400
2022-08-05,4.610000,5.150000,4.554000,5.020000,5.020000,348900
2022-08-08,5.010000,5.880000,4.970000,5.840000,5.840000,707300
2022-08-09,5.670000,5.740000,5.170000,5.520000,5.520000,744100
2022-08-10,5.680000,6.340000,5.660000,6.160000,6.160000,1003200
2022-08-11,6.250000,6.450000,6.080000,6.250000,6.250000,795900
2022-08-12,6.300000,7.050000,6.173000,7.010000,7.010000,1084000
2022-08-15,6.950000,7.510000,6.700000,7.170000,7.170000,1846300
2022-08-16,7.150000,8.290000,7.150000,7.750000,7.750000,2375300
2022-08-17,7.670000,7.980000,7.280000,7.540000,7.540000,744200
2022-08-18,7.460000,7.460000,6.070000,6.880000,6.880000,1332600
2022-08-19,6.710000,6.770000,5.670000,5.980000,5.980000,1367900
2022-08-22,5.800000,6.200000,5.750000,5.990000,5.990000,444500
2022-08-23,5.910000,6.372000,5.890000,6.050000,6.050000,417000
2022-08-24,6.060000,6.500000,5.900000,6.310000,6.310000,606200
2022-08-25,6.350000,6.710000,6.310000,6.700000,6.700000,446200
2022-08-26,6.750000,6.800000,6.110000,6.190000,6.190000,419400
2022-08-29,6.120000,6.420000,6.010000,6.190000,6.190000,367800
2022-08-30,6.270000,6.310000,5.760000,5.810000,5.810000,398800
2022-08-31,5.840000,5.975000,5.440000,5.610000,5.610000,463200
2022-09-01,5.560000,5.830000,5.440000,5.750000,5.750000,270600
2022-09-02,5.770000,5.870000,5.590000,5.750000,5.750000,293300
2022-09-06,5.770000,5.870000,5.240000,5.270000,5.270000,373000
