Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,9.890000,9.890000,9.610000,9.730000,8.887609,19473500
2022-07-12,9.580000,9.680000,9.370000,9.680000,8.841940,18188000
2022-07-13,9.510000,9.950000,9.460000,9.860000,9.006355,23086700
2022-07-14,9.600000,9.680000,9.370000,9.660000,8.823671,22624000
2022-07-15,9.840000,9.870000,9.660000,9.820000,8.969819,12932800
2022-07-18,9.960000,10.300000,9.960000,10.090000,9.216443,19074200
2022-07-19,10.180000,10.450000,10.150000,10.430000,9.527008,13781100
2022-07-20,10.370000,10.520000,10.300000,10.470000,9.563544,13093500
2022-07-21,10.350000,10.420000,10.130000,10.360000,9.463067,12550200
2022-07-22,10.360000,10.490000,10.170000,10.250000,9.362591,9608300
2022-07-25,10.400000,10.670000,10.290000,10.600000,9.682289,23949300
2022-07-26,10.730000,10.870000,10.520000,10.650000,9.727960,14743300
2022-07-27,10.850000,10.960000,10.670000,10.950000,10.001987,21002000
2022-07-28,11.000000,11.240000,10.760000,11.180000,10.212075,23983800
2022-07-29,11.300000,11.490000,11.230000,11.310000,10.330821,20429900
2022-08-01,11.270000,11.360000,11.020000,11.320000,10.339954,20548400
2022-08-02,11.350000,11.370000,11.200000,11.270000,10.294283,17782000
2022-08-03,11.370000,11.430000,11.150000,11.250000,10.276014,21529700
2022-08-04,11.430000,11.610000,11.090000,11.110000,10.148135,24491700
2022-08-05,10.870000,11.010000,10.780000,10.820000,10.092171,15612700
2022-08-08,10.820000,11.050000,10.810000,10.890000,10.157462,12959200
2022-08-09,10.980000,11.030000,10.860000,10.970000,10.232081,15500600
2022-08-10,11.010000,11.320000,10.970000,11.270000,10.511901,15566400
2022-08-11,11.450000,11.630000,11.440000,11.490000,10.717102,17937500
2022-08-12,11.640000,11.710000,11.530000,11.670000,10.884995,13982000
2022-08-15,11.390000,11.580000,11.320000,11.580000,10.801048,12673400
2022-08-16,11.690000,11.820000,11.650000,11.800000,11.006248,13712600
2022-08-17,11.800000,11.850000,11.530000,11.620000,10.838356,15980600
2022-08-18,11.700000,11.940000,11.700000,11.930000,11.127505,12801500
2022-08-19,11.900000,11.930000,11.780000,11.810000,11.015576,10692800
2022-08-22,11.690000,11.870000,11.630000,11.820000,11.024904,14532200
2022-08-23,11.930000,12.190000,11.910000,12.180000,11.360688,17502000
2022-08-24,12.200000,12.490000,12.170000,12.290000,11.463288,23594200
2022-08-25,12.410000,12.430000,12.170000,12.360000,11.528580,14705100
2022-08-26,12.380000,12.390000,12.110000,12.140000,11.323379,15343300
2022-08-29,12.010000,12.330000,11.970000,12.300000,11.472616,14395400
