Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,2.460000,2.515000,2.260000,2.310000,2.310000,586000
2022-04-29,2.270000,2.365000,2.152000,2.190000,2.190000,479900
2022-05-02,2.200000,2.330000,2.160000,2.270000,2.270000,428800
2022-05-03,2.290000,2.370000,2.230000,2.360000,2.360000,287400
2022-05-04,2.330000,2.370000,2.190000,2.350000,2.350000,322300
2022-05-05,2.370000,2.370000,2.210000,2.290000,2.290000,280800
2022-05-06,2.270000,2.270000,2.060000,2.150000,2.150000,286800
2022-05-09,2.120000,2.160000,2.020000,2.080000,2.080000,240800
2022-05-10,2.220000,2.220000,1.820000,1.870000,1.870000,611400
2022-05-11,1.950000,2.058000,1.750000,1.770000,1.770000,500000
2022-05-12,1.810000,2.150000,1.745000,2.110000,2.110000,1026700
2022-05-13,2.140000,2.420000,2.140000,2.310000,2.310000,568200
2022-05-16,2.290000,2.390000,2.210000,2.260000,2.260000,257500
2022-05-17,2.260000,2.490000,2.250000,2.470000,2.470000,431700
2022-05-18,2.400000,2.525000,2.315000,2.380000,2.380000,323100
2022-05-19,2.370000,2.475000,2.320000,2.390000,2.390000,279300
2022-05-20,2.470000,2.470000,2.280000,2.400000,2.400000,316400
2022-05-23,2.490000,2.550000,2.300000,2.340000,2.340000,722100
2022-05-24,2.220000,2.290000,2.140000,2.180000,2.180000,456500
2022-05-25,2.290000,2.800000,2.250000,2.800000,2.800000,2704400
2022-05-26,2.790000,3.040000,2.710000,2.990000,2.990000,949100
2022-05-27,3.000000,3.130000,2.850000,2.870000,2.870000,659200
2022-05-31,2.990000,3.045000,2.870000,2.910000,2.910000,682000
2022-06-01,2.940000,3.330000,2.930000,3.270000,3.270000,956800
2022-06-02,3.240000,3.620000,3.170000,3.560000,3.560000,739200
2022-06-03,3.500000,3.649000,3.130000,3.470000,3.470000,7633100
2022-06-06,3.540000,3.600000,2.662000,2.750000,2.750000,1224400
2022-06-07,2.700000,3.150000,2.620000,3.140000,3.140000,897900
2022-06-08,3.140000,3.510000,3.120000,3.260000,3.260000,945300
2022-06-09,3.240000,3.310000,3.059000,3.140000,3.140000,637800
2022-06-10,3.190000,3.193000,2.920000,2.940000,2.940000,368700
