Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,34.889999,35.529999,34.380001,35.000000,33.217506,61700
2022-07-12,34.810001,35.360001,34.810001,35.080002,33.293438,83700
2022-07-13,34.919998,35.480000,34.570000,35.200001,33.407326,182600
2022-07-14,34.650002,35.240002,34.070000,34.730000,32.961262,134300
2022-07-15,35.419998,35.840000,35.029999,35.570000,33.758480,144900
2022-07-18,35.869999,36.220001,35.490002,35.639999,33.824917,93600
2022-07-19,36.099998,36.910000,35.990002,36.720001,34.849915,107800
2022-07-20,36.549999,37.439999,36.529999,37.330002,35.428848,79600
2022-07-21,37.250000,37.730000,36.869999,37.660000,35.742043,112300
2022-07-22,37.570000,39.700001,37.240002,37.639999,35.723057,120900
2022-07-25,37.709999,38.340000,37.709999,37.880001,35.950840,138400
2022-07-26,37.320000,37.730000,34.959999,35.490002,33.682556,183000
2022-07-27,35.419998,35.740002,35.029999,35.630001,33.815430,162900
2022-07-28,35.660000,36.380001,35.410000,36.230000,34.384872,176700
2022-07-29,36.330002,37.700001,36.139999,37.290001,35.390884,148300
2022-08-01,37.200001,38.080002,37.080002,37.669998,35.751530,182400
2022-08-02,37.570000,37.610001,36.200001,36.209999,34.365887,84200
2022-08-03,36.459999,37.840000,35.570000,36.189999,34.346905,137400
2022-08-04,36.279999,36.279999,35.680000,35.849998,34.024220,75000
2022-08-05,35.750000,36.070000,35.459999,35.639999,33.824917,88400
2022-08-08,35.470001,36.040001,35.310001,35.799999,34.313740,95100
2022-08-09,35.590000,35.709999,34.279999,35.590000,34.112461,99600
2022-08-10,35.930000,36.509998,35.630001,36.189999,34.687550,98200
2022-08-11,36.580002,37.009998,36.459999,36.919998,35.387245,70700
2022-08-12,36.990002,37.520000,36.700001,37.400002,35.847321,66500
2022-08-15,37.209999,37.540001,36.799999,37.500000,35.943165,70200
2022-08-16,37.480000,38.299999,36.599998,38.090000,36.508675,120600
2022-08-17,37.700001,37.770000,36.980000,37.580002,36.019848,102000
2022-08-18,37.680000,37.840000,37.240002,37.759998,36.192371,71000
2022-08-19,37.570000,37.980000,37.169998,37.340000,35.789810,474400
2022-08-22,37.130001,37.130001,36.270000,36.279999,34.773815,107000
2022-08-23,36.250000,37.160000,35.900002,36.070000,34.572533,62600
2022-08-24,35.889999,36.160000,35.529999,35.990002,34.495857,46800
2022-08-25,35.930000,36.570000,35.480000,36.360001,34.850494,63500
2022-08-26,36.590000,36.590000,35.580002,35.630001,34.150803,88100
2022-08-29,35.549999,35.580002,35.000000,35.049999,33.594875,76900
2022-08-30,35.259998,35.340000,34.889999,35.250000,33.786579,68200
2022-08-31,35.540001,35.560001,34.750000,34.810001,33.364845,108700
2022-09-01,34.610001,34.910000,34.099998,34.490002,33.058128,120400
2022-09-02,34.610001,35.230000,34.110001,34.320000,32.895184,110900
2022-09-06,34.279999,34.400002,33.419998,34.009998,32.598053,234700
2022-09-07,33.750000,34.180000,33.369999,33.790001,32.387188,224700
2022-09-08,33.700001,35.459999,33.580002,35.389999,33.920765,132900
2022-09-09,35.439999,36.630001,35.439999,35.709999,34.227478,104400
2022-09-12,35.740002,36.009998,35.439999,35.669998,34.189140,93800
2022-09-13,35.189999,35.470001,34.060001,34.320000,32.895184,179200
2022-09-14,34.320000,34.380001,33.500000,33.650002,32.253006,123500
2022-09-15,33.660000,34.560001,33.660000,34.459999,33.029373,143700
2022-09-16,34.070000,34.900002,33.500000,34.439999,33.010201,463600
2022-09-19,34.160000,35.150002,34.160000,35.000000,33.546955,86100
2022-09-20,34.610001,34.709999,33.779999,33.790001,32.387188,148000
2022-09-21,33.830002,34.000000,33.000000,33.160000,31.783344,258300
2022-09-22,33.380001,33.450001,32.320000,32.340000,30.997387,117300
2022-09-23,32.029999,32.029999,30.620001,31.190001,29.895130,193700
2022-09-26,31.120001,32.349998,31.120001,31.290001,29.990978,208200
2022-09-27,31.520000,31.809999,30.540001,30.730000,29.454227,123900
2022-09-28,30.639999,30.730000,30.030001,30.090000,28.840797,206500
2022-09-29,29.920000,29.920000,28.570000,28.990000,27.786463,172300
2022-09-30,29.150000,29.709999,28.780001,28.809999,27.613935,236600
2022-10-03,29.410000,30.000000,28.809999,29.709999,28.476572,172100
2022-10-04,30.150000,31.110001,30.150000,30.870001,29.588415,198400
2022-10-05,30.540001,30.719999,29.799999,30.129999,28.879135,129000
2022-10-06,30.120001,30.250000,29.340000,29.530001,28.304047,93100
2022-10-07,29.330000,29.600000,28.450001,28.559999,27.374315,99100
2022-10-10,28.760000,29.020000,28.600000,28.629999,27.441410,98100
2022-10-11,28.459999,29.549999,28.459999,29.260000,28.045254,130900
2022-10-12,29.270000,29.540001,28.709999,29.330000,28.112349,113800
2022-10-13,29.250000,30.770000,28.590000,30.700001,29.425472,118800
2022-10-14,30.809999,31.309999,30.180000,30.260000,29.003740,101300
2022-10-17,30.690001,31.320000,30.440001,30.969999,29.684261,172100
2022-10-18,31.280001,31.670000,30.459999,30.670000,29.396719,98600
2022-10-19,30.410000,30.610001,29.700001,30.230000,28.974983,83300
2022-10-20,30.090000,30.290001,28.580000,28.820000,27.623524,103400
2022-10-21,29.120001,29.410000,28.450001,28.900000,27.700199,194900
2022-10-24,29.070000,29.389999,28.850000,28.969999,27.767294,155600
2022-10-25,31.200001,32.509998,27.299999,28.000000,26.837564,265700
2022-10-26,27.840000,27.840000,26.100000,26.240000,25.150631,214600
2022-10-27,26.610001,27.180000,25.730000,25.809999,24.738483,214300
2022-10-28,26.160000,26.709999,25.740000,26.559999,25.457348,116800
2022-10-31,26.490000,26.920000,25.840000,25.959999,24.882256,133600
2022-11-01,26.040001,26.059999,24.799999,24.840000,23.808754,190100
