Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,16.980000,17.250000,16.639999,17.070000,16.584982,31200
2022-04-29,16.910000,17.360001,16.580000,16.620001,16.147770,21600
2022-05-02,16.549999,16.980000,16.280001,16.629999,16.157484,24300
2022-05-03,16.809999,16.809999,15.350000,15.430000,14.991580,45600
2022-05-04,15.870000,16.100000,14.260000,15.410000,14.972148,94800
2022-05-05,15.360000,15.420000,14.550000,14.890000,14.466924,42500
2022-05-06,14.990000,15.130000,14.800000,14.960000,14.534935,12600
2022-05-09,14.790000,15.150000,14.450000,14.730000,14.311469,44300
2022-05-10,15.050000,16.660000,15.050000,16.000000,15.545383,61700
2022-05-11,16.280001,16.980000,14.480000,15.120000,14.690387,74300
2022-05-12,14.950000,15.560000,14.500000,14.660000,14.243458,47500
2022-05-13,14.860000,15.950000,14.590000,15.160000,14.729251,69000
2022-05-16,15.140000,15.600000,14.550000,14.580000,14.165730,44900
2022-05-17,14.890000,15.100000,14.630000,14.810000,14.389197,15000
2022-05-18,14.890000,16.360001,14.890000,15.280000,14.845841,41600
2022-05-19,15.120000,15.310000,14.750000,14.850000,14.428060,20500
2022-05-20,14.920000,14.970000,14.220000,14.860000,14.437776,35800
2022-05-23,14.960000,15.070000,14.440000,14.670000,14.253175,26900
2022-05-24,14.750000,15.200000,14.750000,14.850000,14.428060,46800
2022-05-25,15.200000,15.390000,14.580000,14.660000,14.243458,16800
2022-05-26,14.600000,15.050000,14.600000,14.870000,14.447492,11900
2022-05-27,14.840000,15.400000,14.750000,15.190000,14.758400,13900
2022-05-31,15.250000,16.510000,14.930000,15.440000,15.060785,34000
2022-06-01,15.560000,15.560000,14.310000,14.540000,14.182889,21600
2022-06-02,14.500000,15.350000,14.500000,14.900000,14.534046,28800
2022-06-03,15.150000,15.520000,14.650000,14.780000,14.416995,23400
2022-06-06,14.940000,15.140000,13.980000,14.010000,13.665906,48600
2022-06-07,14.100000,14.930000,14.090000,14.700000,14.338960,50700
2022-06-08,14.630000,14.750000,14.210000,14.500000,14.143871,26400
2022-06-09,14.300000,15.980000,14.140000,15.970000,15.577768,36600
2022-06-10,15.660000,15.980000,14.520000,14.780000,14.416995,25300
2022-06-13,14.560000,14.560000,13.500000,14.040000,13.695169,37600
2022-06-14,13.930000,13.990000,12.820000,13.210000,12.885556,36000
2022-06-15,13.240000,13.810000,12.920000,13.140000,12.817274,43400
2022-06-16,13.230000,13.230000,11.800000,12.180000,11.880853,69100
2022-06-17,12.180000,12.740000,12.130000,12.290000,11.988151,31500
2022-06-21,12.640000,13.580000,12.420000,12.420000,12.114959,87200
2022-06-22,12.530000,13.080000,12.180000,12.540000,12.232010,63800
2022-06-23,12.670000,13.660000,12.670000,13.560000,13.226959,52300
2022-06-24,13.540000,14.360000,12.420000,13.750000,13.412292,607700
2022-06-27,13.910000,14.760000,13.320000,14.080000,13.734186,47900
2022-06-28,14.120000,14.400000,13.630000,13.630000,13.295239,32300
2022-06-29,13.630000,14.340000,13.500000,13.750000,13.412292,12600
2022-06-30,13.760000,14.090000,13.710000,14.090000,13.743941,11900
2022-07-01,14.010000,14.150000,13.570000,13.980000,13.636642,5400
2022-07-05,13.900000,14.040000,13.410000,13.950000,13.607382,19500
2022-07-06,13.790000,14.050000,13.650000,13.800000,13.461063,10800
2022-07-07,14.000000,14.970000,14.000000,14.710000,14.348714,8600
2022-07-08,14.630000,14.870000,14.630000,14.840000,14.475521,5600
2022-07-11,14.620000,14.620000,14.070000,14.190000,13.841485,5400
2022-07-12,14.030000,14.640000,13.710000,14.040000,13.695169,8100
2022-07-13,13.770000,14.510000,13.670000,13.800000,13.461063,8800
2022-07-14,13.510000,14.710000,13.210000,13.640000,13.304994,15800
2022-07-15,13.910000,14.790000,13.900000,14.040000,13.695169,12400
2022-07-18,14.080000,15.570000,14.080000,15.160000,14.787663,21800
2022-07-19,15.350000,15.930000,15.190000,15.550000,15.168083,8300
2022-07-20,15.370000,15.520000,15.090000,15.360000,14.982749,8800
2022-07-21,15.150000,15.550000,15.150000,15.190000,14.816925,5700
2022-07-22,15.210000,15.670000,14.730000,15.040000,14.670609,10400
2022-07-25,14.860000,15.340000,14.300000,14.620000,14.260923,2800
2022-07-26,14.520000,14.520000,14.070000,14.170000,13.821978,4600
2022-07-27,14.100000,14.800000,13.720000,13.970000,13.626889,19500
2022-07-28,13.800000,14.300000,13.800000,13.880000,13.539101,4800
2022-07-29,13.770000,14.950000,13.770000,14.950000,14.582819,10400
2022-08-01,14.790000,14.790000,14.100000,14.200000,13.851240,7100
2022-08-02,13.740000,14.290000,13.740000,14.070000,13.724432,7700
2022-08-03,14.160000,14.980000,14.160000,14.300000,13.948785,8800
