Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,8.370000,8.370000,8.120000,8.140000,8.140000,45400
2022-07-12,8.080000,8.300000,8.070000,8.190000,8.190000,39400
2022-07-13,8.070000,8.300000,8.070000,8.200000,8.200000,85600
2022-07-14,8.180000,8.650000,8.070000,8.380000,8.380000,128300
2022-07-15,8.380000,8.470000,8.000000,8.180000,8.180000,68000
2022-07-18,8.160000,8.320000,8.000000,8.260000,8.260000,59100
2022-07-19,8.280000,8.530000,8.280000,8.420000,8.420000,39900
2022-07-20,8.390000,8.620000,8.390000,8.420000,8.420000,35400
2022-07-21,8.320000,8.560000,8.300000,8.440000,8.440000,42500
2022-07-22,8.410000,8.520000,8.210000,8.240000,8.240000,17200
2022-07-25,8.210000,8.530000,8.180000,8.400000,8.400000,48700
2022-07-26,8.330000,8.510000,8.310000,8.420000,8.420000,19100
2022-07-27,8.510000,8.710000,8.390000,8.610000,8.610000,51000
2022-07-28,8.660000,8.750000,8.610000,8.660000,8.660000,16500
2022-07-29,8.610000,8.720000,8.580000,8.620000,8.620000,17300
2022-08-01,8.630000,8.630000,8.310000,8.380000,8.380000,63200
2022-08-02,8.330000,8.380000,8.160000,8.200000,8.200000,78600
2022-08-03,8.290000,8.400000,8.200000,8.260000,8.260000,36800
2022-08-04,8.210000,8.310000,8.060000,8.090000,8.090000,54000
2022-08-05,8.010000,8.280000,8.000000,8.220000,8.220000,35300
2022-08-08,8.290000,8.350000,8.090000,8.210000,8.210000,36600
2022-08-09,8.140000,8.370000,7.900000,8.120000,8.120000,92400
2022-08-10,8.740000,8.990000,8.310000,8.850000,8.850000,268200
2022-08-11,8.850000,9.250000,8.850000,9.140000,9.140000,71300
2022-08-12,9.230000,9.330000,8.950000,9.250000,9.250000,103100
2022-08-15,9.160000,9.450000,9.160000,9.390000,9.390000,106500
2022-08-16,9.440000,9.620000,9.340000,9.560000,9.560000,102600
2022-08-17,9.500000,9.600000,9.450000,9.580000,9.580000,50300
2022-08-18,9.530000,9.680000,9.460000,9.570000,9.570000,107600
2022-08-19,9.640000,9.780000,9.340000,9.640000,9.640000,116400
