Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,5.400000,5.500000,4.960000,5.120000,5.120000,505900
2022-07-12,5.120000,5.150000,4.800000,4.860000,4.860000,452600
2022-07-13,4.800000,5.030000,4.600000,4.690000,4.690000,469800
2022-07-14,4.600000,4.690000,4.470000,4.550000,4.550000,446300
2022-07-15,4.630000,4.760000,4.432000,4.760000,4.760000,342400
2022-07-18,4.790000,4.885000,4.550000,4.580000,4.580000,370000
2022-07-19,4.670000,4.820000,4.660000,4.720000,4.720000,193400
2022-07-20,4.760000,5.188000,4.751000,5.160000,5.160000,377400
2022-07-21,5.090000,5.230000,5.020000,5.210000,5.210000,158600
2022-07-22,5.250000,5.250000,4.760000,4.830000,4.830000,253900
2022-07-25,4.850000,4.905000,4.770000,4.840000,4.840000,156700
2022-07-26,4.840000,4.840000,4.520000,4.620000,4.620000,228300
2022-07-27,4.650000,4.830000,4.642000,4.760000,4.760000,448700
2022-07-28,4.770000,4.880000,4.570000,4.650000,4.650000,387600
2022-07-29,4.660000,4.710000,4.460000,4.580000,4.580000,485500
2022-08-01,4.510000,4.590000,4.150000,4.570000,4.570000,702800
2022-08-02,4.520000,4.920000,4.520000,4.740000,4.740000,584300
2022-08-03,4.780000,5.230000,4.660000,5.180000,5.180000,550400
2022-08-04,5.200000,5.459000,4.970000,5.310000,5.310000,933500
2022-08-05,5.240000,5.410000,5.010000,5.370000,5.370000,479100
2022-08-08,5.350000,5.510000,5.170000,5.250000,5.250000,373900
2022-08-09,4.950000,5.330000,4.720000,4.760000,4.760000,825400
2022-08-10,5.000000,5.030000,4.760000,4.920000,4.920000,368400
2022-08-11,4.950000,5.680000,4.930000,5.260000,5.260000,597300
2022-08-12,5.250000,5.360000,5.160000,5.210000,5.210000,323600
2022-08-15,5.120000,5.320000,5.104000,5.170000,5.170000,238500
2022-08-16,5.260000,5.280000,5.050000,5.220000,5.220000,257200
2022-08-17,5.140000,5.180000,4.980000,5.130000,5.130000,201600
2022-08-18,5.180000,5.256000,4.920000,5.090000,5.090000,263100
2022-08-19,4.970000,4.970000,4.800000,4.810000,4.810000,200400
2022-08-22,4.800000,4.831000,4.570000,4.680000,4.680000,285200
2022-08-23,4.650000,4.850000,4.650000,4.660000,4.660000,188100
2022-08-24,4.650000,4.900000,4.650000,4.800000,4.800000,166600
2022-08-25,4.820000,5.049000,4.810000,5.000000,5.000000,205000
2022-08-26,5.000000,5.000000,4.800000,4.810000,4.810000,160900
2022-08-29,4.700000,4.860000,4.680000,4.780000,4.780000,175900
2022-08-30,4.820000,4.850000,4.550000,4.570000,4.570000,174100
2022-08-31,4.650000,4.860000,4.620000,4.720000,4.720000,346300
2022-09-01,4.690000,4.750000,4.450000,4.610000,4.610000,270800
2022-09-02,4.680000,4.740000,4.485000,4.600000,4.600000,141300
2022-09-06,4.580000,4.610000,4.444000,4.520000,4.520000,185800
2022-09-07,4.520000,4.595000,4.400000,4.490000,4.490000,153900
2022-09-08,4.450000,4.557000,4.400000,4.470000,4.470000,177300
2022-09-09,4.460000,4.540000,4.320000,4.380000,4.380000,290300
2022-09-12,4.400000,4.490000,4.320000,4.370000,4.370000,158500
2022-09-13,4.250000,4.345000,4.170000,4.180000,4.180000,258000
2022-09-14,4.170000,4.325000,4.050000,4.300000,4.300000,272700
2022-09-15,4.250000,4.330000,4.150000,4.210000,4.210000,154100
2022-09-16,4.120000,4.200000,4.050000,4.190000,4.190000,520100
2022-09-19,4.120000,4.190000,4.050000,4.170000,4.170000,166800
2022-09-20,4.110000,4.305000,4.070000,4.250000,4.250000,187700
2022-09-21,4.250000,4.440000,4.100000,4.100000,4.100000,251900
2022-09-22,4.100000,4.160000,4.000000,4.090000,4.090000,288100
2022-09-23,4.010000,4.050000,3.900000,3.940000,3.940000,441100
2022-09-26,3.870000,4.022000,3.530000,3.560000,3.560000,582100
2022-09-27,3.600000,3.780000,3.530000,3.620000,3.620000,211800
2022-09-28,3.600000,3.765000,3.540000,3.720000,3.720000,201900
2022-09-29,3.650000,3.680000,3.445000,3.630000,3.630000,278000
2022-09-30,3.620000,3.800000,3.581000,3.700000,3.700000,261500
2022-10-03,3.720000,3.730000,3.560000,3.650000,3.650000,170900
2022-10-04,3.760000,4.040000,3.750000,3.990000,3.990000,225700
2022-10-05,3.960000,3.995000,3.760000,3.880000,3.880000,127800
2022-10-06,3.840000,3.960000,3.790000,3.810000,3.810000,145000
2022-10-07,3.780000,3.780000,3.400000,3.470000,3.470000,194400
2022-10-10,3.450000,3.450000,3.225000,3.340000,3.340000,218000
2022-10-11,3.350000,3.490000,3.235000,3.380000,3.380000,168100
2022-10-12,3.380000,3.440000,3.230000,3.400000,3.400000,173800
2022-10-13,3.310000,3.410000,3.250000,3.360000,3.360000,196000
2022-10-14,3.390000,3.470000,3.290000,3.360000,3.360000,161600
2022-10-17,3.370000,3.580000,3.370000,3.440000,3.440000,228600
2022-10-18,3.560000,3.647000,3.470000,3.530000,3.530000,123800
2022-10-19,3.530000,3.750000,3.440000,3.640000,3.640000,315700
2022-10-20,3.620000,3.795000,3.605000,3.760000,3.760000,186500
2022-10-21,3.790000,3.880000,3.655000,3.840000,3.840000,204200
2022-10-24,3.870000,4.070000,3.820000,4.060000,4.060000,250300
2022-10-25,4.070000,4.610000,4.070000,4.450000,4.450000,375000
2022-10-26,4.380000,4.450000,3.950000,4.020000,4.020000,353700
2022-10-27,4.030000,4.030000,3.750000,3.840000,3.840000,383300
2022-10-28,3.890000,3.910000,3.579000,3.870000,3.870000,263800
2022-10-31,3.830000,4.160000,3.790000,4.000000,4.000000,183800
2022-11-01,4.070000,4.125000,3.840000,3.920000,3.920000,130800
2022-11-02,3.940000,3.940000,3.545000,3.560000,3.560000,248900
2022-11-03,3.500000,3.550000,3.350000,3.480000,3.480000,179800
2022-11-04,3.510000,3.520000,3.270000,3.360000,3.360000,115600
2022-11-07,3.340000,3.470000,3.180000,3.420000,3.420000,272400
2022-11-08,3.450000,3.450000,3.285000,3.390000,3.390000,165300
2022-11-09,3.540000,3.540000,3.110000,3.170000,3.170000,356500
2022-11-10,3.290000,3.650000,3.201000,3.510000,3.510000,415500
2022-11-11,3.500000,3.900000,3.440000,3.810000,3.810000,373100
2022-11-14,3.780000,3.785000,3.289000,3.565000,3.565000,415000
2022-11-15,3.560000,3.640000,3.170000,3.180000,3.180000,487200
2022-11-16,3.130000,3.160000,2.840000,2.910000,2.910000,659500
2022-11-17,2.810000,2.975000,2.750000,2.950000,2.950000,379800
2022-11-18,3.020000,3.030000,2.810000,2.870000,2.870000,211000
2022-11-21,2.900000,2.930000,2.555000,2.625000,2.625000,530600
2022-11-22,2.620000,2.720000,2.512000,2.690000,2.690000,333600
2022-11-23,2.680000,2.710000,2.580000,2.685000,2.685000,185300
2022-11-25,2.650000,2.710000,2.580000,2.640000,2.640000,107900
2022-11-28,2.590000,2.660000,2.570000,2.590000,2.590000,184500
2022-11-29,2.590000,2.650000,2.550000,2.570000,2.570000,186100
2022-11-30,2.590000,2.637000,2.520000,2.590000,2.590000,353300
2022-12-01,2.600000,2.670000,2.470000,2.490000,2.490000,335400
2022-12-02,2.450000,2.535000,2.350000,2.410000,2.410000,301900
2022-12-05,2.420000,2.460000,2.200000,2.310000,2.310000,434900
2022-12-06,2.320000,2.380000,2.225000,2.280000,2.280000,234300
2022-12-07,2.280000,2.420000,2.220000,2.280000,2.280000,226700
2022-12-08,2.290000,2.420000,2.230000,2.320000,2.320000,284800
2022-12-09,2.320000,2.450000,2.262000,2.370000,2.370000,190200
2022-12-12,2.360000,2.360000,2.100000,2.170000,2.170000,491400
2022-12-13,2.280000,2.380000,1.940000,2.000000,2.000000,700600
2022-12-14,1.970000,2.090000,1.880000,1.930000,1.930000,723300
2022-12-15,1.850000,2.010000,1.850000,1.910000,1.910000,727600
2022-12-16,1.880000,1.950000,1.700000,1.850000,1.850000,1765700
