Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,3.850000,4.150000,3.850000,4.010000,4.010000,72900
2022-07-12,4.070000,4.155000,3.950000,4.000000,4.000000,47800
2022-07-13,4.010000,4.130000,3.940000,4.050000,4.050000,31300
2022-07-14,4.010000,4.100000,3.990000,4.040000,4.040000,64700
2022-07-15,4.140000,4.275000,4.100000,4.150000,4.150000,88300
2022-07-18,4.280000,4.580000,4.280000,4.380000,4.380000,117800
2022-07-19,4.420000,4.690000,4.420000,4.570000,4.570000,38100
2022-07-20,4.630000,4.690000,4.445000,4.460000,4.460000,32900
2022-07-21,4.400000,4.690000,4.400000,4.450000,4.450000,93900
2022-07-22,4.420000,4.610000,4.420000,4.520000,4.520000,48600
2022-07-25,4.470000,4.700000,4.420000,4.510000,4.510000,44500
2022-07-26,4.590000,4.620000,4.440000,4.480000,4.480000,27200
2022-07-27,4.500000,4.500000,4.410000,4.470000,4.470000,25000
2022-07-28,4.480000,4.605000,4.390000,4.490000,4.490000,27800
2022-07-29,4.500000,4.700000,4.440000,4.490000,4.490000,27700
2022-08-01,4.370000,4.628000,4.300000,4.460000,4.460000,55100
2022-08-02,4.490000,4.720000,4.490000,4.670000,4.670000,10800
2022-08-03,4.780000,5.030000,4.770000,4.990000,4.990000,16400
2022-08-04,5.110000,5.110000,4.930000,5.050000,5.050000,7000
2022-08-05,5.080000,5.080000,4.940000,4.980000,4.980000,11400
2022-08-08,4.950000,5.005000,4.775000,4.900000,4.900000,54200
2022-08-09,4.970000,5.100000,4.820000,4.820000,4.820000,40600
2022-08-10,4.850000,5.020000,4.790000,4.900000,4.900000,18900
2022-08-11,4.860000,5.065000,4.660000,4.710000,4.710000,14100
2022-08-12,4.720000,4.990000,4.700000,4.860000,4.860000,19700
2022-08-15,4.850000,5.080000,4.790000,4.790000,4.790000,36200
2022-08-16,4.720000,4.970000,4.635000,4.810000,4.810000,63300
2022-08-17,4.840000,5.000000,4.840000,4.850000,4.850000,29100
2022-08-18,4.910000,5.150000,4.880000,5.150000,5.150000,20000
2022-08-19,5.080000,5.130000,4.700000,4.790000,4.790000,38600
2022-08-22,4.660000,4.670000,4.310000,4.340000,4.340000,26600
2022-08-23,4.300000,4.750000,4.300000,4.310000,4.310000,23100
2022-08-24,4.332000,4.360000,4.070000,4.140000,4.140000,33200
2022-08-25,4.100000,4.100000,4.085000,4.100000,4.100000,8400
2022-08-26,4.100000,4.170000,3.920000,3.920000,3.920000,58900
2022-08-29,4.040000,4.110000,3.950000,3.980000,3.980000,39700
2022-08-30,3.990000,4.270000,3.810000,3.850000,3.850000,38700
2022-08-31,4.030000,4.103000,3.860000,4.000000,4.000000,40200
2022-09-01,3.990000,4.130000,3.940000,3.980000,3.980000,57800
2022-09-02,3.990000,4.000000,3.840000,3.970000,3.970000,31100
2022-09-06,3.930000,4.100000,3.920000,4.070000,4.070000,23600
2022-09-07,4.060000,4.120000,3.910000,3.980000,3.980000,39100
2022-09-08,3.900000,4.170000,3.880000,3.910000,3.910000,22400
2022-09-09,3.920000,4.180000,3.920000,3.980000,3.980000,21700
2022-09-12,4.020000,4.020000,3.890000,3.940000,3.940000,34600
2022-09-13,3.850000,4.085000,3.850000,3.950000,3.950000,42900
2022-09-14,4.020000,4.050000,3.880000,3.910000,3.910000,22400
2022-09-15,3.960000,4.010000,3.880000,3.940000,3.940000,11300
2022-09-16,3.870000,4.040000,3.820000,4.020000,4.020000,87800
2022-09-19,4.060000,4.360000,3.980000,4.180000,4.180000,43900
2022-09-20,4.250000,4.250000,3.970000,4.000000,4.000000,18700
2022-09-21,4.070000,4.070000,3.940000,3.940000,3.940000,9800
2022-09-22,3.910000,3.910000,3.760000,3.800000,3.800000,24200
2022-09-23,3.830000,3.830000,3.570000,3.580000,3.580000,25600
2022-09-26,3.600000,3.710000,3.580000,3.650000,3.650000,28300
2022-09-27,3.640000,4.150000,3.640000,3.840000,3.840000,38700
2022-09-28,3.890000,4.310000,3.830000,4.280000,4.280000,41200
2022-09-29,4.300000,4.470000,4.090000,4.150000,4.150000,26500
2022-09-30,4.200000,4.540000,4.080000,4.510000,4.510000,18900
2022-10-03,4.470000,4.470000,4.010000,4.100000,4.100000,35500
2022-10-04,4.200000,4.310000,4.130000,4.270000,4.270000,26000
2022-10-05,4.260000,4.410000,4.120000,4.130000,4.130000,16600
2022-10-06,4.170000,4.270000,4.000000,4.020000,4.020000,18100
2022-10-07,4.000000,4.080000,3.870000,3.910000,3.910000,14700
2022-10-10,3.980000,3.980000,3.760000,3.830000,3.830000,11300
2022-10-11,3.800000,4.040000,3.800000,3.820000,3.820000,21400
2022-10-12,3.880000,3.880000,3.770000,3.830000,3.830000,9600
2022-10-13,3.860000,4.150000,3.850000,4.080000,4.080000,115000
2022-10-14,4.110000,4.310000,4.070000,4.070000,4.070000,25000
2022-10-17,4.160000,4.550000,4.160000,4.530000,4.530000,23500
2022-10-18,4.590000,5.050000,4.590000,4.900000,4.900000,31100
2022-10-19,4.830000,5.280000,4.830000,4.980000,4.980000,60600
2022-10-20,4.910000,5.090000,4.420000,4.420000,4.420000,57500
2022-10-21,4.650000,4.870000,4.330000,4.870000,4.870000,28000
2022-10-24,4.900000,5.150000,4.760000,4.960000,4.960000,29500
2022-10-25,5.050000,5.290000,4.980000,5.190000,5.190000,33800
2022-10-26,5.140000,5.380000,5.084000,5.250000,5.250000,18900
2022-10-27,5.250000,5.440000,5.030000,5.040000,5.040000,34700
2022-10-28,5.110000,5.290000,4.870000,5.210000,5.210000,45800
2022-10-31,5.100000,5.320000,5.010000,5.130000,5.130000,48900
2022-11-01,5.230000,5.550000,5.160000,5.240000,5.240000,37100
2022-11-02,5.180000,5.540000,5.090000,5.140000,5.140000,40200
2022-11-03,5.170000,5.502000,5.060000,5.150000,5.150000,23800
