Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,27.559999,27.650000,27.350000,27.410000,26.498772,9000
2022-07-12,27.370001,27.700001,27.370001,27.670000,26.750130,15600
2022-07-13,27.500000,27.510000,27.299999,27.400000,26.489103,8500
2022-07-14,27.209999,27.270000,26.719999,27.150000,26.247416,15500
2022-07-15,27.450001,28.010000,27.190001,27.750000,26.827469,20200
2022-07-18,27.820000,28.350000,27.719999,27.959999,27.030485,9200
2022-07-19,28.299999,28.770000,28.299999,28.700001,27.745888,13100
2022-07-20,28.760000,28.879999,28.500000,28.799999,27.842562,14300
2022-07-21,28.770000,28.900000,28.670000,28.840000,27.881231,7900
2022-07-22,28.950001,29.000000,28.520000,28.799999,27.842562,15800
2022-07-25,28.799999,29.270000,28.469999,28.900000,27.939238,33500
2022-07-26,28.959999,29.090000,28.799999,28.820000,27.861897,9900
2022-07-27,29.209999,29.450001,28.809999,29.250000,28.277601,17200
2022-07-28,29.400000,29.760000,29.020000,29.670000,28.683638,17900
2022-07-29,30.000000,30.830000,29.809999,30.510000,29.495714,33300
2022-08-01,30.510000,30.830000,29.879999,30.139999,29.138016,37800
2022-08-02,29.809999,30.040001,29.500000,29.500000,28.519291,13000
2022-08-03,29.780001,29.940001,29.400000,29.430000,28.451620,11100
2022-08-04,29.500000,29.559999,29.389999,29.500000,28.519291,12600
2022-08-05,29.420000,29.740000,29.260000,29.680000,28.693308,9700
2022-08-08,29.580000,30.180000,29.559999,29.730000,28.741644,25200
2022-08-09,29.700001,29.830000,29.459999,29.830000,28.838320,11000
2022-08-10,29.910000,29.950001,29.450001,29.620001,28.635302,16400
2022-08-11,29.559999,29.889999,29.360001,29.780001,28.789982,18800
2022-08-12,29.750000,30.000000,29.750000,29.969999,28.973665,25000
2022-08-15,29.959999,30.170000,29.840000,29.990000,28.993000,64200
2022-08-16,30.059999,30.110001,29.799999,29.930000,28.934996,35000
2022-08-17,29.910000,30.000000,29.830000,29.959999,28.963997,19700
2022-08-18,30.049999,30.150000,29.830000,29.990000,28.993000,15800
2022-08-19,29.780001,29.920000,29.690001,29.860001,28.867325,18800
2022-08-22,29.730000,29.820000,29.320000,29.370001,28.393612,14700
2022-08-23,29.480000,29.520000,29.200001,29.219999,28.248598,16400
2022-08-24,29.330000,29.469999,29.000000,29.100000,28.132589,9500
2022-08-25,29.180000,29.500000,29.120001,29.450001,28.470955,17200
2022-08-26,29.420000,29.420000,28.860001,29.059999,28.093920,12400
2022-08-29,28.879999,29.200001,28.719999,29.070000,28.103584,18900
2022-08-30,29.219999,29.219999,28.969999,28.980000,28.016577,15800
2022-08-31,29.070000,29.110001,28.510000,28.520000,27.571871,12000
2022-09-01,28.379999,28.870001,28.280001,28.700001,27.745888,12800
2022-09-02,28.790001,29.030001,28.200001,28.280001,27.339851,9000
2022-09-06,28.170000,28.350000,27.719999,27.879999,26.953146,16000
2022-09-07,28.049999,28.600000,27.940001,28.600000,27.649212,15000
2022-09-08,28.450001,28.700001,28.170000,28.389999,27.446192,8800
2022-09-09,28.469999,28.700001,28.230000,28.700001,27.745888,10300
2022-09-12,28.620001,29.070000,28.549999,28.750000,27.794224,9300
2022-09-13,28.379999,28.600000,27.910000,28.100000,27.165833,23800
2022-09-14,28.500000,28.540001,27.000000,27.190001,26.474518,41100
2022-09-15,27.250000,27.850000,27.020000,27.389999,26.669254,22500
2022-09-16,27.190001,27.690001,26.650000,26.969999,26.260305,83000
2022-09-19,26.969999,27.770000,26.930000,27.629999,26.902937,17700
2022-09-20,27.450001,28.260000,27.250000,28.100000,27.360571,19300
2022-09-21,28.010000,28.400000,27.790001,28.209999,27.467674,70200
2022-09-22,28.270000,28.400000,27.650000,27.650000,26.922413,8400
2022-09-23,27.700001,27.700001,27.309999,27.600000,26.873728,12200
2022-09-26,27.400000,27.629999,27.049999,27.320000,26.601097,9500
2022-09-27,27.360001,27.809999,26.889999,27.219999,26.503725,16500
2022-09-28,27.389999,27.480000,26.840000,27.280001,26.562149,21600
2022-09-29,27.270000,27.490000,26.700001,27.299999,26.581621,16300
2022-09-30,27.389999,27.870001,26.940001,26.940001,26.231094,19200
2022-10-03,27.139999,27.440001,26.629999,27.340000,26.620569,16700
2022-10-04,27.500000,28.500000,27.500000,28.080000,27.341097,23000
2022-10-05,27.850000,28.139999,27.540001,27.770000,27.039255,20000
2022-10-06,27.770000,27.879999,27.260000,27.299999,26.581621,11000
2022-10-07,27.000000,27.350000,26.379999,26.730000,26.026621,18200
2022-10-10,26.610001,26.870001,26.590000,26.730000,26.026621,7000
2022-10-11,26.549999,27.139999,26.500000,26.910000,26.201885,12000
2022-10-12,26.809999,27.170000,26.790001,26.980000,26.270042,9400
2022-10-13,26.889999,28.240000,26.889999,28.240000,27.496885,19400
2022-10-14,28.250000,28.670000,27.620001,27.840000,27.107412,9800
2022-10-17,28.200001,28.610001,27.820000,28.500000,27.750044,18400
2022-10-18,28.620001,29.000000,28.040001,28.040001,27.302151,12400
2022-10-19,28.000000,28.280001,27.650000,27.980000,27.243727,19200
2022-10-20,27.650000,27.930000,27.170000,27.620001,26.893202,16300
2022-10-21,27.690001,28.280001,27.690001,28.100000,27.360571,14900
2022-10-24,28.500000,28.870001,28.500000,28.750000,27.993467,13000
2022-10-25,28.950001,29.000000,28.740000,28.809999,28.051886,12900
2022-10-26,28.980000,29.430000,28.850000,28.959999,28.197939,9600
2022-10-27,29.000000,29.250000,28.840000,29.000000,28.236887,11300
2022-10-28,29.120001,29.730000,29.120001,29.389999,28.616623,16700
2022-10-31,29.350000,29.480000,28.980000,29.070000,28.305046,13400
2022-11-01,29.200001,29.200001,28.670000,28.969999,28.207678,9700
2022-11-02,28.870001,29.250000,28.459999,28.459999,27.711096,21900
