Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,5.040000,5.090000,4.647000,5.010000,5.010000,180600
2022-04-29,5.020000,5.173000,4.780000,4.860000,4.860000,281000
2022-05-02,4.830000,5.120000,4.770000,5.090000,5.090000,289700
2022-05-03,1.500000,2.370000,1.495000,1.850000,1.850000,17612100
2022-05-04,1.615000,1.820000,1.560000,1.750000,1.750000,3178600
2022-05-05,1.730000,2.038000,1.700000,1.840000,1.840000,1738600
2022-05-06,1.840000,2.380000,1.700000,2.070000,2.070000,2374600
2022-05-09,2.070000,2.240000,1.880000,1.890000,1.890000,724100
2022-05-10,2.015000,2.040000,1.755000,1.760000,1.760000,494400
2022-05-11,1.800000,1.817000,1.680000,1.700000,1.700000,394400
2022-05-12,1.690000,1.800000,1.660000,1.700000,1.700000,508500
2022-05-13,1.700000,1.768000,1.670000,1.710000,1.710000,506500
2022-05-16,1.650000,1.820000,1.650000,1.710000,1.710000,453100
2022-05-17,1.770000,1.800000,1.620000,1.650000,1.650000,589000
2022-05-18,1.620000,1.620000,1.430000,1.440000,1.440000,452400
2022-05-19,1.500000,1.500000,1.380000,1.440000,1.440000,561100
2022-05-20,1.410000,1.430000,1.340000,1.380000,1.380000,526000
2022-05-23,1.370000,1.370000,1.300000,1.330000,1.330000,282800
2022-05-24,1.300000,1.330000,1.190000,1.230000,1.230000,356600
2022-05-25,1.220000,1.220000,1.185000,1.200000,1.200000,208500
2022-05-26,1.220000,1.260000,1.170000,1.200000,1.200000,411400
2022-05-27,1.210000,1.280000,1.200000,1.240000,1.240000,452200
2022-05-31,1.330000,1.330000,1.170000,1.180000,1.180000,481900
2022-06-01,1.190000,1.200000,1.060000,1.070000,1.070000,295600
2022-06-02,1.080000,1.090000,1.030000,1.040000,1.040000,302400
2022-06-03,1.070000,1.140000,1.025000,1.040000,1.040000,533700
2022-06-06,1.050000,1.150000,1.000000,1.130000,1.130000,447800
2022-06-07,1.120000,1.280000,1.100000,1.250000,1.250000,499900
2022-06-08,1.220000,1.265000,1.180000,1.190000,1.190000,231400
2022-06-09,1.170000,1.240000,1.130000,1.160000,1.160000,238500
2022-06-10,1.130000,1.155000,1.050000,1.070000,1.070000,189400
2022-06-13,1.032000,1.040000,0.980000,1.020000,1.020000,230500
2022-06-14,1.030000,1.050000,0.957000,0.967000,0.967000,189100
2022-06-15,0.970000,1.020000,0.930000,0.959000,0.959000,188800
2022-06-16,0.910000,0.940000,0.855000,0.890000,0.890000,252600
2022-06-17,0.900000,0.990000,0.888000,0.938000,0.938000,232800
2022-06-21,0.937000,0.988000,0.900000,0.926000,0.926000,292400
2022-06-22,0.920000,1.030000,0.920000,1.010000,1.010000,278700
2022-06-23,1.020000,1.050000,0.933000,1.050000,1.050000,329400
2022-06-24,1.030000,1.140000,0.940000,0.940000,0.940000,3253900
2022-06-27,0.950000,0.950000,0.896000,0.940000,0.940000,502300
2022-06-28,0.870000,0.880000,0.760000,0.772000,0.772000,475400
2022-06-29,0.772000,0.830000,0.732000,0.804000,0.804000,593800
2022-06-30,0.790000,0.805000,0.735000,0.741000,0.741000,219300
2022-07-01,0.760000,0.836000,0.744000,0.827000,0.827000,218100
2022-07-05,0.780000,0.835000,0.755000,0.780000,0.780000,354500
2022-07-06,0.774000,0.827000,0.765000,0.781000,0.781000,135000
2022-07-07,0.781000,0.810000,0.751000,0.806000,0.806000,235300
2022-07-08,0.806000,0.830000,0.783000,0.825000,0.825000,170400
2022-07-11,0.840000,0.840000,0.770000,0.771000,0.771000,168300
2022-07-12,0.760000,0.770000,0.735000,0.758000,0.758000,171400
2022-07-13,0.760000,0.780000,0.736000,0.770000,0.770000,223200
2022-07-14,0.750000,0.829000,0.740000,0.799000,0.799000,207200
2022-07-15,0.830000,0.839000,0.778000,0.790000,0.790000,90900
2022-07-18,0.785000,0.802000,0.756000,0.768000,0.768000,193300
2022-07-19,0.767000,0.809000,0.753000,0.776000,0.776000,136500
2022-07-20,0.799000,0.799000,0.753000,0.765000,0.765000,157300
2022-07-21,0.773000,0.790000,0.765000,0.780000,0.780000,104100
2022-07-22,0.795000,0.796000,0.753000,0.753000,0.753000,106600
2022-07-25,0.753000,0.792000,0.740000,0.788000,0.788000,108700
2022-07-26,0.770000,0.796000,0.746000,0.768000,0.768000,96400
2022-07-27,0.766000,0.796000,0.733000,0.778000,0.778000,236100
2022-07-28,0.770000,0.778000,0.681000,0.720000,0.720000,352200
2022-07-29,0.700000,0.740000,0.700000,0.732000,0.732000,128700
2022-08-01,0.740000,0.744000,0.681000,0.685000,0.685000,140600
2022-08-02,0.684000,0.699000,0.680000,0.680000,0.680000,74800
2022-08-03,0.709000,0.814000,0.680000,0.755000,0.755000,423700
2022-08-04,0.755000,0.792000,0.755000,0.787000,0.787000,125300
2022-08-05,0.800000,0.830000,0.778000,0.800000,0.800000,188900
2022-08-08,0.801000,0.952000,0.770000,0.821000,0.821000,491900
2022-08-09,0.990000,1.000000,0.770000,0.776000,0.776000,529600
2022-08-10,0.811000,0.867000,0.776000,0.850000,0.850000,225600
2022-08-11,0.880000,0.880000,0.750000,0.779000,0.779000,430400
2022-08-12,0.809000,0.809000,0.767000,0.780000,0.780000,111700
2022-08-15,0.780000,0.918000,0.780000,0.904000,0.904000,374700
2022-08-16,0.925000,0.925000,0.840000,0.896000,0.896000,273400
2022-08-17,0.899000,1.110000,0.880000,1.070000,1.070000,567700
2022-08-18,1.100000,1.110000,1.020000,1.030000,1.030000,224600
2022-08-19,1.040000,1.050000,0.968000,0.983000,0.983000,133500
2022-08-22,0.980000,0.992000,0.950000,0.960000,0.960000,138200
2022-08-23,0.960000,0.991000,0.930000,0.951000,0.951000,84400
2022-08-24,0.950000,0.950000,0.901000,0.935000,0.935000,58100
2022-08-25,0.947000,1.020000,0.930000,1.010000,1.010000,132600
2022-08-26,1.040000,1.040000,0.901000,0.907000,0.907000,90800
2022-08-29,0.900000,0.910000,0.880000,0.880000,0.880000,82300
2022-08-30,0.890000,0.962000,0.867000,0.880000,0.880000,84900
2022-08-31,0.895000,0.895000,0.791000,0.807000,0.807000,190300
2022-09-01,0.820000,0.835000,0.750000,0.762000,0.762000,136400
2022-09-02,0.760000,0.800000,0.712000,0.727000,0.727000,101300
2022-09-06,0.835000,1.900000,0.800000,1.130000,1.130000,80518300
2022-09-07,1.240000,1.500000,1.180000,1.430000,1.430000,57822900
2022-09-08,1.280000,1.340000,1.190000,1.220000,1.220000,8032800
2022-09-09,1.240000,1.240000,1.100000,1.120000,1.120000,3801200
2022-09-12,1.110000,1.120000,1.040000,1.080000,1.080000,2334300
2022-09-13,1.010000,1.060000,0.960000,1.040000,1.040000,1555300
2022-09-14,0.990000,1.040000,0.911000,0.924000,0.924000,1594100
2022-09-15,0.930000,0.985000,0.930000,0.970000,0.970000,628100
2022-09-16,0.949000,0.960000,0.849000,0.900000,0.900000,1165100
2022-09-19,0.840000,0.891000,0.840000,0.870000,0.870000,446500
2022-09-20,0.860000,0.889000,0.840000,0.881000,0.881000,377700
2022-09-21,0.881000,0.900000,0.810000,0.822000,0.822000,477100
2022-09-22,2.040000,3.180000,1.850000,2.200000,2.200000,218597300
2022-09-23,2.265000,2.410000,1.920000,1.970000,1.970000,41732500
2022-09-26,2.000000,2.320000,1.970000,2.090000,2.090000,20247900
2022-09-27,2.140000,2.170000,2.000000,2.020000,2.020000,9903400
2022-09-28,1.890000,2.110000,1.810000,2.050000,2.050000,5755000
2022-09-29,1.960000,2.069000,1.910000,1.970000,1.970000,2177500
2022-09-30,1.920000,2.100000,1.890000,2.000000,2.000000,2320500
2022-10-03,1.990000,2.100000,1.940000,2.020000,2.020000,2891700
2022-10-04,2.050000,2.160000,1.990000,2.000000,2.000000,5578300
2022-10-05,2.050000,2.240000,2.011000,2.100000,2.100000,4654600
2022-10-06,2.190000,2.280000,2.020000,2.070000,2.070000,5118100
2022-10-07,2.050000,2.080000,1.820000,1.870000,1.870000,3224100
2022-10-10,1.910000,1.995000,1.870000,1.960000,1.960000,905500
2022-10-11,1.900000,2.040000,1.870000,1.970000,1.970000,1280900
2022-10-12,1.990000,1.990000,1.900000,1.980000,1.980000,785700
2022-10-13,1.920000,1.990000,1.890000,1.990000,1.990000,1207200
2022-10-14,2.010000,2.140000,1.935000,1.980000,1.980000,2489400
2022-10-17,1.970000,2.020000,1.950000,2.000000,2.000000,1152800
2022-10-18,1.990000,2.150000,1.950000,2.040000,2.040000,2965200
2022-10-19,2.020000,2.039000,1.790000,1.810000,1.810000,1947000
2022-10-20,1.820000,1.920000,1.810000,1.880000,1.880000,770900
2022-10-21,1.870000,1.910000,1.770000,1.890000,1.890000,898900
2022-10-24,1.910000,1.910000,1.820000,1.870000,1.870000,743400
2022-10-25,1.850000,1.950000,1.840000,1.940000,1.940000,634000
2022-10-26,1.950000,2.050000,1.921000,2.000000,2.000000,842100
2022-10-27,1.960000,2.020000,1.920000,1.960000,1.960000,497400
2022-10-28,1.990000,2.010000,1.930000,1.970000,1.970000,574200
2022-10-31,1.980000,2.015000,1.910000,1.960000,1.960000,437000
2022-11-01,1.980000,2.030000,1.930000,1.970000,1.970000,539100
2022-11-02,1.980000,2.001000,1.900000,1.920000,1.920000,584900
2022-11-03,1.900000,1.955000,1.870000,1.880000,1.880000,347200
2022-11-04,1.890000,1.900000,1.845000,1.890000,1.890000,262400
2022-11-07,1.920000,1.965000,1.830000,1.940000,1.940000,498800
2022-11-08,2.060000,2.145000,1.910000,1.950000,1.950000,5019000
2022-11-09,1.910000,1.930000,1.850000,1.910000,1.910000,559700
2022-11-10,1.940000,1.975000,1.880000,1.950000,1.950000,988700
2022-11-11,1.980000,2.080000,1.950000,2.000000,2.000000,991500
2022-11-14,2.010000,2.120000,1.980000,2.030000,2.030000,1299600
2022-11-15,1.930000,1.980000,1.850000,1.880000,1.880000,946200
2022-11-16,1.880000,1.900000,1.800000,1.860000,1.860000,991500
2022-11-17,1.840000,1.890000,1.805000,1.860000,1.860000,578200
2022-11-18,1.850000,1.910000,1.840000,1.870000,1.870000,407700
2022-11-21,1.870000,1.930000,1.840000,1.860000,1.860000,586300
2022-11-22,1.850000,1.950000,1.825000,1.950000,1.950000,610700
2022-11-23,1.950000,1.953000,1.890000,1.930000,1.930000,303000
2022-11-25,1.920000,1.970000,1.905000,1.920000,1.920000,202300
2022-11-28,1.930000,1.950000,1.890000,1.910000,1.910000,265000
2022-11-29,1.900000,1.930000,1.840000,1.930000,1.930000,350000
2022-11-30,1.910000,1.960000,1.900000,1.940000,1.940000,300500
2022-12-01,1.890000,1.940000,1.870000,1.910000,1.910000,244000
2022-12-02,1.920000,1.920000,1.830000,1.920000,1.920000,415100
2022-12-05,1.870000,1.910000,1.870000,1.890000,1.890000,164600
2022-12-06,1.850000,1.880000,1.830000,1.830000,1.830000,325000
2022-12-07,1.830000,1.830000,1.730000,1.770000,1.770000,580500
2022-12-08,1.780000,1.830000,1.690000,1.820000,1.820000,811100
2022-12-09,1.740000,1.785000,1.720000,1.750000,1.750000,664400
2022-12-12,1.700000,1.745000,1.640000,1.700000,1.700000,811700
2022-12-13,1.710000,1.780000,1.670000,1.720000,1.720000,408800
2022-12-14,1.740000,1.785000,1.702000,1.730000,1.730000,304100
