Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,10.910000,11.020000,10.720000,10.840000,10.840000,544400
2022-07-12,10.840000,11.150000,10.770000,10.850000,10.850000,551400
2022-07-13,10.620000,10.870000,10.480000,10.790000,10.790000,431200
2022-07-14,10.650000,10.810000,10.520000,10.710000,10.710000,404800
2022-07-15,10.960000,10.960000,10.640000,10.710000,10.710000,750200
2022-07-18,10.850000,10.970000,10.570000,10.570000,10.570000,490800
2022-07-19,10.650000,10.840000,10.650000,10.820000,10.820000,250400
2022-07-20,10.830000,11.210000,10.830000,11.180000,11.180000,389900
2022-07-21,11.160000,11.290000,11.070000,11.290000,11.290000,300400
2022-07-22,11.300000,11.360000,10.890000,10.960000,10.960000,281800
2022-07-25,11.000000,11.090000,10.900000,10.920000,10.920000,325100
2022-07-26,10.700000,10.730000,10.010000,10.010000,10.010000,410800
2022-07-27,10.130000,10.590000,10.130000,10.510000,10.510000,465500
2022-07-28,10.490000,10.570000,10.290000,10.540000,10.540000,301300
2022-07-29,10.600000,10.830000,10.440000,10.710000,10.710000,456400
2022-08-01,10.700000,10.700000,10.370000,10.400000,10.400000,574700
2022-08-02,10.790000,10.880000,9.360000,9.370000,9.370000,720500
2022-08-03,9.280000,9.690000,9.280000,9.640000,9.640000,436400
2022-08-04,9.650000,9.770000,9.500000,9.610000,9.610000,580200
2022-08-05,9.470000,9.730000,9.350000,9.640000,9.640000,515400
2022-08-08,9.700000,9.940000,9.660000,9.830000,9.830000,395400
2022-08-09,9.720000,9.780000,9.610000,9.750000,9.750000,321200
2022-08-10,10.010000,10.180000,9.970000,10.170000,10.170000,425400
2022-08-11,10.190000,10.300000,9.910000,9.920000,9.920000,291400
2022-08-12,9.990000,10.160000,9.950000,10.120000,10.120000,264200
2022-08-15,10.020000,10.340000,10.020000,10.180000,10.180000,333200
2022-08-16,10.110000,10.220000,9.980000,10.180000,10.180000,281300
2022-08-17,10.050000,10.190000,9.900000,10.110000,10.110000,298600
2022-08-18,10.030000,10.410000,10.030000,10.250000,10.250000,382600
2022-08-19,10.120000,10.120000,9.830000,9.950000,9.950000,288300
2022-08-22,9.730000,9.800000,9.560000,9.620000,9.620000,349800
2022-08-23,9.630000,9.870000,9.620000,9.620000,9.620000,352400
2022-08-24,9.580000,9.730000,9.510000,9.530000,9.530000,303600
2022-08-25,9.600000,9.760000,9.540000,9.600000,9.600000,236300
2022-08-26,9.540000,9.620000,9.270000,9.350000,9.350000,298200
2022-08-29,9.230000,9.380000,9.190000,9.200000,9.200000,271200
2022-08-30,9.300000,9.400000,9.210000,9.260000,9.260000,295200
2022-08-31,9.280000,9.340000,9.060000,9.070000,9.070000,739600
2022-09-01,9.000000,9.000000,8.700000,8.720000,8.720000,536900
2022-09-02,8.810000,8.900000,8.620000,8.760000,8.760000,432400
2022-09-06,8.750000,8.770000,8.470000,8.500000,8.500000,346500
