Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,3.380000,3.450000,3.150000,3.150000,3.150000,12988500
2022-07-12,3.180000,3.300000,3.130000,3.220000,3.220000,13342200
2022-07-13,3.170000,3.260000,3.110000,3.220000,3.220000,12552900
2022-07-14,3.170000,3.810000,3.080000,3.690000,3.690000,64050800
2022-07-15,3.640000,3.720000,3.260000,3.300000,3.300000,36462700
2022-07-18,3.370000,3.650000,3.310000,3.400000,3.400000,36298800
2022-07-19,3.430000,3.670000,3.310000,3.560000,3.560000,40156300
2022-07-20,3.550000,4.090000,3.530000,3.940000,3.940000,64501400
2022-07-21,4.120000,4.160000,3.720000,3.750000,3.750000,52847600
2022-07-22,3.730000,3.750000,3.460000,3.500000,3.500000,24532400
2022-07-25,3.540000,3.650000,3.370000,3.540000,3.540000,22597800
2022-07-26,3.490000,3.580000,3.360000,3.380000,3.380000,19538400
2022-07-27,3.440000,3.450000,3.170000,3.260000,3.260000,32419700
2022-07-28,3.300000,3.660000,3.280000,3.650000,3.650000,38507900
2022-07-29,3.480000,3.670000,3.410000,3.650000,3.650000,23686800
2022-08-01,3.550000,3.590000,3.410000,3.420000,3.420000,20665500
2022-08-02,3.420000,3.950000,3.370000,3.900000,3.900000,36341700
2022-08-03,3.970000,4.050000,3.800000,3.880000,3.880000,25686800
2022-08-04,3.830000,4.140000,3.790000,4.030000,4.030000,28701000
2022-08-05,3.880000,4.020000,3.800000,3.900000,3.900000,24705500
2022-08-08,3.930000,4.430000,3.900000,4.300000,4.300000,48097500
2022-08-09,4.170000,4.220000,3.820000,3.840000,3.840000,32014400
2022-08-10,4.000000,4.130000,3.840000,4.060000,4.060000,30106100
2022-08-11,4.180000,4.270000,3.850000,3.850000,3.850000,28716800
2022-08-12,3.960000,4.060000,3.830000,4.030000,4.030000,23529400
2022-08-15,4.000000,4.380000,3.990000,4.290000,4.290000,41284800
2022-08-16,4.330000,4.480000,4.120000,4.200000,4.200000,43558100
2022-08-17,4.200000,4.520000,4.050000,4.060000,4.060000,46225300
2022-08-18,4.090000,4.110000,3.920000,4.030000,4.030000,19964200
2022-08-19,3.910000,3.980000,3.710000,3.740000,3.740000,24832200
2022-08-22,3.660000,3.660000,3.510000,3.540000,3.540000,21924800
