Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,4.450000,4.500000,4.220000,4.240000,4.240000,1982300
2022-07-12,4.280000,4.410000,4.040000,4.330000,4.330000,2364900
2022-07-13,4.180000,4.460000,4.130000,4.410000,4.410000,2124300
2022-07-14,4.370000,4.420000,4.190000,4.210000,4.210000,1530100
2022-07-15,4.350000,4.350000,4.080000,4.280000,4.280000,1331800
2022-07-18,4.330000,4.460000,3.750000,3.790000,3.790000,4715900
2022-07-19,3.800000,4.070000,3.700000,3.960000,3.960000,3148400
2022-07-20,4.060000,4.390000,4.030000,4.260000,4.260000,4096600
2022-07-21,4.230000,4.320000,4.080000,4.120000,4.120000,2122800
2022-07-22,4.200000,4.200000,3.740000,3.740000,3.740000,2470400
2022-07-25,3.820000,3.820000,3.640000,3.750000,3.750000,1230600
2022-07-26,3.690000,3.880000,3.650000,3.760000,3.760000,1978000
2022-07-27,3.800000,3.820000,3.660000,3.800000,3.800000,2289900
2022-07-28,3.780000,3.830000,3.610000,3.700000,3.700000,1458700
2022-07-29,3.670000,3.690000,3.580000,3.680000,3.680000,1653100
2022-08-01,3.630000,3.800000,3.570000,3.580000,3.580000,1689300
2022-08-02,3.560000,3.830000,3.530000,3.760000,3.760000,1703700
2022-08-03,3.790000,3.940000,3.750000,3.810000,3.810000,2730300
2022-08-04,3.850000,3.980000,3.770000,3.910000,3.910000,2537400
2022-08-05,3.850000,4.140000,3.780000,4.110000,4.110000,4449000
2022-08-08,4.070000,4.340000,4.020000,4.290000,4.290000,3965200
2022-08-09,3.980000,4.390000,3.850000,4.250000,4.250000,3445100
2022-08-10,4.320000,4.480000,4.280000,4.460000,4.460000,2790900
2022-08-11,4.450000,4.620000,4.000000,4.070000,4.070000,3567600
2022-08-12,4.090000,4.170000,4.010000,4.160000,4.160000,2728500
2022-08-15,4.080000,4.360000,4.080000,4.350000,4.350000,1827700
2022-08-16,4.330000,4.340000,4.120000,4.160000,4.160000,2079600
2022-08-17,4.130000,4.190000,3.990000,4.030000,4.030000,1890100
2022-08-18,4.040000,4.040000,3.790000,3.880000,3.880000,1928000
2022-08-19,3.820000,3.870000,3.620000,3.650000,3.650000,1802200
2022-08-22,3.580000,3.730000,3.360000,3.400000,3.400000,2569800
2022-08-23,3.420000,3.590000,3.380000,3.510000,3.510000,1694600
2022-08-24,3.510000,3.640000,3.440000,3.550000,3.550000,1707500
2022-08-25,3.570000,3.620000,3.330000,3.360000,3.360000,1937500
2022-08-26,3.350000,3.360000,3.040000,3.060000,3.060000,3263100
2022-08-29,3.070000,3.190000,2.970000,3.000000,3.000000,2818800
2022-08-30,3.050000,3.120000,2.930000,2.990000,2.990000,1708900
2022-08-31,3.030000,3.150000,3.010000,3.100000,3.100000,2299300
2022-09-01,3.030000,3.170000,2.910000,3.150000,3.150000,5247000
2022-09-02,3.080000,3.100000,2.850000,2.850000,2.850000,3109300
2022-09-06,2.880000,2.890000,2.700000,2.740000,2.740000,2643800
2022-09-07,2.720000,2.860000,2.720000,2.830000,2.830000,3413500
2022-09-08,2.780000,2.910000,2.760000,2.860000,2.860000,2730400
2022-09-09,2.890000,2.940000,2.820000,2.870000,2.870000,1640600
2022-09-12,2.890000,2.940000,2.840000,2.890000,2.890000,2080500
2022-09-13,2.850000,2.870000,2.650000,2.680000,2.680000,3004900
2022-09-14,2.680000,2.790000,2.650000,2.720000,2.720000,2903200
2022-09-15,2.710000,2.820000,2.690000,2.760000,2.760000,2208300
2022-09-16,2.700000,2.730000,2.510000,2.590000,2.590000,5831200
2022-09-19,2.530000,2.550000,2.350000,2.420000,2.420000,3579800
2022-09-20,2.360000,2.450000,2.270000,2.310000,2.310000,2379800
2022-09-21,2.310000,2.370000,2.190000,2.190000,2.190000,3616200
2022-09-22,2.160000,2.210000,2.110000,2.180000,2.180000,3072700
2022-09-23,2.140000,2.160000,2.020000,2.100000,2.100000,4179200
2022-09-26,2.100000,2.280000,2.080000,2.090000,2.090000,2236900
2022-09-27,2.150000,2.230000,2.120000,2.170000,2.170000,2837900
2022-09-28,2.200000,2.350000,2.190000,2.330000,2.330000,3385100
2022-09-29,2.280000,2.300000,2.090000,2.130000,2.130000,2709300
2022-09-30,2.090000,2.310000,2.090000,2.180000,2.180000,2224700
2022-10-03,2.240000,2.250000,2.060000,2.150000,2.150000,2639900
2022-10-04,2.170000,2.260000,2.150000,2.240000,2.240000,2947500
2022-10-05,2.190000,2.230000,2.040000,2.140000,2.140000,1908200
2022-10-06,2.100000,2.170000,1.970000,1.990000,1.990000,4671900
2022-10-07,1.930000,1.990000,1.900000,1.930000,1.930000,3938700
2022-10-10,1.920000,1.920000,1.800000,1.820000,1.820000,3752700
2022-10-11,1.820000,1.960000,1.710000,1.850000,1.850000,4290400
2022-10-12,1.840000,1.870000,1.700000,1.750000,1.750000,2803500
2022-10-13,1.730000,1.840000,1.660000,1.830000,1.830000,2562100
2022-10-14,1.850000,1.890000,1.690000,1.700000,1.700000,2359600
2022-10-17,1.720000,1.810000,1.710000,1.790000,1.790000,3013600
2022-10-18,1.840000,1.850000,1.690000,1.720000,1.720000,2551500
2022-10-19,1.710000,1.740000,1.590000,1.610000,1.610000,4117400
2022-10-20,1.620000,1.710000,1.600000,1.610000,1.610000,2155100
2022-10-21,1.620000,1.680000,1.570000,1.670000,1.670000,3090600
2022-10-24,1.660000,1.670000,1.560000,1.610000,1.610000,2067800
2022-10-25,1.630000,1.720000,1.610000,1.700000,1.700000,3031600
2022-10-26,1.740000,1.820000,1.680000,1.700000,1.700000,2377800
2022-10-27,1.730000,1.760000,1.650000,1.660000,1.660000,2258400
2022-10-28,1.660000,1.740000,1.630000,1.730000,1.730000,3218900
2022-10-31,1.720000,1.730000,1.650000,1.670000,1.670000,2209800
2022-11-01,1.700000,1.780000,1.610000,1.620000,1.620000,3631300
2022-11-02,1.610000,1.680000,1.540000,1.540000,1.540000,3541800
