Date,Open,High,Low,Close,Adj Close,Volume
2022-07-10,1.306486,1.335465,1.301180,1.319934,1.319934,7779188
2022-07-11,1.319855,1.328640,1.307500,1.311984,1.311984,5733273
2022-07-12,1.311826,1.339253,1.309499,1.313070,1.313070,7952893
2022-07-13,1.313275,1.323738,1.298173,1.316042,1.316042,7637060
2022-07-14,1.316347,1.338873,1.311688,1.329141,1.329141,7375348
2022-07-15,1.329582,1.337011,1.307887,1.309192,1.309192,8025301
2022-07-16,1.309007,1.333935,1.303012,1.333380,1.333380,6550339
2022-07-17,1.333993,1.336169,1.315290,1.324618,1.324618,6067250
2022-07-18,1.325062,1.351296,1.323480,1.348398,1.348398,8963724
2022-07-19,1.346071,1.346071,1.326881,1.335297,1.335297,8143845
2022-07-20,1.335352,1.346132,1.313417,1.326400,1.326400,7981549
2022-07-21,1.326462,1.335751,1.312299,1.332652,1.332652,6589557
2022-07-22,1.333058,1.339374,1.317717,1.323711,1.323711,6356642
2022-07-23,1.321999,1.337567,1.320142,1.334366,1.334366,5820906
2022-07-24,1.334076,1.345408,1.333307,1.335376,1.335376,6277188
2022-07-25,1.335415,1.338461,1.309695,1.309722,1.309722,5992562
2022-07-26,1.311886,1.325751,1.308764,1.325496,1.325496,6443240
2022-07-27,1.325070,1.344928,1.317023,1.344130,1.344130,6452037
2022-07-28,1.344020,1.346242,1.327844,1.338897,1.338897,11289917
2022-07-29,1.338988,1.349490,1.326640,1.334025,1.334025,11834059
2022-07-30,1.333823,1.341771,1.326514,1.329780,1.329780,13413012
2022-07-31,1.329499,1.359984,1.329499,1.337080,1.337080,12416907
2022-08-01,1.337342,1.348888,1.329950,1.333943,1.333943,15163720
2022-08-02,1.333780,1.361335,1.318203,1.348361,1.348361,11016333
2022-08-03,1.348168,1.356252,1.329861,1.330332,1.330332,9544880
2022-08-04,1.330527,1.342338,1.327579,1.328637,1.328637,9485659
2022-08-05,1.328808,1.346708,1.327650,1.339940,1.339940,9954446
2022-08-06,1.339616,1.346750,1.330101,1.338065,1.338065,9803581
2022-08-07,1.338170,1.345168,1.332114,1.336331,1.336331,9559008
2022-08-08,1.336196,1.345655,1.332456,1.334651,1.334651,9547005
2022-08-09,1.335046,1.350628,1.327914,1.342073,1.342073,11494140
2022-08-10,1.341958,1.353141,1.332604,1.349615,1.349615,10790782
2022-08-11,1.349520,1.356325,1.332646,1.336048,1.336048,9533099
2022-08-12,1.335803,1.338927,1.327866,1.336241,1.336241,8421654
2022-08-13,1.336350,1.339581,1.329962,1.333684,1.333684,9204249
2022-08-14,1.333888,1.337695,1.327108,1.330488,1.330488,9440299
2022-08-15,1.330545,1.338169,1.322712,1.326309,1.326309,8794507
2022-08-16,1.325686,1.331998,1.316495,1.319597,1.319597,8187811
2022-08-17,1.319587,1.331004,1.306787,1.309398,1.309398,8868323
2022-08-18,1.307431,1.318329,1.304807,1.305527,1.305527,8069984
2022-08-19,1.305481,1.368845,1.297479,1.317798,1.317798,16790266
2022-08-20,1.318007,1.332166,1.305963,1.317440,1.317440,9879838
2022-08-21,1.317122,1.324533,1.312142,1.315455,1.315455,8403911
2022-08-22,1.315423,1.322113,1.305724,1.321819,1.321819,8447388
2022-08-23,1.321500,1.324736,1.309868,1.312108,1.312108,6343110
2022-08-24,1.312054,1.316702,1.305333,1.306716,1.306716,5527364
2022-08-25,1.306298,1.318947,1.296590,1.302916,1.302916,6882912
2022-08-26,1.302984,1.304798,1.273818,1.275394,1.275394,6960056
2022-08-27,1.275177,1.289640,1.266630,1.274244,1.274244,5293952
2022-08-28,1.273944,1.277617,1.263882,1.264772,1.264772,5397973
2022-08-29,1.264531,1.281819,1.260176,1.274494,1.274494,4246553
2022-08-30,1.274522,1.281759,1.256046,1.256210,1.256210,6257088
2022-08-31,1.256326,1.269386,1.252975,1.256348,1.256348,4384027
2022-09-01,1.256102,1.264610,1.252395,1.263637,1.263637,5441640
2022-09-02,1.263971,1.266747,1.253185,1.255973,1.255973,4815424
2022-09-03,1.255707,1.260083,1.251252,1.252549,1.252549,3635555
2022-09-04,1.252436,1.256659,1.249788,1.251637,1.251637,4005571
2022-09-05,1.251684,1.252659,1.243914,1.247277,1.247277,4205821
2022-09-06,1.247742,1.255476,1.220187,1.231040,1.231040,3703392
2022-09-07,1.230673,1.242268,1.226777,1.238654,1.238654,4711426
2022-09-08,1.238747,1.240280,1.228396,1.232819,1.232819,5218600
2022-09-09,1.232379,1.250146,1.230167,1.235291,1.235291,7086294
2022-09-10,1.235282,1.236297,1.229167,1.232746,1.232746,4787922
2022-09-11,1.232695,1.236630,1.225860,1.231958,1.231958,4599941
2022-09-12,1.231957,1.236933,1.207362,1.213702,1.213702,6021887
2022-09-13,1.213710,1.223089,1.205429,1.209791,1.209791,6885023
2022-09-14,1.207378,1.212738,1.199371,1.205585,1.205585,8476559
2022-09-15,1.205449,1.210451,1.195299,1.196450,1.196450,6755253
2022-09-16,1.197200,1.214536,1.193045,1.204771,1.204771,7559929
2022-09-17,1.204819,1.211330,1.197954,1.206676,1.206676,6319807
2022-09-18,1.206744,1.208034,1.190475,1.195110,1.195110,6817172
2022-09-19,1.194219,1.216433,1.186697,1.209526,1.209526,7331604
2022-09-20,1.209087,1.209452,1.187468,1.188895,1.188895,6584282
2022-09-21,1.189005,1.210656,1.185841,1.187584,1.187584,7196983
2022-09-22,1.187411,1.198102,1.185298,1.192709,1.192709,6902413
2022-09-23,1.192603,1.195167,1.182483,1.190162,1.190162,7331965
2022-09-24,1.189954,1.197160,1.182349,1.185986,1.185986,6353661
2022-09-25,1.185964,1.188764,1.180602,1.182845,1.182845,5811862
2022-09-26,1.183129,1.193901,1.178670,1.183236,1.183236,6349794
2022-09-27,1.183488,1.192578,1.177860,1.179328,1.179328,6290871
2022-09-28,1.179683,1.199836,1.174962,1.185820,1.185820,8437333
2022-09-29,1.185988,1.188068,1.177964,1.180347,1.180347,6589336
2022-09-30,1.180451,1.186487,1.174576,1.179581,1.179581,6587358
2022-10-01,1.178315,1.182038,1.172073,1.174100,1.174100,4523408
2022-10-02,1.173831,1.176696,1.167986,1.168841,1.168841,4699806
2022-10-03,1.169167,1.178729,1.166611,1.168881,1.168881,6356704
2022-10-04,1.168755,1.186546,1.167276,1.174359,1.174359,6626693
2022-10-05,1.174425,1.174997,1.166352,1.172858,1.172858,4955508
2022-10-06,1.172681,1.175565,1.162390,1.164230,1.164230,4723100
2022-10-07,1.164213,1.166679,1.157517,1.161991,1.161991,4656207
2022-10-08,1.161912,1.165167,1.158559,1.160602,1.160602,3787893
2022-10-09,1.161322,1.167141,1.159689,1.164598,1.164598,4820442
2022-10-10,1.164355,1.168168,1.158023,1.161452,1.161452,5736681
2022-10-11,1.161639,1.166069,1.156636,1.158524,1.158524,5925137
2022-10-12,1.159480,1.161305,1.152753,1.152895,1.152895,5056083
2022-10-13,1.152711,1.165222,1.145175,1.154667,1.154667,6585226
2022-10-14,1.154496,1.171424,1.141521,1.144678,1.144678,6805371
2022-10-15,1.144564,1.149552,1.140743,1.144635,1.144635,5248083
2022-10-16,1.144672,1.150905,1.142349,1.145307,1.145307,5152603
2022-10-17,1.145557,1.155421,1.142106,1.154321,1.154321,5803563
2022-10-18,1.154253,1.174510,1.144756,1.150792,1.150792,9742389
2022-10-19,1.151869,1.153371,1.139832,1.140370,1.140370,4963781
2022-10-20,1.140841,1.146817,1.135353,1.140781,1.140781,4683430
2022-10-21,1.140618,1.150773,1.135285,1.145784,1.145784,4499703
2022-10-22,1.145547,1.165141,1.138504,1.156744,1.156744,6453249
2022-10-23,1.156767,1.162691,1.148686,1.155424,1.155424,4906517
2022-10-24,1.155998,1.159123,1.139336,1.142866,1.142866,4343808
2022-10-25,1.142988,1.158598,1.135999,1.138555,1.138555,5502108
2022-10-26,1.138400,1.149355,1.136254,1.143111,1.143111,5393679
2022-10-27,1.143145,1.144970,1.133380,1.137662,1.137662,5431878
2022-10-28,1.137671,1.146424,1.133601,1.140687,1.140687,4796010
2022-10-29,1.140425,1.145993,1.130690,1.131555,1.131555,6573809
2022-10-30,1.131554,1.135905,1.122263,1.123212,1.123212,5417438
2022-10-31,1.123338,1.132473,1.120501,1.123712,1.123712,5277859
2022-11-01,1.123674,1.127951,1.098995,1.103437,1.103437,7436232
2022-11-02,1.103652,1.117712,1.094811,1.105979,1.105979,6872585
2022-11-03,1.105954,1.117213,1.100568,1.102454,1.102454,6040541
2022-11-04,1.101766,1.124186,1.101572,1.121135,1.121135,9984794
2022-11-05,1.121215,1.128966,1.105712,1.107299,1.107299,9933626
2022-11-06,1.107109,1.109169,1.093221,1.093403,1.093403,6095005
2022-11-07,1.093765,1.105777,1.092598,1.101591,1.101591,6414207
2022-11-08,1.101549,1.115083,1.077335,1.085803,1.085803,14478050
2022-11-09,1.085717,1.087421,1.051099,1.056444,1.056444,9625754
2022-11-10,1.056882,1.081094,1.053437,1.063020,1.063020,6981545
2022-11-11,1.063489,1.066227,1.042387,1.051681,1.051681,3146251
2022-11-12,1.051857,1.051981,1.039028,1.041607,1.041607,2960641
2022-11-13,1.041895,1.045983,1.032180,1.037382,1.037382,2765432
2022-11-14,1.037405,1.048038,1.031119,1.037574,1.037574,2655478
2022-11-15,1.037410,1.045606,1.033865,1.036942,1.036942,2033970
2022-11-16,1.037175,1.038109,1.017662,1.023023,1.023023,2437439
2022-11-17,1.023032,1.025956,1.015530,1.018857,1.018857,4885720
2022-11-18,1.018811,1.025561,1.016310,1.023823,1.023823,3494791
2022-11-19,1.024336,1.024336,1.016068,1.021973,1.021973,3148917
2022-11-20,1.021835,1.030672,1.014799,1.016342,1.016342,3781828
2022-11-21,1.016209,1.021383,1.013518,1.019502,1.019502,4224563
2022-11-22,1.019806,1.028119,1.015789,1.021423,1.021423,3397869
2022-11-23,1.021513,1.034654,1.018864,1.032724,1.032724,3683751
2022-11-24,1.032791,1.035746,1.019493,1.026412,1.026412,1606365
2022-11-25,1.026440,1.027548,1.015583,1.016692,1.016692,1503623
2022-11-26,1.016811,1.045097,1.016064,1.026403,1.026403,5167160
2022-11-27,1.026194,1.040255,1.025609,1.026663,1.026663,2944237
2022-11-28,1.026362,1.031482,1.017401,1.024641,1.024641,3204270
2022-11-29,1.024710,1.063567,1.021397,1.057411,1.057411,6181898
2022-11-30,1.057109,1.071487,1.049143,1.059225,1.059225,5472410
2022-12-01,1.059189,1.062726,1.044605,1.051156,1.051156,4008763
2022-12-02,1.051176,1.054254,1.011916,1.028285,1.028285,3353310
2022-12-03,1.028627,1.030266,1.014354,1.017945,1.017945,2121401
2022-12-04,1.017925,1.041406,1.017295,1.034670,1.034670,2519159
2022-12-05,1.034598,1.080313,1.029021,1.042330,1.042330,10856125
2022-12-06,1.042368,1.057005,1.031262,1.034791,1.034791,7807568
2022-12-07,1.034520,1.045421,1.017246,1.021300,1.021300,6155321
2022-12-08,1.021319,1.026891,1.016075,1.022343,1.022343,3502732
2022-12-09,1.022468,1.028832,1.015405,1.019298,1.019298,2893941
2022-12-10,1.019108,1.028345,1.014793,1.015646,1.015646,3381261
2022-12-11,1.015541,1.022588,1.014058,1.017309,1.017309,3599694
2022-12-12,1.016976,1.499158,1.001629,1.062826,1.062826,28008854
2022-12-13,1.062293,1.062293,1.015283,1.019968,1.019968,8500995
2022-12-14,1.019982,1.023384,1.011155,1.013113,1.013113,4161253
2022-12-15,1.013147,1.014214,1.002123,1.005925,1.005925,3784519
2022-12-16,1.005881,1.341767,0.996127,1.022782,1.022782,21778018
2022-12-17,1.022614,1.052818,1.022115,1.024109,1.024109,13077350
2022-12-18,1.023941,1.025964,1.013389,1.016206,1.016206,1252986
2022-12-19,1.016169,1.087848,1.012357,1.029552,1.029552,9547882
