Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,5.300000,5.300000,5.070000,5.220000,5.220000,112900
2022-07-12,5.180000,5.240000,5.100000,5.130000,5.130000,150200
2022-07-13,5.140000,5.290000,5.110000,5.190000,5.190000,116800
2022-07-14,5.140000,5.140000,4.930000,4.930000,4.930000,151300
2022-07-15,4.940000,5.030000,4.870000,4.880000,4.880000,204400
2022-07-18,4.930000,5.120000,4.910000,5.000000,5.000000,204100
2022-07-19,5.030000,5.030000,4.910000,4.910000,4.910000,165500
2022-07-20,4.910000,5.170000,4.910000,5.040000,5.040000,298000
2022-07-21,5.010000,5.140000,4.980000,5.040000,5.040000,222600
2022-07-22,5.040000,5.080000,4.870000,5.080000,5.080000,155700
2022-07-25,5.050000,5.100000,4.930000,5.090000,5.090000,96300
2022-07-26,5.070000,5.140000,4.900000,4.970000,4.970000,73900
2022-07-27,4.960000,5.180000,4.930000,5.070000,5.070000,209400
2022-07-28,5.070000,5.410000,5.070000,5.290000,5.290000,122400
2022-07-29,5.250000,5.400000,5.200000,5.300000,5.300000,147300
2022-08-01,5.300000,5.630000,5.300000,5.410000,5.410000,152300
2022-08-02,5.480000,5.700000,5.410000,5.700000,5.700000,98300
2022-08-03,5.710000,6.220000,5.660000,6.120000,6.120000,324200
2022-08-04,6.080000,6.290000,5.960000,6.180000,6.180000,531900
2022-08-05,6.140000,6.390000,6.050000,6.300000,6.300000,203500
2022-08-08,6.270000,6.470000,6.250000,6.350000,6.350000,94700
2022-08-09,6.340000,6.400000,6.230000,6.350000,6.350000,79400
2022-08-10,6.370000,6.600000,6.170000,6.500000,6.500000,211900
2022-08-11,6.700000,6.700000,6.430000,6.600000,6.600000,146800
2022-08-12,6.540000,7.000000,6.540000,7.000000,7.000000,172700
2022-08-15,7.000000,7.200000,6.800000,7.100000,7.100000,163400
2022-08-16,7.020000,7.100000,6.940000,7.070000,7.070000,52000
2022-08-17,7.020000,7.100000,6.840000,7.000000,7.000000,127900
2022-08-18,7.000000,7.070000,6.830000,6.930000,6.930000,39900
2022-08-19,6.840000,6.920000,6.680000,6.830000,6.830000,154000
2022-08-22,6.740000,6.780000,6.550000,6.650000,6.650000,144500
2022-08-23,6.580000,6.780000,6.500000,6.750000,6.750000,170400
2022-08-24,6.720000,6.810000,6.600000,6.790000,6.790000,193100
2022-08-25,6.810000,7.040000,6.590000,6.630000,6.630000,598200
2022-08-26,6.690000,6.740000,6.470000,6.550000,6.550000,136100
