Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,9.530000,9.780000,9.520000,9.690000,9.452404,494400
2022-07-12,9.660000,9.730000,9.480000,9.610000,9.374368,877700
2022-07-13,9.560000,9.570000,9.290000,9.410000,9.179273,752300
2022-07-14,9.320000,9.530000,9.240000,9.470000,9.237801,904900
2022-07-15,9.520000,9.600000,9.350000,9.420000,9.189026,412300
2022-07-18,9.510000,9.750000,9.410000,9.560000,9.325595,980800
2022-07-19,9.580000,9.580000,9.050000,9.050000,8.828098,923700
2022-07-20,9.100000,9.490000,9.000000,9.430000,9.198782,1341900
2022-07-21,9.380000,9.450000,9.270000,9.360000,9.130498,436100
2022-07-22,9.450000,9.700000,9.380000,9.530000,9.296329,728400
2022-07-25,9.600000,9.650000,9.450000,9.580000,9.345102,1029000
2022-07-26,9.610000,9.660000,9.280000,9.360000,9.130498,1097300
2022-07-27,9.370000,9.590000,9.360000,9.590000,9.354859,550200
2022-07-28,9.620000,10.100000,9.620000,9.990000,9.745049,1151500
2022-07-29,10.000000,10.020000,9.860000,9.910000,9.667011,755500
2022-08-01,9.900000,10.190000,9.900000,9.960000,9.715787,959100
2022-08-02,9.910000,10.140000,9.810000,10.040000,9.793824,690600
2022-08-03,10.010000,10.060000,9.520000,9.670000,9.432898,1944300
2022-08-04,9.710000,9.830000,9.440000,9.520000,9.286576,1922800
2022-08-05,9.490000,9.650000,9.470000,9.650000,9.413387,855300
2022-08-08,9.670000,9.870000,9.520000,9.730000,9.491424,839100
2022-08-09,9.750000,9.810000,9.460000,9.800000,9.559710,1348600
2022-08-10,9.900000,9.900000,9.620000,9.720000,9.481670,1095300
2022-08-11,9.820000,9.820000,9.320000,9.450000,9.218291,1162400
2022-08-12,9.480000,9.820000,9.420000,9.700000,9.462160,1976600
2022-08-15,9.750000,10.000000,9.670000,9.940000,9.696277,1826700
2022-08-16,9.970000,10.060000,9.800000,9.880000,9.637748,1661400
2022-08-17,9.860000,9.990000,9.790000,9.850000,9.608482,4142000
2022-08-18,9.910000,10.040000,9.810000,9.980000,9.735295,733000
2022-08-19,9.920000,10.230000,9.850000,10.050000,9.803579,1083300
2022-08-22,10.040000,10.250000,10.010000,10.160000,9.910883,1552200
2022-08-23,10.160000,10.190000,10.120000,10.170000,9.920636,913100
2022-08-24,10.200000,10.240000,10.100000,10.150000,9.901127,693400
2022-08-25,10.210000,10.280000,10.070000,10.180000,9.930391,473200
2022-08-26,10.200000,10.260000,9.890000,9.910000,9.667011,606800
