Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,25.450001,25.600000,25.450001,25.469999,25.036577,800
2022-07-12,25.200001,25.290001,25.200001,25.204000,24.775105,600
2022-07-13,25.313000,25.313000,25.313000,25.313000,24.882250,100
2022-07-14,25.219999,25.219999,25.219999,25.219999,24.790833,600
2022-07-15,24.660000,24.840000,24.660000,24.834000,24.411400,600
2022-07-18,25.100000,25.100000,25.100000,25.100000,24.672874,400
2022-07-19,25.280001,25.280001,25.190001,25.190001,24.761343,2000
2022-07-20,25.087000,25.087000,25.087000,25.087000,24.660095,0
2022-07-21,24.830000,24.870001,24.830000,24.870001,24.446789,400
2022-07-22,24.789000,24.789000,24.789000,24.789000,24.367167,100
2022-07-25,24.760000,24.760000,24.760000,24.760000,24.338661,500
2022-07-26,24.809999,24.809999,24.809999,24.809999,24.387810,0
2022-07-27,24.860001,25.010000,24.860001,24.990000,24.564747,1200
2022-07-28,24.896000,24.896000,24.896000,24.896000,24.472345,100
2022-07-29,24.549999,24.549999,24.549999,24.549999,24.132233,100
2022-08-01,24.434000,24.434000,24.434000,24.434000,24.018208,0
2022-08-02,24.190001,24.193001,24.159000,24.159000,23.747889,300
2022-08-03,24.006001,24.006001,24.006001,24.006001,23.597492,100
2022-08-04,24.211000,24.211000,24.211000,24.211000,23.799004,100
2022-08-05,24.415001,24.415001,24.415001,24.415001,23.999533,100
2022-08-08,24.535000,24.535000,24.415001,24.415001,23.999533,100
2022-08-09,24.475000,24.475000,24.475000,24.475000,24.058510,100
2022-08-10,24.528000,24.528000,24.528000,24.528000,24.110609,100
2022-08-11,24.809999,24.809999,24.809999,24.809999,24.387810,300
2022-08-12,24.792000,24.792000,24.792000,24.792000,24.370115,0
2022-08-15,24.650000,24.650000,24.549999,24.549999,24.132233,300
2022-08-16,24.549999,24.549999,24.549999,24.549999,24.132233,100
2022-08-17,24.670000,24.764999,24.670000,24.764999,24.343575,300
2022-08-18,24.504000,24.504000,24.504000,24.504000,24.087017,0
2022-08-19,24.215000,24.215000,24.215000,24.215000,23.802935,0
2022-08-22,24.266001,24.266001,24.266001,24.266001,23.853067,100
2022-08-23,24.406000,24.406000,24.406000,24.406000,23.990685,0
2022-08-24,23.905001,23.905001,23.905001,23.905001,23.498211,100
2022-08-25,24.201000,24.201000,24.201000,24.201000,23.789173,100
2022-08-26,23.840000,23.840000,23.840000,23.840000,23.434317,100
2022-08-29,23.735001,23.735001,23.735001,23.735001,23.331104,100
2022-08-30,23.450001,23.450001,23.450001,23.450001,23.050953,100
2022-08-31,23.445999,23.445999,23.445999,23.445999,23.047020,100
2022-09-01,23.427999,23.427999,23.427999,23.427999,23.029327,100
2022-09-02,23.122000,23.122000,23.122000,23.122000,22.728535,100
2022-09-06,23.201000,23.201000,23.201000,23.201000,22.806190,0
2022-09-07,23.209999,23.427000,23.209999,23.427000,23.028343,300
2022-09-08,23.339001,23.339001,23.339001,23.339001,22.941843,100
2022-09-09,23.645000,23.645000,23.645000,23.645000,23.242634,100
2022-09-12,23.750000,23.750000,23.750000,23.750000,23.345848,100
2022-09-13,23.264000,23.264000,23.264000,23.264000,22.868118,100
2022-09-14,23.320000,23.320000,23.320000,23.320000,22.923164,0
2022-09-15,22.844999,22.868999,22.844999,22.868999,22.479839,200
2022-09-16,22.360001,22.360001,22.280001,22.358999,21.978518,800
2022-09-19,22.420000,22.420000,22.420000,22.420000,22.038481,0
2022-09-20,22.309999,22.309999,22.309999,22.309999,21.930351,100
2022-09-21,22.003000,22.003000,22.003000,22.003000,21.628576,100
2022-09-22,21.954000,21.954000,21.954000,21.954000,21.580410,100
2022-09-23,21.520000,21.520000,21.520000,21.520000,21.153795,100
