Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,46.840000,46.840000,46.740002,46.741001,45.455109,100500
2022-07-12,46.820000,46.849998,46.765999,46.765999,45.479424,8100
2022-07-13,46.580002,46.830002,46.580002,46.745998,45.459972,29500
2022-07-14,46.569000,46.709999,46.569000,46.706001,45.421078,2700
2022-07-15,46.730000,46.770000,46.730000,46.757000,45.470673,3900
2022-07-18,46.730000,46.730000,46.695000,46.700001,45.415245,3300
2022-07-19,46.689999,46.700001,46.687000,46.687000,45.402599,4300
2022-07-20,46.692001,46.692001,46.641998,46.646000,45.362720,5600
2022-07-21,46.730000,46.900002,46.730000,46.874001,45.584454,17100
2022-07-22,47.009998,47.055000,47.009998,47.055000,45.760479,52000
2022-07-25,46.980000,47.080002,46.980000,46.983002,45.690456,29300
2022-07-26,47.020000,47.040001,46.960999,46.960999,45.669064,11800
2022-07-27,47.000000,47.110001,46.990002,47.099998,45.804241,10700
2022-07-28,47.230000,47.279999,47.230000,47.271000,45.970531,14200
2022-07-29,47.241001,47.320000,47.241001,47.299000,45.997761,16000
2022-08-01,47.240002,47.240002,47.209999,47.216999,45.973423,20300
2022-08-02,47.169998,47.169998,47.000000,47.000000,45.762135,23500
2022-08-03,47.000000,47.060001,46.919998,47.042000,45.803028,26600
2022-08-04,47.070000,47.160000,47.060001,47.160000,45.917923,18300
2022-08-05,46.849998,46.910000,46.849998,46.889999,45.655033,4800
2022-08-08,46.959999,46.970001,46.902000,46.917999,45.682293,4500
2022-08-09,46.841999,46.869999,46.840000,46.841999,45.608295,2500
2022-08-10,47.057999,47.060001,46.950001,46.964001,45.727077,17900
2022-08-11,47.090000,47.090000,46.910000,46.910000,45.674503,6900
2022-08-12,47.000000,47.000000,46.950001,46.980999,45.743633,3200
2022-08-15,47.040001,47.040001,47.000000,47.020000,45.781605,64700
2022-08-16,46.970001,47.000000,46.950001,46.980000,45.742661,66500
2022-08-17,46.840000,46.889999,46.799999,46.842999,45.609268,12200
2022-08-18,46.919998,46.950001,46.889999,46.910000,45.674503,12800
2022-08-19,46.840000,46.840000,46.799999,46.820000,45.586872,12100
2022-08-22,46.759998,46.764999,46.705002,46.705002,45.474911,1700
2022-08-23,46.700001,46.818001,46.700001,46.770000,45.538193,32800
2022-08-24,46.693001,46.700001,46.672001,46.685001,45.455433,9300
2022-08-25,46.740002,46.810001,46.740002,46.799999,45.567394,7600
2022-08-26,46.720001,46.759998,46.700001,46.720001,45.489517,21100
2022-08-29,46.639999,46.660000,46.636002,46.639999,45.411617,10000
2022-08-30,46.640999,46.660000,46.580002,46.638000,45.409676,6300
2022-08-31,46.645000,46.645000,46.540001,46.540001,45.314251,13800
2022-09-01,46.389999,46.470001,46.360001,46.459999,45.309376,21900
2022-09-02,46.560001,46.619999,46.528000,46.528000,45.375690,17300
2022-09-06,46.450001,46.450001,46.369999,46.384998,45.236229,11800
2022-09-07,46.459999,46.520000,46.459999,46.507000,45.355209,29900
2022-09-08,46.485001,46.529999,46.460999,46.470001,45.319126,13200
2022-09-09,46.488998,46.520000,46.439999,46.441002,45.290852,623400
2022-09-12,46.480000,46.540001,46.422001,46.448002,45.297672,7600
2022-09-13,46.230000,46.290001,46.219002,46.255001,45.109451,24700
2022-09-14,46.220001,46.250000,46.130001,46.238998,45.093842,22400
2022-09-15,46.220001,46.220001,46.150002,46.174999,45.031437,27000
2022-09-16,46.130001,46.220001,46.130001,46.199001,45.054840,12000
2022-09-19,46.099998,46.139000,46.099998,46.134998,44.992420,18700
2022-09-20,46.068001,46.088001,46.060001,46.064999,44.924152,23100
2022-09-21,46.080002,46.090000,45.980000,46.030998,44.890999,7700
2022-09-22,45.930000,45.930000,45.840000,45.868999,44.733017,18800
2022-09-23,45.789001,45.790001,45.750000,45.761002,44.627693,8000
2022-09-26,45.709999,45.709999,45.529999,45.540001,44.412159,20300
2022-09-27,45.590000,45.590000,45.450001,45.472000,44.345848,21800
2022-09-28,45.694000,45.900002,45.694000,45.820000,44.685226,25900
2022-09-29,45.610001,45.709999,45.599998,45.706001,44.574051,10300
2022-09-30,45.740002,45.759998,45.619999,45.626999,44.497005,16100
2022-10-03,45.720001,45.820999,45.720001,45.789001,44.729504,15000
2022-10-04,45.880001,45.880001,45.840000,45.840000,44.779312,1300
2022-10-05,45.759998,45.779999,45.700001,45.779999,44.720703,18700
2022-10-06,45.680000,45.810001,45.680000,45.709000,44.651348,85700
2022-10-07,45.599998,45.599998,45.541000,45.560001,44.505798,27400
