Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,120.459999,120.550003,118.559998,118.870003,117.743248,466500
2022-07-12,119.379997,120.169998,117.080002,117.750000,116.633850,749400
2022-07-13,115.440002,118.419998,115.239998,117.559998,116.445656,808800
2022-07-14,116.410004,118.260002,115.129997,117.959999,116.841858,583200
2022-07-15,119.220001,120.089996,118.550003,120.010002,118.872429,412800
2022-07-18,121.199997,121.781998,118.620003,119.040001,117.911629,624100
2022-07-19,120.620003,122.820000,119.900002,122.639999,121.477501,482800
2022-07-20,122.889999,125.139999,122.599998,124.660004,123.478348,1023500
2022-07-21,124.849998,126.449997,123.820000,126.449997,125.251381,712200
2022-07-22,126.059998,126.910004,123.470001,124.269997,123.092049,711100
2022-07-25,124.220001,124.370003,122.699997,123.580002,122.408592,523600
2022-07-26,122.800003,122.870003,120.769997,121.139999,119.991722,502200
2022-07-27,123.080002,126.910004,122.820000,126.250000,125.053291,686200
2022-07-28,126.129997,127.667999,124.584999,127.470001,126.261711,924100
2022-07-29,128.070007,130.110001,127.510002,129.789993,128.559723,785400
2022-08-01,129.059998,131.139999,128.585999,129.729996,128.500305,533900
2022-08-02,128.729996,131.029999,128.330002,129.289993,128.064468,2538700
2022-08-03,130.119995,133.160004,130.000000,132.729996,131.471848,835700
2022-08-04,132.869995,133.559998,131.990005,133.500000,132.234573,726200
2022-08-05,131.309998,133.190002,130.990005,132.399994,131.144989,736400
2022-08-08,132.570007,134.279999,131.339996,131.949997,130.699249,875700
2022-08-09,131.089996,131.229996,129.800003,130.449997,129.213455,382600
2022-08-10,133.520004,134.199997,132.509995,134.029999,132.759537,1373500
2022-08-11,135.059998,135.899994,133.050003,133.380005,132.115692,593600
2022-08-12,134.270004,136.000000,133.779999,135.960007,134.671234,447800
2022-08-15,135.580002,137.220001,135.570007,137.020004,135.721191,412800
2022-08-16,136.729996,137.550003,135.449997,136.779999,135.483459,534600
2022-08-17,135.389999,136.339996,134.300003,135.160004,133.878830,534900
2022-08-18,135.100006,135.940002,134.460007,135.470001,134.185883,447800
2022-08-19,134.130005,134.419998,132.509995,132.820007,131.561020,1012500
2022-08-22,131.020004,131.110001,128.990005,129.380005,128.153610,535100
2022-08-23,129.190002,130.410004,128.940002,129.250000,128.024857,2853800
2022-08-24,129.009995,130.339996,128.779999,129.550003,128.322006,624500
2022-08-25,130.339996,131.899994,129.901993,131.899994,130.649719,346400
2022-08-26,131.770004,132.240005,126.459999,126.529999,125.330627,1013000
2022-08-29,125.320000,126.349998,124.839996,125.230003,124.042946,772900
2022-08-30,125.949997,126.129997,122.809998,123.849998,122.676033,675100
2022-08-31,125.050003,125.379997,123.099998,123.220001,122.052010,617100
2022-09-01,122.029999,123.330002,120.550003,123.169998,122.002480,947000
2022-09-02,124.410004,124.949997,120.764000,121.510002,120.358215,674800
2022-09-06,121.629997,121.989998,119.675003,120.610001,119.466743,1010000
2022-09-07,120.739998,123.379997,120.660004,123.010002,121.843994,594900
2022-09-08,122.029999,124.139999,121.550003,123.620003,122.448219,1014200
2022-09-09,124.589996,126.529999,124.589996,126.250000,125.053291,670800
2022-09-12,126.949997,127.959999,126.800003,127.809998,126.598495,422900
2022-09-13,124.169998,124.660004,120.466003,120.839996,119.694557,811300
2022-09-14,121.339996,122.150002,120.589996,121.820000,120.665283,1162000
2022-09-15,120.919998,121.989998,119.110001,119.750000,118.614891,758000
2022-09-16,118.330002,119.190002,117.519997,118.930000,117.802658,711600
2022-09-19,117.699997,119.739998,117.669998,119.730003,118.839905,566400
2022-09-20,118.660004,119.709999,117.800003,118.760002,117.877113,377000
2022-09-21,119.190002,120.879997,116.580002,116.629997,115.762947,1427900
2022-09-22,115.980003,116.389999,114.680000,115.199997,114.343575,869500
2022-09-23,114.180000,114.230003,111.889999,113.400002,112.556961,1629900
2022-09-26,113.120003,114.930000,112.540001,112.720001,111.882011,842500
2022-09-27,114.290001,115.230003,111.980003,112.919998,112.080528,947300
2022-09-28,112.870003,115.669998,112.279999,115.209999,114.353508,1202800
2022-09-29,113.449997,113.610001,110.580002,111.940002,111.107811,1324000
2022-09-30,111.440002,113.180000,109.860001,109.949997,109.132607,1200100
2022-10-03,110.769997,113.169998,110.070000,112.529999,111.693428,1097500
2022-10-04,114.769997,116.328003,114.769997,116.089996,115.226967,1051200
2022-10-05,114.440002,116.730003,113.330002,115.959999,115.097923,798500
2022-10-06,115.559998,116.870003,114.949997,115.120003,114.264175,844900
2022-10-07,113.089996,113.139999,110.160004,110.669998,109.847252,1635900
2022-10-10,110.779999,110.860001,108.459999,109.540001,108.725662,987600
2022-10-11,108.889999,110.059998,107.379997,108.160004,107.355919,1381800
2022-10-12,108.430000,109.120003,107.779999,108.110001,107.306282,824400
2022-10-13,104.959999,111.120003,104.620003,110.559998,109.738075,1791100
2022-10-14,111.559998,111.760002,107.010002,107.279999,106.482452,1020400
2022-10-17,109.720001,111.129997,109.709999,110.739998,109.916733,862500
2022-10-18,113.739998,114.000000,110.550003,111.720001,110.889458,973100
2022-10-19,111.029999,112.550003,110.269997,111.300003,110.472572,1168700
2022-10-20,110.889999,113.040001,110.220001,110.669998,109.847252,967700
2022-10-21,110.220001,113.500000,109.820000,113.330002,112.487473,846700
2022-10-24,113.470001,114.919998,111.889999,114.570000,113.718262,1743000
2022-10-25,114.970001,117.050003,114.970001,116.879997,116.011086,689900
2022-10-26,114.519997,116.769997,114.129997,114.300003,113.450272,1193200
2022-10-27,113.860001,114.430000,112.029999,112.209999,111.375801,843200
2022-10-28,111.930000,115.860001,111.919998,115.680000,114.820015,899900
2022-10-31,114.739998,114.980003,113.550003,114.349998,113.499893,606000
2022-11-01,115.870003,116.019997,113.015999,113.169998,112.328667,927800
2022-11-02,113.150002,114.410004,109.262001,109.339996,108.527138,1434400
2022-11-03,108.099998,108.750000,107.000000,107.209999,106.412979,1192500
