Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,1.320000,1.340000,1.310000,1.320000,1.320000,3000
2022-07-12,1.270000,1.340000,1.270000,1.270000,1.270000,13300
2022-07-13,1.290000,1.330000,1.280000,1.320000,1.320000,4400
2022-07-14,1.330000,1.340000,1.290000,1.290000,1.290000,3800
2022-07-15,1.280000,1.370000,1.280000,1.350000,1.350000,12200
2022-07-18,1.320000,1.370000,1.300000,1.350000,1.350000,12200
2022-07-19,1.340000,1.360000,1.300000,1.300000,1.300000,5000
2022-07-20,1.320000,1.370000,1.270000,1.310000,1.310000,9200
2022-07-21,1.350000,1.360000,1.290000,1.350000,1.350000,12900
2022-07-22,1.400000,1.400000,1.320000,1.350000,1.350000,23500
2022-07-25,1.320000,1.410000,1.320000,1.360000,1.360000,7600
2022-07-26,1.340000,1.400000,1.320000,1.330000,1.330000,6000
2022-07-27,1.390000,1.390000,1.300000,1.390000,1.390000,7200
2022-07-28,1.360000,1.400000,1.330000,1.360000,1.360000,12000
2022-07-29,1.400000,1.400000,1.320000,1.400000,1.400000,21600
2022-08-01,1.420000,1.430000,1.340000,1.360000,1.360000,9400
2022-08-02,1.310000,1.430000,1.280000,1.280000,1.280000,8400
2022-08-03,1.340000,1.350000,1.280000,1.340000,1.340000,7900
2022-08-04,1.350000,1.380000,1.230000,1.320000,1.320000,71400
2022-08-05,1.320000,1.400000,1.260000,1.400000,1.400000,36900
2022-08-08,1.480000,1.480000,1.350000,1.380000,1.380000,41700
2022-08-09,1.360000,1.480000,1.340000,1.460000,1.460000,39300
2022-08-10,1.480000,1.480000,1.330000,1.430000,1.430000,36100
2022-08-11,1.400000,1.480000,1.390000,1.410000,1.410000,1726600
2022-08-12,1.770000,2.200000,1.660000,1.910000,1.910000,23202700
2022-08-15,1.980000,1.990000,1.810000,1.980000,1.980000,1027600
2022-08-16,1.900000,2.250000,1.900000,2.220000,2.220000,1346900
2022-08-17,2.200000,2.280000,1.970000,2.180000,2.180000,704600
2022-08-18,2.050000,2.110000,1.950000,2.060000,2.060000,168200
2022-08-19,2.010000,2.200000,1.850000,2.080000,2.080000,305900
2022-08-22,2.060000,2.110000,2.000000,2.100000,2.100000,125100
2022-08-23,2.100000,2.250000,2.070000,2.220000,2.220000,248400
2022-08-24,2.240000,2.270000,2.150000,2.260000,2.260000,92400
2022-08-25,2.280000,2.280000,2.120000,2.210000,2.210000,59800
2022-08-26,2.190000,2.270000,2.180000,2.230000,2.230000,54000
2022-08-29,2.180000,2.180000,2.000000,2.080000,2.080000,98400
2022-08-30,2.040000,2.100000,1.950000,1.980000,1.980000,82800
2022-08-31,2.000000,2.050000,1.990000,2.020000,2.020000,33600
2022-09-01,1.960000,2.050000,1.960000,2.000000,2.000000,43300
2022-09-02,2.010000,2.020000,1.970000,1.990000,1.990000,19200
2022-09-06,1.950000,2.020000,1.900000,1.920000,1.920000,89100
2022-09-07,1.900000,1.960000,1.900000,1.930000,1.930000,37700
2022-09-08,1.930000,2.000000,1.930000,1.990000,1.990000,20000
2022-09-09,2.000000,2.030000,1.930000,1.940000,1.940000,36400
2022-09-12,1.930000,2.000000,1.930000,1.970000,1.970000,61300
2022-09-13,2.000000,2.000000,1.920000,1.920000,1.920000,24100
2022-09-14,1.920000,1.970000,1.920000,1.920000,1.920000,7900
2022-09-15,1.950000,1.950000,1.930000,1.940000,1.940000,4100
2022-09-16,1.950000,1.960000,1.820000,1.820000,1.820000,36500
2022-09-19,1.810000,1.940000,1.800000,1.880000,1.880000,28600
2022-09-20,1.840000,1.940000,1.810000,1.930000,1.930000,38400
2022-09-21,1.850000,1.880000,1.780000,1.790000,1.790000,52700
2022-09-22,1.780000,1.800000,1.700000,1.780000,1.780000,62800
2022-09-23,1.770000,1.770000,1.680000,1.700000,1.700000,19900
2022-09-26,1.700000,1.740000,1.650000,1.670000,1.670000,15400
2022-09-27,1.710000,1.740000,1.680000,1.710000,1.710000,17900
2022-09-28,1.720000,1.830000,1.680000,1.760000,1.760000,54600
2022-09-29,1.790000,1.790000,1.670000,1.700000,1.700000,15100
2022-09-30,1.710000,1.830000,1.710000,1.760000,1.760000,27700
2022-10-03,1.860000,1.860000,1.780000,1.800000,1.800000,22400
2022-10-04,1.860000,1.940000,1.810000,1.900000,1.900000,35800
2022-10-05,1.840000,1.880000,1.830000,1.840000,1.840000,11000
2022-10-06,1.870000,2.080000,1.820000,2.050000,2.050000,182200
2022-10-07,2.040000,2.040000,2.000000,2.020000,2.020000,21400
2022-10-10,2.020000,2.070000,1.910000,2.070000,2.070000,38800
2022-10-11,2.060000,2.060000,1.950000,2.010000,2.010000,12300
2022-10-12,1.940000,2.030000,1.900000,2.020000,2.020000,11000
2022-10-13,2.030000,2.080000,1.960000,2.050000,2.050000,28800
2022-10-14,2.000000,2.060000,2.000000,2.060000,2.060000,19100
2022-10-17,2.050000,2.060000,1.990000,2.050000,2.050000,22900
2022-10-18,2.030000,2.060000,2.020000,2.060000,2.060000,2800
2022-10-19,2.020000,2.060000,2.020000,2.020000,2.020000,7300
2022-10-20,2.000000,2.000000,1.900000,2.000000,2.000000,20100
2022-10-21,1.990000,1.990000,1.960000,1.990000,1.990000,700
2022-10-24,2.000000,2.080000,1.960000,2.040000,2.040000,35200
2022-10-25,1.960000,2.130000,1.960000,2.120000,2.120000,50200
2022-10-26,2.110000,2.180000,1.960000,2.020000,2.020000,86200
2022-10-27,2.000000,2.020000,1.910000,1.950000,1.950000,25300
2022-10-28,1.940000,1.990000,1.910000,1.960000,1.960000,23200
2022-10-31,2.040000,2.040000,1.910000,1.930000,1.930000,12100
2022-11-01,1.950000,1.950000,1.910000,1.930000,1.930000,19000
2022-11-02,1.960000,1.970000,1.840000,1.860000,1.860000,48500
2022-11-03,1.870000,2.070000,1.810000,1.950000,1.950000,30600
2022-11-04,1.960000,2.090000,1.860000,1.930000,1.930000,47900
2022-11-07,1.980000,2.020000,1.900000,1.920000,1.920000,5700
2022-11-08,1.920000,2.050000,1.920000,2.040000,2.040000,73900
2022-11-09,2.050000,2.090000,1.980000,2.080000,2.080000,44300
2022-11-10,2.000000,2.150000,1.950000,2.090000,2.090000,73700
2022-11-11,2.050000,2.130000,2.040000,2.120000,2.120000,47500
2022-11-14,2.140000,2.150000,2.050000,2.100000,2.100000,143400
2022-11-15,2.290000,2.300000,1.930000,2.030000,2.030000,377900
2022-11-16,2.030000,2.030000,1.930000,1.940000,1.940000,49800
2022-11-17,1.910000,1.960000,1.820000,1.840000,1.840000,79700
2022-11-18,1.830000,1.950000,1.830000,1.860000,1.860000,31000
2022-11-21,1.820000,1.850000,1.750000,1.790000,1.790000,64900
2022-11-22,1.770000,1.880000,1.680000,1.800000,1.800000,121800
2022-11-23,1.760000,1.850000,1.710000,1.800000,1.800000,47800
2022-11-25,1.760000,1.800000,1.750000,1.760000,1.760000,8400
2022-11-28,1.720000,1.810000,1.680000,1.720000,1.720000,73100
2022-11-29,1.720000,1.760000,1.650000,1.690000,1.690000,25900
2022-11-30,1.710000,1.730000,1.670000,1.710000,1.710000,52100
2022-12-01,1.690000,1.710000,1.660000,1.670000,1.670000,29400
2022-12-02,1.620000,1.670000,1.580000,1.620000,1.620000,76100
2022-12-05,1.600000,1.620000,1.470000,1.490000,1.490000,147900
2022-12-06,1.500000,1.500000,1.370000,1.380000,1.380000,238100
2022-12-07,1.360000,1.430000,1.360000,1.370000,1.370000,59000
2022-12-08,1.380000,1.420000,1.300000,1.360000,1.360000,252100
2022-12-09,1.330000,1.380000,1.270000,1.320000,1.320000,773200
2022-12-12,1.320000,1.400000,1.320000,1.380000,1.380000,103500
2022-12-13,1.340000,1.490000,1.340000,1.430000,1.430000,54300
2022-12-14,1.450000,1.530000,1.330000,1.360000,1.360000,123400
2022-12-15,1.440000,1.440000,1.350000,1.400000,1.400000,35100
2022-12-16,1.400000,1.470000,1.400000,1.400000,1.400000,64900
2022-12-19,1.400000,1.470000,1.360000,1.370000,1.370000,59300
2022-12-20,1.380000,1.430000,1.380000,1.400000,1.400000,108500
2022-12-21,1.380000,1.470000,1.380000,1.420000,1.420000,68000
2022-12-22,1.400000,1.440000,1.390000,1.440000,1.440000,28000
2022-12-23,1.400000,1.440000,1.380000,1.400000,1.400000,46600
2022-12-27,1.380000,1.450000,1.380000,1.420000,1.420000,71600
2022-12-28,1.430000,1.430000,1.350000,1.390000,1.390000,50400
2022-12-29,1.370000,1.430000,1.350000,1.410000,1.410000,51000
2022-12-30,1.360000,1.470000,1.360000,1.450000,1.450000,47600
2023-01-03,1.440000,1.480000,1.420000,1.440000,1.440000,16600
2023-01-04,1.460000,1.480000,1.450000,1.480000,1.480000,30900
2023-01-05,1.470000,1.490000,1.440000,1.490000,1.490000,20300
2023-01-06,1.470000,1.490000,1.430000,1.480000,1.480000,35900
2023-01-09,1.490000,1.530000,1.480000,1.510000,1.510000,43300
2023-01-10,1.490000,1.510000,1.460000,1.460000,1.460000,4900
2023-01-11,1.500000,1.500000,1.400000,1.440000,1.440000,48200
2023-01-12,1.460000,1.520000,1.460000,1.510000,1.510000,23800
2023-01-13,1.490000,1.510000,1.470000,1.510000,1.510000,7300
2023-01-17,1.510000,1.540000,1.490000,1.530000,1.530000,45200
2023-01-18,1.490000,1.500000,1.470000,1.470000,1.470000,14800
2023-01-19,1.500000,1.500000,1.470000,1.470000,1.470000,5200
2023-01-20,1.520000,1.520000,1.480000,1.500000,1.500000,24000
2023-01-23,1.480000,1.500000,1.480000,1.490000,1.490000,18000
2023-01-24,1.520000,1.520000,1.450000,1.500000,1.500000,28800
2023-01-25,1.480000,1.480000,1.450000,1.480000,1.480000,41100
2023-01-26,1.460000,1.490000,1.460000,1.490000,1.490000,30300
2023-01-27,1.500000,1.500000,1.460000,1.500000,1.500000,2500
2023-01-30,1.470000,1.480000,1.420000,1.430000,1.430000,35500
2023-01-31,1.470000,1.470000,1.430000,1.450000,1.450000,11400
2023-02-01,1.450000,1.500000,1.450000,1.450000,1.450000,2500
2023-02-02,1.480000,1.490000,1.450000,1.490000,1.490000,13200
2023-02-03,1.460000,1.500000,1.450000,1.470000,1.470000,16900
2023-02-06,1.460000,1.480000,1.440000,1.450000,1.450000,17700
2023-02-07,1.470000,1.480000,1.440000,1.480000,1.480000,11900
2023-02-08,1.460000,1.480000,1.440000,1.470000,1.470000,21000
2023-02-09,1.470000,1.480000,1.460000,1.480000,1.480000,28300
2023-02-10,1.460000,1.480000,1.440000,1.470000,1.470000,37700
2023-02-13,1.460000,1.480000,1.450000,1.470000,1.470000,10200
2023-02-14,1.410000,1.470000,1.400000,1.450000,1.450000,19000
2023-02-15,1.420000,1.490000,1.400000,1.490000,1.490000,19600
2023-02-16,1.430000,1.490000,1.430000,1.480000,1.480000,23800
2023-02-17,1.440000,1.490000,1.440000,1.490000,1.490000,10100
2023-02-21,1.490000,1.490000,1.420000,1.430000,1.430000,46000
2023-02-22,1.480000,1.480000,1.410000,1.420000,1.420000,19200
2023-02-23,1.440000,1.460000,1.420000,1.420000,1.420000,900
2023-02-24,1.450000,1.460000,1.410000,1.410000,1.410000,14200
2023-02-27,1.440000,1.450000,1.420000,1.430000,1.430000,9600
2023-02-28,1.420000,1.470000,1.410000,1.450000,1.450000,17200
2023-03-01,1.420000,1.440000,1.410000,1.410000,1.410000,5800
2023-03-02,1.440000,1.460000,1.420000,1.420000,1.420000,43700
2023-03-03,1.420000,1.440000,1.380000,1.420000,1.420000,26100
2023-03-06,1.420000,1.420000,1.390000,1.400000,1.400000,22300
2023-03-07,1.390000,1.420000,1.390000,1.410000,1.410000,5000
2023-03-08,1.430000,1.440000,1.400000,1.400000,1.400000,9400
2023-03-09,1.400000,1.410000,1.380000,1.380000,1.380000,38500
2023-03-10,1.400000,1.400000,1.380000,1.380000,1.380000,15600
2023-03-13,1.380000,1.430000,1.380000,1.380000,1.380000,10600
2023-03-14,1.410000,1.450000,1.390000,1.420000,1.420000,19300
2023-03-15,1.400000,1.420000,1.370000,1.370000,1.370000,38100
2023-03-16,1.430000,1.430000,1.320000,1.330000,1.330000,61700
2023-03-17,1.310000,1.370000,1.310000,1.330000,1.330000,44900
2023-03-20,1.380000,1.390000,1.340000,1.360000,1.360000,62800
2023-03-21,1.390000,1.490000,1.360000,1.410000,1.410000,122500
2023-03-22,1.340000,1.350000,1.100000,1.160000,1.160000,524800
2023-03-23,1.160000,1.180000,1.130000,1.130000,1.130000,107300
2023-03-24,1.130000,1.190000,1.130000,1.150000,1.150000,16700
2023-03-27,1.200000,1.230000,1.130000,1.200000,1.200000,73400
2023-03-28,1.180000,1.190000,1.150000,1.150000,1.150000,93700
2023-03-29,1.150000,1.170000,1.140000,1.140000,1.140000,60900
2023-03-30,1.150000,1.180000,1.140000,1.140000,1.140000,25400
2023-03-31,1.130000,1.150000,1.100000,1.110000,1.110000,117500
2023-04-03,1.110000,1.150000,1.110000,1.140000,1.140000,12700
2023-04-04,1.130000,1.150000,1.120000,1.150000,1.150000,26400
2023-04-05,1.150000,1.150000,1.110000,1.140000,1.140000,14600
2023-04-06,1.110000,1.150000,1.110000,1.120000,1.120000,20900
2023-04-10,1.120000,1.150000,1.120000,1.130000,1.130000,21300
2023-04-11,1.140000,1.150000,1.130000,1.140000,1.140000,28500
2023-04-12,1.140000,1.140000,1.130000,1.130000,1.130000,4600
2023-04-13,1.140000,1.140000,1.110000,1.120000,1.120000,27000
2023-04-14,1.170000,1.170000,1.080000,1.080000,1.080000,63900
2023-04-17,1.080000,1.110000,1.080000,1.080000,1.080000,30100
2023-04-18,1.070000,1.090000,1.060000,1.060000,1.060000,57400
2023-04-19,1.060000,1.070000,1.010000,1.030000,1.030000,32900
2023-04-20,1.030000,1.050000,0.930000,0.980000,0.980000,81400
2023-04-21,0.950000,1.060000,0.950000,1.050000,1.050000,82200
2023-04-24,1.020000,1.050000,1.010000,1.010000,1.010000,7700
2023-04-25,0.980000,1.000000,0.960000,0.970000,0.970000,14800
2023-04-26,1.000000,1.000000,0.960000,0.960000,0.960000,17500
2023-04-27,0.990000,1.000000,0.980000,0.980000,0.980000,23800
2023-04-28,0.980000,0.980000,0.950000,0.950000,0.950000,34900
2023-05-01,0.940000,0.950000,0.930000,0.940000,0.940000,35000
2023-05-02,0.930000,0.930000,0.920000,0.920000,0.920000,7700
2023-05-03,0.920000,0.990000,0.920000,0.920000,0.920000,9200
2023-05-04,0.970000,0.970000,0.870000,0.880000,0.880000,40200
2023-05-05,0.940000,0.940000,0.870000,0.870000,0.870000,21600
2023-05-08,0.820000,0.850000,0.810000,0.820000,0.820000,42000
2023-05-09,0.810000,0.870000,0.810000,0.850000,0.850000,27700
2023-05-10,0.850000,0.850000,0.820000,0.830000,0.830000,16500
2023-05-11,0.830000,0.830000,0.800000,0.820000,0.820000,28100
2023-05-12,0.830000,0.900000,0.830000,0.880000,0.880000,34900
2023-05-15,0.860000,0.870000,0.810000,0.820000,0.820000,78600
2023-05-16,0.720000,0.720000,0.550000,0.580000,0.580000,550500
2023-05-17,0.580000,0.590000,0.550000,0.580000,0.580000,82800
2023-05-18,0.560000,0.580000,0.560000,0.580000,0.580000,12700
2023-05-19,0.580000,0.610000,0.570000,0.600000,0.600000,65500
2023-05-22,0.600000,0.610000,0.570000,0.600000,0.600000,33100
2023-05-23,0.580000,0.600000,0.580000,0.590000,0.590000,22500
2023-05-24,0.590000,0.610000,0.590000,0.610000,0.610000,8300
2023-05-25,0.610000,0.610000,0.590000,0.590000,0.590000,15300
2023-05-26,0.610000,0.700000,0.600000,0.610000,0.610000,31300
2023-05-30,0.630000,0.640000,0.600000,0.610000,0.610000,48400
2023-05-31,0.610000,0.660000,0.600000,0.620000,0.620000,60900
2023-06-01,0.600000,0.650000,0.600000,0.630000,0.630000,53800
2023-06-02,0.640000,0.640000,0.610000,0.620000,0.620000,16700
2023-06-05,0.650000,0.650000,0.630000,0.640000,0.640000,23000
2023-06-06,0.630000,0.660000,0.630000,0.660000,0.660000,37000
2023-06-07,0.630000,0.670000,0.620000,0.620000,0.620000,46900
2023-06-08,0.620000,0.650000,0.610000,0.640000,0.640000,18000
2023-06-09,0.650000,0.660000,0.610000,0.620000,0.620000,142300
2023-06-12,0.610000,0.620000,0.580000,0.600000,0.600000,75500
2023-06-13,0.620000,0.620000,0.590000,0.600000,0.600000,22200
2023-06-14,0.600000,0.630000,0.600000,0.630000,0.630000,1781800
2023-06-15,0.700000,0.710000,0.600000,0.630000,0.630000,652400
2023-06-16,0.630000,0.650000,0.610000,0.620000,0.620000,73800
2023-06-20,0.620000,0.650000,0.600000,0.640000,0.640000,46100
2023-06-21,0.640000,0.670000,0.600000,0.670000,0.670000,92400
2023-06-22,0.650000,0.670000,0.640000,0.670000,0.670000,32500
2023-06-23,0.630000,0.660000,0.600000,0.630000,0.630000,70100
2023-06-26,0.660000,0.660000,0.630000,0.630000,0.630000,5400
2023-06-27,0.610000,0.640000,0.600000,0.600000,0.600000,28500
2023-06-28,0.620000,0.660000,0.600000,0.610000,0.610000,29000
2023-06-29,0.620000,0.630000,0.600000,0.630000,0.630000,8700
2023-06-30,0.610000,0.630000,0.610000,0.620000,0.620000,5200
2023-07-03,0.630000,0.640000,0.620000,0.640000,0.640000,3900
2023-07-05,0.640000,0.640000,0.620000,0.640000,0.640000,8600
2023-07-06,0.640000,0.640000,0.620000,0.640000,0.640000,8500
2023-07-07,0.640000,0.660000,0.620000,0.640000,0.640000,18400
2023-07-10,0.640000,0.690000,0.630000,0.630000,0.630000,5500
