Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,5.250000,5.610000,4.820000,5.470000,5.470000,8342100
2022-07-12,5.430000,5.929000,5.330000,5.740000,5.740000,8529400
2022-07-13,5.560000,6.060000,5.525000,5.900000,5.900000,11721400
2022-07-14,5.880000,7.430000,5.690000,7.000000,7.000000,21198300
2022-07-15,7.000000,7.660000,6.550000,7.520000,7.520000,11321500
2022-07-18,7.650000,7.850000,6.430000,6.700000,6.700000,12004300
2022-07-19,6.890000,7.100000,5.230000,5.540000,5.540000,16104500
2022-07-20,5.670000,5.850000,4.450000,4.640000,4.640000,16084100
2022-07-21,4.670000,4.940000,3.400000,3.410000,3.410000,25700100
2022-07-22,2.820000,3.100000,1.950000,2.600000,2.600000,121116600
2022-07-25,2.610000,2.690000,2.300000,2.300000,2.300000,28112500
2022-07-26,2.000000,2.310000,2.000000,2.150000,2.150000,15716300
2022-07-27,2.260000,2.590000,2.210000,2.390000,2.390000,24762600
2022-07-28,2.290000,2.350000,2.210000,2.210000,2.210000,10832000
2022-07-29,2.200000,2.300000,2.080000,2.210000,2.210000,11924300
2022-08-01,2.210000,2.210000,2.000000,2.000000,2.000000,12163300
2022-08-02,2.320000,2.890000,2.170000,2.420000,2.420000,65180600
2022-08-03,2.560000,2.990000,2.460000,2.970000,2.970000,27909700
2022-08-04,3.103000,3.360000,2.720000,2.770000,2.770000,26418300
2022-08-05,2.760000,2.867000,2.620000,2.720000,2.720000,12569900
2022-08-08,2.800000,3.130000,2.740000,2.800000,2.800000,15932900
2022-08-09,2.800000,2.810000,2.490000,2.510000,2.510000,9280700
2022-08-10,2.620000,2.630000,2.530000,2.590000,2.590000,7820300
2022-08-11,2.610000,2.680000,2.520000,2.540000,2.540000,8953700
2022-08-12,2.510000,2.710000,2.360000,2.690000,2.690000,9531600
2022-08-15,2.660000,2.810000,2.610000,2.790000,2.790000,10908700
2022-08-16,2.650000,2.650000,2.200000,2.320000,2.320000,22721100
2022-08-17,2.400000,2.400000,2.160000,2.180000,2.180000,12088300
2022-08-18,2.205000,2.205000,2.040000,2.110000,2.110000,9116300
2022-08-19,2.060000,2.065000,1.980000,2.000000,2.000000,10445100
2022-08-22,1.920000,1.960000,1.800000,1.820000,1.820000,11496200
2022-08-23,1.910000,1.910000,1.690000,1.750000,1.750000,13932800
2022-08-24,1.780000,1.780000,1.680000,1.730000,1.730000,12995100
2022-08-25,1.750000,1.760000,1.660000,1.740000,1.740000,14423800
2022-08-26,1.750000,1.755000,1.480000,1.500000,1.500000,21157100
2022-08-29,1.450000,1.480000,1.370000,1.400000,1.400000,16879900
2022-08-30,1.370000,1.380000,1.070000,1.190000,1.190000,46555000
2022-08-31,1.120000,1.250000,1.080000,1.120000,1.120000,31481100
2022-09-01,1.130000,1.220000,1.020000,1.070000,1.070000,23486300
2022-09-02,1.100000,1.100000,1.020000,1.050000,1.050000,15026900
2022-09-06,1.090000,1.090000,0.945000,1.010000,1.010000,20927300
2022-09-07,0.981000,1.010000,0.951000,1.000000,1.000000,24696500
2022-09-08,1.000000,1.010000,0.880000,0.913000,0.913000,36154000
2022-09-09,0.915000,1.220000,0.900000,1.110000,1.110000,58048900
2022-09-12,1.250000,1.250000,0.990000,1.030000,1.030000,54729600
2022-09-13,0.990000,1.010000,0.920000,0.929000,0.929000,52803500
2022-09-14,0.950000,0.970000,0.882000,0.947000,0.947000,43602900
2022-09-15,0.950000,1.170000,0.940000,1.060000,1.060000,43682600
2022-09-16,1.150000,1.150000,0.951000,0.965000,0.965000,40698100
2022-09-19,0.978000,1.020000,0.903000,0.942000,0.942000,28793700
2022-09-20,0.926000,0.999000,0.850000,0.851000,0.851000,26171900
2022-09-21,0.852000,0.910000,0.800000,0.807000,0.807000,31398200
2022-09-22,0.850000,0.860000,0.738000,0.745000,0.745000,33108300
2022-09-23,0.721000,0.799000,0.706000,0.767000,0.767000,17966300
2022-09-26,0.945000,1.120000,0.833000,0.840000,0.840000,100458700
2022-09-27,0.977000,0.983000,0.866000,0.890000,0.890000,41984600
2022-09-28,0.877000,0.890000,0.810000,0.825000,0.825000,25607300
2022-09-29,0.810000,0.816000,0.695000,0.703000,0.703000,28716100
2022-09-30,0.700000,0.720000,0.629000,0.636000,0.636000,28411700
2022-10-03,0.600000,0.678000,0.590000,0.642000,0.642000,25537400
2022-10-04,0.656000,0.701000,0.655000,0.699000,0.699000,20103800
2022-10-05,0.670000,0.679000,0.620000,0.648000,0.648000,17952300
2022-10-06,0.650000,0.728000,0.650000,0.710000,0.710000,31035900
2022-10-07,0.680000,0.710000,0.630000,0.638000,0.638000,24151400
2022-10-10,0.657000,0.676000,0.620000,0.670000,0.670000,15210000
2022-10-11,0.656000,0.670000,0.530000,0.536000,0.536000,35472600
2022-10-12,0.542000,0.565000,0.500000,0.551000,0.551000,30447000
