Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,2.350000,2.420000,2.160000,2.170000,2.170000,20500
2022-07-12,2.170000,2.435000,2.170000,2.200000,2.200000,9500
2022-07-13,2.220000,2.360000,2.200000,2.230000,2.230000,7100
2022-07-14,2.185000,2.185000,2.110000,2.138000,2.138000,12200
2022-07-15,2.060000,2.280000,2.060000,2.200000,2.200000,14100
2022-07-18,2.330000,2.390000,2.250000,2.250000,2.250000,14800
2022-07-19,2.370000,2.450000,2.370000,2.400000,2.400000,20500
2022-07-20,2.480000,2.500000,2.180000,2.390000,2.390000,36300
2022-07-21,2.350000,2.400000,2.300000,2.340000,2.340000,11000
2022-07-22,2.430000,2.430000,2.317000,2.330000,2.330000,6900
2022-07-25,2.300000,2.300000,2.180000,2.240000,2.240000,10300
2022-07-26,2.200000,2.360000,2.180000,2.200000,2.200000,17800
2022-07-27,2.200000,2.284000,2.200000,2.270000,2.270000,10200
2022-07-28,2.340000,2.390000,2.320000,2.320000,2.320000,60000
2022-07-29,2.370000,2.700000,2.341000,2.630000,2.630000,72300
2022-08-01,2.770000,2.890000,2.647000,2.840000,2.840000,54200
2022-08-02,2.860000,3.430000,2.780000,3.270000,3.270000,109500
2022-08-03,3.130000,3.320000,2.860000,3.190000,3.190000,73300
2022-08-04,3.190000,3.420000,3.178000,3.270000,3.270000,23800
2022-08-05,3.202000,3.266000,3.100000,3.190000,3.190000,16500
2022-08-08,3.180000,3.330000,3.110000,3.160000,3.160000,19100
2022-08-09,3.180000,3.200000,2.870000,2.910000,2.910000,43000
2022-08-10,2.880000,3.000000,2.805000,2.920000,2.920000,38700
2022-08-11,2.920000,2.955000,2.860000,2.900000,2.900000,23800
2022-08-12,3.010000,3.318000,2.881000,2.950000,2.950000,58300
2022-08-15,3.090000,3.090000,2.910000,2.910000,2.910000,28800
2022-08-16,2.920000,3.030000,2.780000,2.970000,2.970000,58700
2022-08-17,3.000000,3.032000,2.850000,2.950000,2.950000,12600
2022-08-18,2.920000,3.210000,2.910000,2.980000,2.980000,14700
2022-08-19,2.930000,2.930000,2.610000,2.750000,2.750000,38700
2022-08-22,2.630000,2.630000,2.520000,2.570000,2.570000,16300
2022-08-23,2.540000,2.980000,2.540000,2.760000,2.760000,36300
2022-08-24,2.790000,2.800000,2.607000,2.750000,2.750000,34100
2022-08-25,2.840000,2.960000,2.720000,2.780000,2.780000,29900
2022-08-26,2.770000,2.770000,2.659000,2.700000,2.700000,5500
2022-08-29,2.670000,2.878000,2.560000,2.610000,2.610000,14500
2022-08-30,2.670000,2.966000,2.520000,2.540000,2.540000,32900
2022-08-31,2.590000,2.675000,2.210000,2.490000,2.490000,55800
2022-09-01,2.370000,2.570000,2.340000,2.350000,2.350000,39700
2022-09-02,2.616000,2.790000,2.420000,2.520000,2.520000,26600
2022-09-06,2.700000,2.757000,2.520000,2.720000,2.720000,30600
2022-09-07,2.770000,2.834000,2.710000,2.780000,2.780000,29800
2022-09-08,2.710000,2.929000,2.710000,2.830000,2.830000,21700
2022-09-09,2.998000,2.998000,2.870000,2.920000,2.920000,33800
2022-09-12,3.000000,3.140000,2.870000,3.110000,3.110000,96400
2022-09-13,3.000000,3.130000,2.930000,3.120000,3.120000,44900
2022-09-14,3.130000,3.329000,3.000000,3.230000,3.230000,76100
2022-09-15,3.272000,3.440000,3.250000,3.390000,3.390000,63200
2022-09-16,3.330000,3.380000,3.200000,3.220000,3.220000,54400
2022-09-19,3.190000,3.220000,3.090000,3.140000,3.140000,19400
2022-09-20,3.140000,3.140000,2.813000,2.900000,2.900000,25500
2022-09-21,2.870000,2.900000,2.800000,2.870000,2.870000,13700
2022-09-22,2.940000,3.060000,2.410000,2.641000,2.641000,95800
2022-09-23,3.070000,3.070000,2.670000,2.771000,2.771000,92000
2022-09-26,2.800000,2.843000,2.630000,2.750000,2.750000,38000
2022-09-27,2.770000,2.790000,2.510000,2.540000,2.540000,27200
2022-09-28,2.510000,2.630000,2.460000,2.590000,2.590000,11900
2022-09-29,2.760000,2.832000,2.519000,2.720000,2.720000,26300
2022-09-30,2.610000,2.750000,2.510000,2.560000,2.560000,26600
2022-10-03,2.560000,2.680000,2.560000,2.680000,2.680000,22900
2022-10-04,2.780000,3.017000,2.750000,2.900000,2.900000,39500
2022-10-05,2.990000,3.100000,2.910000,3.070000,3.070000,36000
2022-10-06,3.100000,3.105000,3.040000,3.090000,3.090000,11800
2022-10-07,2.990000,3.050000,2.700000,3.010000,3.010000,41100
2022-10-10,2.980000,3.101000,2.895000,2.950000,2.950000,17300
2022-10-11,2.880000,3.086000,2.820000,2.980000,2.980000,13200
2022-10-12,3.050000,3.110000,2.930000,3.010000,3.010000,21000
2022-10-13,2.980000,3.110000,2.970000,3.090000,3.090000,20000
2022-10-14,3.090000,3.108000,2.770000,2.990000,2.990000,40000
2022-10-17,3.065000,3.079000,2.941000,3.010000,3.010000,16300
2022-10-18,2.940000,3.125000,2.940000,3.120000,3.120000,40500
2022-10-19,3.062000,3.220000,3.062000,3.100000,3.100000,23900
2022-10-20,3.020000,3.070000,3.000000,3.020000,3.020000,37000
2022-10-21,3.000000,3.150000,3.000000,3.080000,3.080000,20000
2022-10-24,3.130000,3.130000,3.000000,3.100000,3.100000,25900
2022-10-25,3.100000,3.400000,3.020000,3.370000,3.370000,77600
2022-10-26,3.400000,3.480000,3.300000,3.470000,3.470000,30800
2022-10-27,3.480000,3.650000,3.453000,3.590000,3.590000,58400
2022-10-28,3.640000,3.850000,3.590000,3.800000,3.800000,91100
2022-10-31,3.810000,3.810000,3.500000,3.680000,3.680000,47500
2022-11-01,3.790000,3.800000,3.330000,3.400000,3.400000,74700
2022-11-02,3.350000,3.540000,3.250000,3.280000,3.280000,41300
2022-11-03,3.250000,3.520000,3.160000,3.460000,3.460000,42600
2022-11-04,3.490000,3.590000,3.300000,3.430000,3.430000,27000
2022-11-07,3.400000,3.619000,3.390000,3.470000,3.470000,25600
2022-11-08,3.570000,3.775000,3.430000,3.730000,3.730000,58400
2022-11-09,3.770000,4.060000,3.730000,3.810000,3.810000,102400
2022-11-10,3.850000,4.190000,3.840000,4.140000,4.140000,72700
2022-11-11,4.470000,4.770000,4.200000,4.720000,4.720000,223100
2022-11-14,4.720000,5.295000,4.720000,5.000000,5.000000,194000
2022-11-15,5.200000,5.270000,5.000000,5.260000,5.260000,85400
2022-11-16,5.210000,5.410000,4.710000,5.400000,5.400000,105400
2022-11-17,5.220000,5.320000,4.790000,4.810000,4.810000,92700
2022-11-18,4.810000,4.810000,4.380000,4.610000,4.610000,158000
2022-11-21,4.570000,4.570000,3.960000,3.990000,3.990000,106100
2022-11-22,3.890000,4.460000,3.890000,4.180000,4.180000,51900
2022-11-23,4.130000,4.270000,4.050000,4.100000,4.100000,26400
2022-11-25,4.150000,4.510000,4.071000,4.290000,4.290000,11400
2022-11-28,4.230000,4.430000,4.190000,4.190000,4.190000,13400
2022-11-29,4.174000,4.200000,4.020000,4.157000,4.157000,17000
2022-11-30,4.100000,4.750000,4.100000,4.750000,4.750000,70500
2022-12-01,4.750000,5.030000,4.750000,5.000000,5.000000,156900
2022-12-02,4.840000,5.300000,4.781000,5.260000,5.260000,120600
2022-12-05,5.130000,5.360000,5.130000,5.320000,5.320000,62500
2022-12-06,5.300000,5.350000,4.540000,5.160000,5.160000,102500
2022-12-07,5.150000,5.450000,5.110000,5.300000,5.300000,121400
2022-12-08,5.290000,5.411000,5.200000,5.310000,5.310000,34000
2022-12-09,5.180000,5.394000,5.108000,5.250000,5.250000,32900
2022-12-12,5.180000,5.330000,5.100000,5.230000,5.230000,25800
2022-12-13,5.270000,5.345000,4.980000,5.170000,5.170000,105700
2022-12-14,5.100000,5.220000,4.930000,5.050000,5.050000,53500
2022-12-15,4.920000,5.170000,4.920000,5.100000,5.100000,15300
2022-12-16,5.090000,5.133000,4.640000,4.850000,4.850000,57000
2022-12-19,4.850000,4.850000,4.540000,4.560000,4.560000,25000
2022-12-20,4.500000,4.658000,4.310000,4.440000,4.440000,36200
2022-12-21,4.410000,4.800000,4.410000,4.670000,4.670000,15700
2022-12-22,4.670000,4.940000,4.400000,4.530000,4.530000,27100
2022-12-23,4.570000,4.620000,4.050000,4.150000,4.150000,51500
2022-12-27,4.170000,4.410000,4.120000,4.240000,4.240000,28800
2022-12-28,4.230000,4.240000,3.660000,3.810000,3.810000,83100
2022-12-29,3.800000,4.010000,3.670000,3.880000,3.880000,68000
2022-12-30,3.730000,4.020000,3.595000,3.970000,3.970000,84000
2023-01-03,4.030000,4.140000,3.875000,4.140000,4.140000,27900
2023-01-04,4.200000,4.320000,4.011000,4.260000,4.260000,13000
2023-01-05,4.230000,4.270000,4.050000,4.050000,4.050000,6200
2023-01-06,4.200000,4.300000,4.150000,4.290000,4.290000,19600
2023-01-09,4.320000,4.490000,4.180000,4.240000,4.240000,19600
2023-01-10,4.210000,4.430000,4.210000,4.340000,4.340000,10200
2023-01-11,4.440000,4.700000,4.400000,4.650000,4.650000,21700
2023-01-12,4.690000,4.890000,4.560000,4.760000,4.760000,17600
2023-01-13,4.850000,4.940000,4.712000,4.850000,4.850000,17800
2023-01-17,4.850000,4.930000,4.650000,4.880000,4.880000,23500
2023-01-18,4.900000,4.986000,4.800000,4.910000,4.910000,28900
2023-01-19,4.890000,4.980000,4.500000,4.500000,4.500000,22300
2023-01-20,4.560000,4.560000,4.290000,4.535000,4.535000,33500
2023-01-23,4.450000,4.660000,4.420000,4.630000,4.630000,16900
2023-01-24,4.640000,5.050000,4.510000,4.960000,4.960000,37800
2023-01-25,4.990000,5.050000,4.660000,5.010000,5.010000,86600
2023-01-26,5.050000,5.140000,4.890000,5.050000,5.050000,38300
2023-01-27,5.000000,5.420000,5.000000,5.260000,5.260000,37300
2023-01-30,5.060000,5.320000,5.010000,5.190000,5.190000,29200
2023-01-31,5.290000,5.450000,5.184000,5.440000,5.440000,137400
2023-02-01,5.420000,5.619000,5.240000,5.460000,5.460000,109200
2023-02-02,5.440000,5.730000,5.410000,5.620000,5.620000,65200
2023-02-03,5.570000,5.990000,5.480000,5.820000,5.820000,100800
2023-02-06,5.900000,6.130000,5.802000,6.100000,6.100000,124100
2023-02-07,6.100000,6.100000,5.790000,5.990000,5.990000,77900
2023-02-08,6.020000,6.020000,5.640000,5.750000,5.750000,48200
2023-02-09,5.880000,6.300000,5.730000,6.190000,6.190000,135400
2023-02-10,6.460000,7.090000,6.230000,6.750000,6.750000,314400
