Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,13.960000,15.000000,7.260000,7.490000,7.490000,19249300
2022-08-15,6.610000,6.920000,5.810000,6.060000,6.060000,3544000
2022-08-16,8.440000,10.600000,7.110000,8.250000,8.250000,34271800
2022-08-17,7.460000,7.790000,6.650000,6.730000,6.730000,2060800
2022-08-18,7.390000,8.400000,6.664000,6.860000,6.860000,5992600
2022-08-19,6.560000,6.720000,6.080000,6.280000,6.280000,1050800
2022-08-22,6.140000,6.280000,5.680000,5.800000,5.800000,760900
2022-08-23,5.580000,5.800000,4.880000,4.930000,4.930000,937500
2022-08-24,5.020000,5.290000,4.450000,4.590000,4.590000,1001600
2022-08-25,4.570000,4.770000,4.300000,4.420000,4.420000,643900
2022-08-26,4.250000,4.350000,3.750000,3.890000,3.890000,1028400
2022-08-29,3.750000,3.950000,3.680000,3.910000,3.910000,377000
2022-08-30,3.790000,3.950000,3.580000,3.700000,3.700000,354600
2022-08-31,3.670000,3.910000,3.560000,3.770000,3.770000,595700
2022-09-01,3.710000,3.835000,3.510000,3.720000,3.720000,415800
2022-09-02,4.260000,4.590000,3.910000,4.390000,4.390000,12124000
2022-09-06,4.140000,4.241000,3.380000,3.400000,3.400000,1026400
2022-09-07,3.330000,3.370000,3.050000,3.300000,3.300000,387300
2022-09-08,3.320000,3.380000,3.150000,3.260000,3.260000,215100
2022-09-09,3.250000,3.543000,2.830000,3.360000,3.360000,540300
2022-09-12,3.370000,3.379000,3.075000,3.140000,3.140000,305500
2022-09-13,3.000000,3.110000,2.781000,2.820000,2.820000,339000
2022-09-14,2.870000,3.060000,2.780000,2.960000,2.960000,237700
2022-09-15,2.920000,3.050000,2.770000,2.820000,2.820000,210500
2022-09-16,2.770000,2.825000,2.580000,2.580000,2.580000,266700
2022-09-19,2.580000,2.680000,2.360000,2.360000,2.360000,266400
2022-09-20,2.330000,2.540000,2.240000,2.280000,2.280000,203000
2022-09-21,2.290000,2.350000,2.180000,2.190000,2.190000,122600
2022-09-22,2.230000,2.880000,2.150000,2.530000,2.530000,2412500
2022-09-23,2.470000,2.470000,2.100000,2.140000,2.140000,321100
2022-09-26,2.140000,2.250000,2.100000,2.110000,2.110000,164500
2022-09-27,2.120000,2.170000,1.980000,2.040000,2.040000,115800
2022-09-28,2.015000,2.159000,2.001000,2.100000,2.100000,101500
2022-09-29,2.110000,2.145000,1.920000,1.950000,1.950000,115400
2022-09-30,1.950000,2.040000,1.870000,1.930000,1.930000,85100
2022-10-03,1.910000,2.000000,1.910000,1.970000,1.970000,61500
2022-10-04,2.030000,2.070000,2.000000,2.020000,2.020000,49200
2022-10-05,2.087000,2.100000,1.960000,2.050000,2.050000,49500
2022-10-06,2.050000,2.110000,1.951000,2.080000,2.080000,70500
2022-10-07,2.000000,2.067000,1.870000,1.930000,1.930000,53800
2022-10-10,1.890000,1.945000,1.890000,1.930000,1.930000,28100
2022-10-11,1.890000,2.000000,1.852000,1.870000,1.870000,30600
2022-10-12,1.960000,1.960000,1.801000,1.820000,1.820000,61400
2022-10-13,1.780000,1.860000,1.680000,1.800000,1.800000,111700
2022-10-14,1.850000,1.860000,1.760000,1.800000,1.800000,46200
2022-10-17,1.790000,1.910000,1.780000,1.790000,1.790000,102400
2022-10-18,1.820000,1.900000,1.710000,1.736000,1.736000,34300
2022-10-19,1.680000,1.780000,1.680000,1.710000,1.710000,13700
2022-10-20,1.720000,1.800000,1.680000,1.730000,1.730000,42700
2022-10-21,1.710000,1.771000,1.680000,1.720000,1.720000,66100
2022-10-24,1.680000,1.740000,1.530000,1.590000,1.590000,85900
2022-10-25,1.560000,1.705000,1.560000,1.680000,1.680000,40600
2022-10-26,1.647000,1.770000,1.630000,1.670000,1.670000,43100
2022-10-27,1.740000,1.740000,1.630000,1.630000,1.630000,23600
2022-10-28,1.610000,1.721000,1.610000,1.670000,1.670000,33700
2022-10-31,1.660000,1.670000,1.576000,1.660000,1.660000,33300
2022-11-01,1.680000,1.710000,1.611000,1.690000,1.690000,35800
2022-11-02,2.510000,2.760000,2.270000,2.450000,2.450000,57567400
2022-11-03,2.350000,2.780000,2.210000,2.590000,2.590000,5221400
