Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,3.830000,3.970000,3.820000,3.820000,3.820000,95300
2022-07-12,3.800000,3.840000,3.620000,3.650000,3.650000,216700
2022-07-13,3.570000,3.710000,3.500000,3.650000,3.650000,164200
2022-07-14,3.570000,3.740000,3.470000,3.580000,3.580000,179900
2022-07-15,3.600000,3.750000,3.560000,3.650000,3.650000,145900
2022-07-18,3.730000,3.760000,3.590000,3.630000,3.630000,102700
2022-07-19,3.640000,3.700000,3.500000,3.550000,3.550000,128300
2022-07-20,3.570000,3.660000,3.520000,3.650000,3.650000,106300
2022-07-21,3.610000,3.800000,3.610000,3.730000,3.730000,73200
2022-07-22,3.720000,3.800000,3.680000,3.720000,3.720000,58600
2022-07-25,3.710000,3.750000,3.620000,3.710000,3.710000,93300
2022-07-26,3.660000,3.660000,3.540000,3.560000,3.560000,81800
2022-07-27,3.560000,3.710000,3.560000,3.690000,3.690000,58700
2022-07-28,3.710000,3.810000,3.590000,3.670000,3.670000,32900
2022-07-29,3.660000,3.810000,3.600000,3.760000,3.760000,64300
2022-08-01,3.700000,3.730000,3.650000,3.730000,3.730000,364900
2022-08-02,3.710000,3.810000,3.710000,3.720000,3.720000,67700
2022-08-03,3.750000,3.830000,3.690000,3.810000,3.810000,95500
2022-08-04,3.700000,3.730000,3.500000,3.600000,3.600000,606400
2022-08-05,3.570000,3.600000,3.500000,3.530000,3.530000,169800
2022-08-08,3.530000,3.550000,3.380000,3.400000,3.400000,156700
2022-08-09,3.370000,3.440000,3.300000,3.360000,3.360000,149200
2022-08-10,3.380000,3.390000,3.320000,3.330000,3.330000,92800
2022-08-11,3.340000,3.390000,3.280000,3.290000,3.290000,129100
2022-08-12,3.320000,3.340000,3.230000,3.280000,3.280000,142500
2022-08-15,3.280000,3.330000,3.220000,3.230000,3.230000,115500
2022-08-16,3.220000,3.250000,3.150000,3.160000,3.160000,116500
2022-08-17,3.140000,3.250000,3.100000,3.190000,3.190000,101900
2022-08-18,3.170000,3.240000,3.150000,3.180000,3.180000,69700
2022-08-19,3.230000,3.310000,3.220000,3.250000,3.250000,139900
2022-08-22,3.240000,3.250000,3.110000,3.170000,3.170000,117500
2022-08-23,3.230000,3.270000,3.170000,3.170000,3.170000,112300
2022-08-24,3.140000,3.290000,3.130000,3.190000,3.190000,98400
2022-08-25,3.240000,3.450000,3.230000,3.400000,3.400000,87700
2022-08-26,3.430000,3.480000,3.280000,3.290000,3.290000,96800
2022-08-29,3.300000,3.340000,3.290000,3.310000,3.310000,45500
2022-08-30,3.350000,3.410000,3.280000,3.290000,3.290000,59800
2022-08-31,3.280000,3.380000,3.250000,3.300000,3.300000,68300
2022-09-01,3.280000,3.330000,3.200000,3.220000,3.220000,59100
2022-09-02,3.240000,3.380000,3.220000,3.220000,3.220000,67200
2022-09-06,3.210000,3.240000,3.150000,3.150000,3.150000,64800
2022-09-07,3.150000,3.210000,3.100000,3.200000,3.200000,74800
2022-09-08,3.180000,3.300000,3.150000,3.190000,3.190000,21500
2022-09-09,3.200000,3.280000,3.160000,3.160000,3.160000,72300
2022-09-12,3.150000,3.240000,3.150000,3.150000,3.150000,153200
2022-09-13,3.120000,3.140000,3.040000,3.120000,3.120000,73000
2022-09-14,3.100000,3.120000,3.060000,3.100000,3.100000,112200
2022-09-15,3.090000,3.130000,3.080000,3.100000,3.100000,50500
2022-09-16,3.050000,3.120000,2.890000,2.970000,2.970000,256900
2022-09-19,2.930000,2.940000,2.860000,2.880000,2.880000,106100
