Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,2.530000,2.610000,2.480000,2.580000,2.580000,269100
2022-07-12,2.540000,2.650000,2.520000,2.650000,2.650000,191900
2022-07-13,2.590000,2.660000,2.590000,2.600000,2.600000,106700
2022-07-14,2.610000,2.690000,2.520000,2.690000,2.690000,234900
2022-07-15,2.620000,2.670000,2.580000,2.660000,2.660000,154400
2022-07-18,2.660000,2.710000,2.560000,2.630000,2.630000,233900
2022-07-19,2.630000,2.660000,2.600000,2.620000,2.620000,182600
2022-07-20,2.580000,2.690000,2.580000,2.660000,2.660000,224800
2022-07-21,2.660000,2.720000,2.650000,2.680000,2.680000,228600
2022-07-22,2.680000,2.680000,2.600000,2.610000,2.610000,175300
2022-07-25,2.600000,2.600000,2.350000,2.360000,2.360000,678200
2022-07-26,2.360000,2.420000,2.320000,2.370000,2.370000,156400
2022-07-27,2.370000,2.400000,2.340000,2.370000,2.370000,209300
2022-07-28,2.340000,2.390000,2.340000,2.390000,2.390000,213800
2022-07-29,2.370000,2.400000,2.360000,2.390000,2.390000,137600
2022-08-01,2.400000,2.450000,2.380000,2.430000,2.430000,216200
2022-08-02,2.400000,2.570000,2.400000,2.560000,2.560000,182000
2022-08-03,2.570000,2.590000,2.490000,2.520000,2.520000,296300
2022-08-04,2.540000,2.610000,2.500000,2.520000,2.520000,207100
2022-08-05,2.460000,2.520000,2.450000,2.470000,2.470000,286200
2022-08-08,2.480000,2.600000,2.470000,2.540000,2.540000,234000
2022-08-09,2.450000,2.490000,2.350000,2.360000,2.360000,301800
2022-08-10,2.450000,2.450000,2.350000,2.410000,2.410000,217400
2022-08-11,2.450000,2.460000,2.360000,2.370000,2.370000,233600
2022-08-12,2.400000,2.430000,2.370000,2.410000,2.410000,195100
2022-08-15,2.450000,2.560000,2.390000,2.540000,2.540000,286400
2022-08-16,2.530000,2.530000,2.430000,2.470000,2.470000,201700
2022-08-17,2.450000,2.480000,2.400000,2.410000,2.410000,146900
2022-08-18,2.410000,2.450000,2.380000,2.390000,2.390000,123600
2022-08-19,2.350000,2.370000,2.290000,2.320000,2.320000,245700
2022-08-22,2.290000,2.310000,2.260000,2.270000,2.270000,187200
2022-08-23,2.270000,2.300000,2.260000,2.280000,2.280000,146000
2022-08-24,2.270000,2.330000,2.260000,2.300000,2.300000,205700
2022-08-25,2.330000,2.350000,2.300000,2.330000,2.330000,125400
2022-08-26,2.300000,2.390000,2.270000,2.300000,2.300000,224400
2022-08-29,2.290000,2.340000,2.240000,2.240000,2.240000,160000
2022-08-30,2.250000,2.270000,2.190000,2.200000,2.200000,144400
2022-08-31,2.210000,2.230000,2.170000,2.190000,2.190000,156700
2022-09-01,2.150000,2.180000,2.090000,2.130000,2.130000,210100
2022-09-02,2.130000,2.190000,2.080000,2.080000,2.080000,209300
2022-09-06,2.100000,2.100000,2.010000,2.020000,2.020000,148200
2022-09-07,2.000000,2.070000,2.000000,2.060000,2.060000,110700
2022-09-08,2.050000,2.090000,2.010000,2.060000,2.060000,127200
2022-09-09,2.060000,2.190000,2.060000,2.140000,2.140000,155700
2022-09-12,2.170000,2.170000,2.110000,2.130000,2.130000,118300
2022-09-13,2.100000,2.150000,2.070000,2.110000,2.110000,194800
2022-09-14,2.090000,2.130000,2.070000,2.080000,2.080000,124000
2022-09-15,2.080000,2.160000,2.080000,2.130000,2.130000,124200
2022-09-16,2.100000,2.100000,2.060000,2.070000,2.070000,144200
