Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,6.270000,6.310000,5.500000,6.250000,6.133381,57800
2022-07-12,6.310000,6.370000,6.130000,6.160000,6.045061,33900
2022-07-13,5.950000,6.050000,5.800000,5.900000,5.789912,35600
2022-07-14,5.860000,5.970000,5.800000,5.880000,5.770285,8100
2022-07-15,5.840000,5.960000,5.720000,5.920000,5.809539,31000
2022-07-18,5.880000,5.990000,5.770000,5.780000,5.672151,52000
2022-07-19,5.790000,5.920000,5.730000,5.760000,5.652524,40700
2022-07-20,5.760000,5.900000,5.690000,5.700000,5.593644,33600
2022-07-21,5.770000,5.890000,5.740000,5.840000,5.731032,77900
2022-07-22,5.840000,5.880000,5.700000,5.740000,5.632897,40400
2022-07-25,5.700000,6.330000,5.700000,6.160000,6.045061,83000
2022-07-26,6.190000,6.310000,6.060000,6.060000,5.946927,32700
2022-07-27,6.020000,6.140000,5.950000,6.000000,5.888046,44600
2022-07-28,6.260000,6.450000,6.080000,6.160000,6.045061,18500
2022-07-29,6.150000,6.300000,6.050000,6.050000,5.937114,33900
2022-08-01,6.110000,6.290000,6.110000,6.280000,6.162822,50000
2022-08-02,6.200000,6.240000,6.050000,6.080000,5.966553,40700
2022-08-03,6.300000,6.300000,6.000000,6.020000,5.907672,19000
2022-08-04,6.020000,6.140000,5.950000,6.140000,6.025434,19300
2022-08-05,6.130000,6.290000,6.050000,6.060000,5.946927,40500
2022-08-08,6.060000,6.410000,6.060000,6.350000,6.231515,54800
2022-08-09,6.380000,6.390000,6.200000,6.200000,6.084314,17700
2022-08-10,6.220000,6.300000,6.120000,6.270000,6.153008,47200
2022-08-11,6.320000,6.490000,6.300000,6.430000,6.310022,19500
2022-08-12,6.440000,6.500000,6.310000,6.380000,6.260956,39800
2022-08-15,6.400000,6.690000,6.300000,6.520000,6.398344,89000
2022-08-16,6.570000,7.200000,6.570000,7.020000,6.889014,56400
2022-08-17,6.900000,6.990000,6.840000,6.900000,6.771253,17800
2022-08-18,7.490000,7.760000,7.260000,7.450000,7.310990,150300
2022-08-19,7.330000,7.650000,7.300000,7.580000,7.438565,76700
2022-08-22,7.570000,7.900000,7.370000,7.810000,7.664273,107600
2022-08-23,7.810000,8.040000,7.600000,7.710000,7.566139,83300
2022-08-24,7.650000,8.160000,7.650000,8.090000,7.939049,109400
2022-08-25,8.050000,8.370000,7.980000,8.240000,8.086250,138700
2022-08-26,8.300000,8.490000,8.000000,8.300000,8.194858,112100
2022-08-29,8.390000,8.820000,8.340000,8.550000,8.441690,192100
2022-08-30,8.740000,8.740000,7.610000,7.880000,7.780177,88600
2022-08-31,7.940000,8.190000,7.640000,7.740000,7.641951,57400
2022-09-01,7.780000,7.850000,7.690000,7.770000,7.671571,55800
2022-09-02,7.800000,7.850000,7.510000,7.840000,7.740684,33300
2022-09-06,7.850000,7.850000,7.410000,7.450000,7.355624,67100
2022-09-07,7.450000,7.700000,7.250000,7.670000,7.572838,28700
2022-09-08,7.730000,8.080000,7.720000,7.760000,7.661698,272000
2022-09-09,7.870000,8.180000,7.780000,8.150000,8.046756,160900
2022-09-12,8.720000,8.920000,8.290000,8.810000,8.698397,262900
2022-09-13,8.600000,8.930000,8.440000,8.770000,8.658903,124800
2022-09-14,8.810000,8.810000,8.060000,8.140000,8.036884,65200
2022-09-15,8.170000,8.400000,8.170000,8.190000,8.086250,41600
2022-09-16,8.140000,8.350000,7.800000,7.850000,7.750557,112500
2022-09-19,7.640000,7.840000,7.380000,7.720000,7.622204,103500
2022-09-20,7.720000,7.770000,7.500000,7.680000,7.582711,104000
2022-09-21,7.640000,7.840000,7.560000,7.660000,7.562964,61800
2022-09-22,7.720000,7.720000,7.310000,7.450000,7.355624,42600
2022-09-23,7.310000,7.310000,6.970000,7.200000,7.108791,58000
2022-09-26,7.200000,7.450000,7.060000,7.250000,7.158158,105300
2022-09-27,7.280000,7.410000,7.210000,7.330000,7.237145,23400
2022-09-28,7.280000,7.600000,7.130000,7.480000,7.385244,35400
2022-09-29,7.540000,7.840000,7.270000,7.720000,7.622204,54100
2022-09-30,7.640000,7.820000,7.620000,7.690000,7.592584,69600
2022-10-03,7.640000,7.920000,7.540000,7.760000,7.661698,47600
2022-10-04,7.900000,8.330000,7.820000,8.030000,7.928277,105400
2022-10-05,8.030000,8.110000,7.740000,8.040000,7.938150,35400
2022-10-06,8.220000,8.270000,8.130000,8.220000,8.115870,60900
2022-10-07,8.220000,8.220000,8.010000,8.200000,8.096124,73600
2022-10-10,8.130000,8.250000,8.020000,8.140000,8.036884,87900
2022-10-11,8.160000,8.390000,8.030000,8.250000,8.145490,109100
2022-10-12,8.250000,8.270000,7.840000,7.910000,7.809797,20200
2022-10-13,7.730000,8.170000,7.600000,8.160000,8.056630,42100
2022-10-14,8.190000,8.190000,7.810000,7.890000,7.790051,25300
2022-10-17,7.930000,7.990000,7.780000,7.830000,7.730811,47500
2022-10-18,7.910000,8.000000,7.790000,7.940000,7.839417,34200
2022-10-19,7.830000,8.020000,7.730000,7.780000,7.681444,32900
2022-10-20,7.810000,7.810000,7.030000,7.380000,7.286511,57500
2022-10-21,7.420000,7.500000,7.230000,7.260000,7.168032,40400
2022-10-24,7.050000,7.230000,6.550000,7.100000,7.010058,194800
2022-10-25,7.100000,7.400000,6.760000,7.220000,7.128538,63600
2022-10-26,7.240000,7.580000,7.200000,7.400000,7.306258,57000
2022-10-27,7.400000,7.520000,7.150000,7.320000,7.227271,41800
2022-10-28,7.370000,7.530000,7.170000,7.520000,7.424738,218600
