Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,8.740000,8.780000,8.280000,8.600000,8.600000,4477800
2022-07-12,8.640000,8.990000,8.120000,8.230000,8.230000,9148300
2022-07-13,7.920000,8.170000,7.705000,8.030000,8.030000,10565600
2022-07-14,8.090000,8.090000,7.720000,7.780000,7.780000,9370600
2022-07-15,8.000000,8.510000,7.915000,8.500000,8.500000,7055800
2022-07-18,8.660000,9.030000,8.510000,8.650000,8.650000,6008400
2022-07-19,8.870000,8.990000,8.490000,8.920000,8.920000,4269200
2022-07-20,9.000000,9.410000,8.741000,9.350000,9.350000,6470200
2022-07-21,9.235000,9.430000,9.060000,9.310000,9.310000,3852000
2022-07-22,9.300000,9.486000,8.840000,8.960000,8.960000,4609000
2022-07-25,9.020000,9.020000,8.650000,8.900000,8.900000,9006200
2022-07-26,8.760000,8.790000,8.545000,8.710000,8.710000,4374000
2022-07-27,9.000000,9.380000,8.920000,9.350000,9.350000,4478400
2022-07-28,9.300000,9.720000,9.280000,9.550000,9.550000,5624500
2022-07-29,9.590000,9.740000,9.275000,9.590000,9.590000,4856400
2022-08-01,9.450000,10.150000,9.280000,10.040000,10.040000,6971300
2022-08-02,9.870000,10.710000,9.860000,10.680000,10.680000,7695000
2022-08-03,10.940000,11.260000,10.705000,11.210000,11.210000,7762600
2022-08-04,9.350000,11.005000,7.300000,10.960000,10.960000,27455100
2022-08-05,10.480000,10.970000,10.380000,10.570000,10.570000,7961800
2022-08-08,10.680000,11.280000,10.580000,10.910000,10.910000,5752900
2022-08-09,10.720000,10.850000,10.180000,10.380000,10.380000,6189700
2022-08-10,11.060000,11.140000,10.610000,11.050000,11.050000,7786700
2022-08-11,10.000000,10.000000,8.050000,8.340000,8.340000,34876400
2022-08-12,8.620000,8.790000,8.340000,8.505000,8.505000,10972400
2022-08-15,8.390000,8.720000,8.350000,8.570000,8.570000,7788000
2022-08-16,8.490000,8.530000,7.949000,8.200000,8.200000,15246800
2022-08-17,8.040000,8.100000,7.720000,7.790000,7.790000,12114000
2022-08-18,7.750000,8.140000,7.605000,8.080000,8.080000,8436100
2022-08-19,7.950000,7.955000,7.550000,7.560000,7.560000,8448700
2022-08-22,7.312000,7.595000,7.210000,7.470000,7.470000,5970900
2022-08-23,7.470000,7.845000,7.350000,7.350000,7.350000,5354800
2022-08-24,7.410000,7.900000,7.410000,7.740000,7.740000,10839900
2022-08-25,7.770000,7.935000,7.540000,7.630000,7.630000,8410300
2022-08-26,7.550000,7.690000,7.200000,7.310000,7.310000,5439200
2022-08-29,7.190000,7.650000,7.130000,7.410000,7.410000,5543500
2022-08-30,7.520000,7.710000,7.470000,7.630000,7.630000,5367300
2022-08-31,7.780000,8.070000,7.710000,7.790000,7.790000,8750400
2022-09-01,7.630000,7.630000,7.130000,7.340000,7.340000,6414300
2022-09-02,7.500000,7.540000,7.075000,7.160000,7.160000,4766100
2022-09-06,7.180000,7.330000,6.980000,7.210000,7.210000,4987600
2022-09-07,7.170000,7.535000,7.130000,7.510000,7.510000,4294000
2022-09-08,7.180000,7.500000,7.090000,7.380000,7.380000,6832400
2022-09-09,7.535000,7.920000,7.450000,7.850000,7.850000,6921900
2022-09-12,7.850000,8.095000,7.730000,7.960000,7.960000,4877500
