Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,10.850000,11.200000,9.450000,9.450000,9.450000,18520
2022-07-12,9.100000,9.800000,8.750000,9.800000,9.800000,6191
2022-07-13,9.450000,9.800000,8.750000,9.100000,9.100000,8274
2022-07-14,9.100000,9.450000,8.400000,9.100000,9.100000,10860
2022-07-15,9.800000,9.800000,8.750000,9.100000,9.100000,11237
2022-07-18,9.100000,9.800000,8.750000,9.100000,9.100000,4780
2022-07-19,9.100000,9.800000,8.750000,8.750000,8.750000,13963
2022-07-20,8.750000,10.150000,8.750000,9.100000,9.100000,13089
2022-07-21,10.150000,10.150000,9.100000,9.100000,9.100000,15397
2022-07-22,9.450000,9.450000,8.050000,8.400000,8.400000,8300
2022-07-25,8.750000,8.750000,7.350000,8.400000,8.400000,13240
2022-07-26,8.400000,8.750000,7.700000,8.050000,8.050000,5569
2022-07-27,8.050000,8.400000,7.350000,7.700000,7.700000,3477
2022-07-28,8.400000,8.400000,7.700000,7.700000,7.700000,5826
2022-07-29,7.700000,9.100000,7.700000,8.400000,8.400000,45183
2022-08-01,8.750000,9.450000,8.750000,9.100000,9.100000,22020
2022-08-02,9.100000,9.800000,8.050000,9.450000,9.450000,9594
2022-08-03,9.100000,10.150000,9.100000,9.450000,9.450000,11517
2022-08-04,9.100000,10.150000,8.750000,9.800000,9.800000,38820
2022-08-05,9.450000,10.150000,9.450000,9.800000,9.800000,20140
2022-08-08,9.800000,12.600000,9.800000,11.900000,11.900000,173866
2022-08-09,10.850000,11.900000,10.500000,10.500000,10.500000,50094
2022-08-10,10.500000,11.200000,10.150000,10.850000,10.850000,17940
2022-08-11,10.850000,11.200000,10.150000,10.850000,10.850000,25531
2022-08-12,10.500000,10.500000,9.100000,9.800000,9.800000,25040
2022-08-15,9.450000,9.800000,9.100000,9.450000,9.450000,6146
2022-08-16,9.450000,9.800000,8.400000,9.100000,9.100000,27803
2022-08-17,9.100000,9.450000,8.750000,9.100000,9.100000,5151
2022-08-18,9.100000,9.450000,8.750000,9.100000,9.100000,4857
2022-08-19,9.100000,9.450000,8.750000,9.100000,9.100000,2586
2022-08-22,8.750000,9.450000,8.050000,8.750000,8.750000,4349
2022-08-23,8.750000,9.100000,8.400000,8.400000,8.400000,6391
2022-08-24,8.050000,8.750000,8.050000,8.400000,8.400000,5383
2022-08-25,8.400000,9.100000,8.400000,8.750000,8.750000,4180
2022-08-26,8.400000,8.750000,8.050000,8.400000,8.400000,5166
2022-08-29,8.400000,8.400000,7.700000,8.050000,8.050000,8189
2022-08-30,8.400000,8.400000,7.700000,8.050000,8.050000,4354
2022-08-31,8.400000,8.750000,8.050000,8.400000,8.400000,6571
2022-09-01,8.400000,8.400000,8.050000,8.050000,8.050000,4143
2022-09-02,8.050000,8.400000,8.050000,8.050000,8.050000,6309
2022-09-06,8.050000,8.050000,7.700000,7.700000,7.700000,2034
2022-09-07,7.700000,8.050000,7.000000,7.350000,7.350000,30414
2022-09-08,7.000000,7.350000,7.000000,7.350000,7.350000,5457
2022-09-09,6.300000,6.650000,5.600000,6.300000,6.300000,86166
2022-09-12,6.300000,6.300000,5.950000,6.300000,6.300000,21977
2022-09-13,6.300000,6.650000,6.300000,6.300000,6.300000,13234
2022-09-14,6.650000,6.650000,5.250000,5.600000,5.600000,56957
2022-09-15,5.600000,5.950000,4.900000,5.250000,5.250000,41069
2022-09-16,5.600000,5.600000,4.550000,4.900000,4.900000,89646
2022-09-19,4.550000,4.900000,4.200000,4.550000,4.550000,84480
2022-09-20,4.550000,4.900000,4.200000,4.200000,4.200000,40811
2022-09-21,4.200000,4.550000,4.200000,4.200000,4.200000,43320
2022-09-22,4.550000,4.550000,4.200000,4.200000,4.200000,35426
2022-09-23,4.200000,4.200000,3.500000,3.850000,3.850000,50600
2022-09-26,3.850000,4.200000,3.500000,3.850000,3.850000,28197
2022-09-27,4.200000,4.550000,3.850000,4.200000,4.200000,32686
2022-09-28,4.200000,4.550000,3.850000,4.200000,4.200000,35594
2022-09-29,4.200000,4.200000,3.850000,3.850000,3.850000,34691
2022-09-30,3.850000,4.200000,3.500000,3.850000,3.850000,35580
2022-10-03,3.850000,4.550000,3.850000,3.850000,3.850000,71214
2022-10-04,3.850000,4.200000,3.850000,3.850000,3.850000,122997
2022-10-05,3.850000,3.850000,3.850000,3.850000,3.850000,53846
2022-10-06,3.850000,3.850000,3.500000,3.850000,3.850000,134269
2022-10-07,3.850000,3.850000,3.500000,3.500000,3.500000,78894
2022-10-10,3.500000,3.500000,3.150000,3.500000,3.500000,27537
2022-10-11,3.500000,3.500000,3.150000,3.150000,3.150000,22551
2022-10-12,3.150000,3.500000,3.150000,3.500000,3.500000,48234
2022-10-13,3.500000,3.500000,3.500000,3.500000,3.500000,23457
2022-10-14,3.500000,3.850000,3.500000,3.850000,3.850000,63849
2022-10-17,4.200000,4.200000,3.500000,3.500000,3.500000,67409
2022-10-18,3.850000,3.850000,3.500000,3.850000,3.850000,179623
2022-10-19,3.850000,3.850000,3.500000,3.500000,3.500000,93077
2022-10-20,3.500000,3.850000,3.150000,3.500000,3.500000,57286
2022-10-21,3.150000,3.500000,3.150000,3.500000,3.500000,28603
2022-10-24,3.500000,3.500000,3.150000,3.500000,3.500000,45686
2022-10-25,3.500000,3.500000,3.150000,3.500000,3.500000,36354
2022-10-26,3.150000,4.200000,3.150000,3.850000,3.850000,187894
2022-10-27,3.850000,3.850000,3.500000,3.500000,3.500000,59057
2022-10-28,3.500000,4.200000,3.500000,3.850000,3.850000,47089
2022-10-31,3.850000,4.200000,3.500000,3.850000,3.850000,26986
2022-11-01,3.850000,4.200000,3.500000,3.850000,3.850000,35614
2022-11-02,3.850000,3.850000,3.500000,3.500000,3.500000,12034
2022-11-03,3.500000,3.850000,3.500000,3.850000,3.850000,16446
2022-11-04,3.850000,3.850000,3.150000,3.500000,3.500000,18280
2022-11-07,3.500000,3.500000,3.150000,3.500000,3.500000,28471
2022-11-08,3.500000,3.500000,3.150000,3.150000,3.150000,23514
2022-11-09,3.150000,3.150000,2.800000,2.800000,2.800000,33697
2022-11-10,3.150000,3.500000,2.450000,2.800000,2.800000,30574
2022-11-11,3.150000,3.150000,2.800000,3.150000,3.150000,21949
2022-11-14,3.150000,3.150000,2.800000,3.150000,3.150000,25843
2022-11-15,2.800000,3.500000,2.800000,3.150000,3.150000,292714
2022-11-16,2.750000,2.840000,2.360000,2.360000,2.360000,141100
2022-11-17,2.480000,2.490000,2.020000,2.140000,2.140000,91100
2022-11-18,2.110000,2.170000,2.060000,2.080000,2.080000,51000
2022-11-21,2.080000,2.260000,2.000000,2.240000,2.240000,165400
2022-11-22,2.250000,2.490000,2.170000,2.340000,2.340000,231400
2022-11-23,2.360000,2.540000,2.360000,2.470000,2.470000,58600
2022-11-25,2.480000,2.550000,2.250000,2.280000,2.280000,33800
2022-11-28,2.280000,2.370000,2.250000,2.290000,2.290000,18500
2022-11-29,2.340000,2.420000,2.230000,2.300000,2.300000,32600
2022-11-30,2.300000,2.300000,2.000000,2.110000,2.110000,68600
2022-12-01,2.110000,2.170000,2.100000,2.130000,2.130000,19200
2022-12-02,2.130000,2.150000,2.040000,2.070000,2.070000,48700
2022-12-05,2.030000,2.090000,1.910000,1.970000,1.970000,31700
2022-12-06,1.920000,1.920000,1.790000,1.800000,1.800000,24600
2022-12-07,1.780000,1.810000,1.700000,1.730000,1.730000,22500
2022-12-08,1.750000,1.870000,1.710000,1.740000,1.740000,22900
2022-12-09,1.800000,1.800000,1.640000,1.660000,1.660000,40100
2022-12-12,1.670000,1.680000,1.580000,1.590000,1.590000,50100
