Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,19.520000,19.719999,19.070000,19.180000,19.180000,773900
2022-07-12,19.110001,19.360001,18.500000,18.660000,18.660000,715600
2022-07-13,18.330000,18.600000,18.100000,18.330000,18.330000,796300
2022-07-14,18.100000,18.219999,17.730000,17.980000,17.980000,504800
2022-07-15,18.160000,18.514999,18.070000,18.490000,18.490000,1001800
2022-07-18,18.639999,18.770000,18.315001,18.340000,18.340000,410800
2022-07-19,18.610001,18.820000,18.400000,18.770000,18.770000,432700
2022-07-20,18.809999,19.030001,18.700001,18.950001,18.950001,381900
2022-07-21,19.020000,19.270000,18.860001,19.260000,19.260000,502000
2022-07-22,19.219999,19.339001,18.370001,18.860001,18.860001,895000
2022-07-25,19.139999,19.230000,18.624001,18.959999,18.959999,681400
2022-07-26,18.840000,19.250000,18.680000,18.719999,18.719999,509500
2022-07-27,18.910000,19.040001,18.750000,18.950001,18.950001,361300
2022-07-28,19.030001,19.160000,18.674999,19.080000,19.080000,395700
2022-07-29,19.080000,19.264999,18.820000,19.200001,19.200001,612100
2022-08-01,19.040001,19.350000,18.950001,19.080000,19.080000,569700
2022-08-02,18.889999,19.270000,18.889999,19.010000,19.010000,599300
2022-08-03,18.980000,19.120001,18.100000,18.139999,18.139999,1526900
2022-08-04,18.559999,19.059999,17.969999,18.370001,18.370001,805800
2022-08-05,18.110001,18.650000,18.059999,18.530001,18.530001,621700
2022-08-08,18.610001,19.670000,18.600000,19.510000,19.510000,1495800
2022-08-09,19.490000,19.660000,18.549999,18.910000,18.910000,1743500
2022-08-10,19.260000,19.680000,19.059999,19.520000,19.520000,860200
2022-08-11,19.570000,20.170000,19.540001,19.990000,19.990000,892500
2022-08-12,20.170000,20.225000,19.910000,20.010000,20.010000,772700
2022-08-15,19.910000,20.305000,19.910000,20.270000,20.270000,535200
2022-08-16,20.270000,20.410000,20.030001,20.309999,20.309999,994200
2022-08-17,20.219999,20.320000,19.690001,19.700001,19.700001,839800
2022-08-18,19.760000,19.850000,18.780001,19.850000,19.850000,870800
2022-08-19,19.780001,19.809999,19.299999,19.360001,19.360001,589700
2022-08-22,19.190001,19.330000,19.045000,19.080000,19.080000,639100
2022-08-23,19.010000,19.334999,18.309999,18.610001,18.610001,887400
2022-08-24,18.660000,19.028000,18.209999,18.690001,18.690001,582500
2022-08-25,18.719999,18.959999,18.600000,18.709999,18.709999,501100
2022-08-26,18.680000,18.680000,17.510000,17.510000,17.510000,568600
2022-08-29,17.340000,17.459999,17.010000,17.170000,17.170000,702200
2022-08-30,17.170000,17.230000,16.980000,17.000000,17.000000,1086800
2022-08-31,17.250000,17.250000,16.480000,16.910000,16.910000,966300
2022-09-01,16.809999,17.100000,16.540001,17.090000,17.090000,1228100
2022-09-02,17.320000,17.320000,16.820000,16.920000,16.920000,731900
2022-09-06,17.070000,17.160000,16.730000,16.950001,16.950001,1006000
2022-09-07,16.820000,17.129999,15.820000,15.920000,15.920000,3157000
2022-09-08,15.780000,16.139999,15.515000,15.590000,15.590000,5056800
2022-09-09,15.640000,15.750000,15.480000,15.660000,15.660000,3969900
2022-09-12,15.720000,16.450001,15.670000,16.430000,16.430000,2782400
2022-09-13,16.070000,16.250000,15.320000,15.390000,15.390000,2215900
2022-09-14,15.390000,15.830000,15.100000,15.200000,15.200000,1217800
2022-09-15,15.100000,15.345000,15.060000,15.080000,15.080000,1002100
2022-09-16,14.790000,15.060000,14.530000,14.730000,14.730000,2284700
2022-09-19,14.560000,14.910000,9.755000,9.830000,9.830000,16545500
2022-09-20,9.650000,9.650000,7.980000,8.200000,8.200000,11870400
2022-09-21,7.620000,7.790000,7.160000,7.320000,7.320000,7444300
2022-09-22,7.170000,7.795000,7.110000,7.410000,7.410000,4788500
2022-09-23,7.330000,7.400000,7.080000,7.340000,7.340000,2447100
2022-09-26,7.120000,7.630000,7.120000,7.210000,7.210000,2842300
2022-09-27,7.350000,7.440000,7.040000,7.150000,7.150000,5079300
2022-09-28,7.150000,7.430000,7.150000,7.280000,7.280000,1760300
2022-09-29,7.160000,7.270000,6.870000,7.090000,7.090000,1758900
2022-09-30,7.170000,7.210000,6.800000,6.820000,6.820000,2264100
2022-10-03,6.850000,7.430000,6.785000,7.370000,7.370000,2367600
2022-10-04,7.600000,8.055000,7.530000,8.040000,8.040000,4454000
2022-10-05,7.115000,7.540000,6.970000,7.150000,7.150000,3295400
2022-10-06,7.190000,7.310000,7.010000,7.060000,7.060000,1732200
2022-10-07,7.020000,7.060000,6.760000,6.960000,6.960000,2430900
2022-10-10,7.000000,7.080000,6.800000,6.960000,6.960000,1234500
2022-10-11,6.900000,6.970000,6.500000,6.700000,6.700000,1724600
2022-10-12,6.720000,6.790000,6.530000,6.760000,6.760000,1122200
2022-10-13,6.560000,6.988000,6.500000,6.830000,6.830000,1300700
2022-10-14,6.880000,6.880000,6.640000,6.810000,6.810000,1411500
2022-10-17,6.910000,7.160000,6.820000,6.990000,6.990000,1283000
2022-10-18,7.150000,7.450000,7.120000,7.230000,7.230000,1285100
2022-10-19,7.070000,7.240000,6.580000,6.620000,6.620000,1950900
2022-10-20,6.620000,6.955000,6.570000,6.660000,6.660000,1786000
2022-10-21,6.630000,6.680000,6.415000,6.590000,6.590000,1435800
2022-10-24,6.670000,6.670000,6.350000,6.400000,6.400000,1542100
2022-10-25,6.410000,7.090000,6.400000,7.090000,7.090000,2080100
2022-10-26,7.080000,7.420000,7.000000,7.030000,7.030000,1692300
2022-10-27,7.010000,7.030000,6.660000,6.680000,6.680000,1181100
2022-10-28,6.650000,6.990000,6.570000,6.920000,6.920000,1664600
2022-10-31,6.840000,6.990000,6.770000,6.880000,6.880000,1111800
2022-11-01,7.070000,7.210000,6.770000,6.900000,6.900000,1332000
2022-11-02,6.500000,7.100000,6.270000,6.300000,6.300000,2423200
2022-11-03,6.150000,6.400000,6.070000,6.170000,6.170000,1656700
2022-11-04,6.270000,6.305000,5.880000,6.260000,6.260000,1972900
2022-11-07,6.300000,6.440000,6.130000,6.370000,6.370000,1190800
2022-11-08,6.380000,6.515000,6.170000,6.190000,6.190000,1624800
2022-11-09,6.100000,6.105000,5.780000,6.060000,6.060000,2100200
2022-11-10,6.480000,6.985000,6.405000,6.970000,6.970000,2303000
2022-11-11,7.010000,7.385000,6.970000,7.330000,7.330000,1684100
2022-11-14,7.260000,7.310000,6.890000,6.900000,6.900000,1355900
2022-11-15,6.530000,7.250000,6.440000,6.970000,6.970000,1610600
2022-11-16,6.750000,6.790000,6.130000,6.280000,6.280000,1439600
2022-11-17,6.160000,6.160000,5.845000,5.950000,5.950000,1612500
2022-11-18,6.030000,6.075000,5.935000,6.020000,6.020000,1827300
2022-11-21,7.680000,9.600000,7.650000,8.000000,8.000000,32020000
2022-11-22,7.960000,8.270000,7.770000,7.980000,7.980000,4188500
2022-11-23,7.970000,8.335000,7.910000,8.250000,8.250000,2186100
2022-11-25,8.220000,8.370000,8.050000,8.150000,8.150000,554800
2022-11-28,8.100000,8.250000,8.050000,8.150000,8.150000,1993600
2022-11-29,8.100000,8.243000,7.895000,7.970000,7.970000,1228800
2022-11-30,8.000000,8.360000,7.945000,8.340000,8.340000,1386300
2022-12-01,8.420000,8.940000,8.210000,8.790000,8.790000,1669900
2022-12-02,8.650000,8.920000,8.410000,8.870000,8.870000,1862600
2022-12-05,8.790000,9.280000,8.650000,8.940000,8.940000,1788600
2022-12-06,8.890000,8.900000,8.240000,8.440000,8.440000,1662700
2022-12-07,8.320000,8.500000,8.235000,8.330000,8.330000,1002100
2022-12-08,8.380000,8.720000,8.250000,8.560000,8.560000,1125800
2022-12-09,8.520000,8.890000,8.450000,8.490000,8.490000,1897500
2022-12-12,8.540000,8.710000,8.330000,8.710000,8.710000,1042500
2022-12-13,9.160000,9.316000,8.810000,9.170000,9.170000,1417400
2022-12-14,9.120000,9.200000,8.860000,8.940000,8.940000,1298000
2022-12-15,8.740000,8.740000,8.470000,8.590000,8.590000,1265000
2022-12-16,8.490000,8.595000,8.395000,8.500000,8.500000,2282300
2022-12-19,8.460000,8.580000,8.270000,8.320000,8.320000,851700
2022-12-20,8.250000,8.310000,7.660000,7.710000,7.710000,3142300
2022-12-21,7.820000,8.215000,7.790000,8.190000,8.190000,1236200
2022-12-22,8.080000,8.160000,7.840000,8.070000,8.070000,833800
2022-12-23,8.030000,8.065000,7.870000,7.930000,7.930000,478100
2022-12-27,7.960000,8.090000,7.720000,8.020000,8.020000,588300
