Date,Open,High,Low,Close,Adj Close,Volume
2022-07-10,0.000369,0.000371,0.000352,0.000356,0.000356,149
2022-07-11,0.000356,0.000357,0.000347,0.000351,0.000351,0
2022-07-12,0.000351,0.000351,0.000351,0.000351,0.000351,0
2022-07-13,0.000351,0.000351,0.000333,0.000350,0.000350,37
2022-07-14,0.000350,0.000364,0.000345,0.000361,0.000361,38
2022-07-15,0.000361,0.000368,0.000357,0.000361,0.000361,35
2022-07-16,0.000361,0.000380,0.000355,0.000378,0.000378,65
2022-07-17,0.000378,0.000388,0.000374,0.000375,0.000375,140
2022-07-18,0.000375,0.000400,0.000375,0.000399,0.000399,118
2022-07-19,0.000399,0.000403,0.000393,0.000393,0.000393,0
2022-07-20,0.000393,0.000393,0.000393,0.000393,0.000393,0
2022-07-21,0.000393,0.000403,0.000384,0.000403,0.000403,623
2022-07-22,0.000403,0.000411,0.000399,0.000402,0.000402,0
2022-07-23,0.000402,0.000411,0.000384,0.000395,0.000395,38
2022-07-24,0.000395,0.000405,0.000391,0.000399,0.000399,18
2022-07-25,0.000399,0.000399,0.000371,0.000371,0.000371,46
2022-07-26,0.000371,0.000377,0.000363,0.000377,0.000377,46
2022-07-27,0.000377,0.000381,0.000374,0.000381,0.000381,0
2022-07-28,0.000381,0.000381,0.000381,0.000381,0.000381,0
2022-07-29,0.000381,0.000458,0.000381,0.000447,0.000447,73
2022-07-30,0.000447,0.000455,0.000433,0.000436,0.000436,169
2022-07-31,0.000436,0.000451,0.000427,0.000430,0.000430,141
2022-08-01,0.000430,0.000440,0.000423,0.000432,0.000432,60
2022-08-02,0.000432,0.000434,0.000418,0.000425,0.000425,0
2022-08-03,0.000425,0.000463,0.000425,0.000452,0.000452,49
2022-08-04,0.000452,0.000474,0.000452,0.000472,0.000472,24
2022-08-05,0.000472,0.000487,0.000469,0.000476,0.000476,361
2022-08-06,0.000476,0.000486,0.000473,0.000476,0.000476,7
2022-08-07,0.000476,0.000491,0.000467,0.000488,0.000488,0
2022-08-08,0.000488,0.000488,0.000488,0.000488,0.000488,0
2022-08-09,0.000488,0.000495,0.000473,0.000491,0.000491,5
2022-08-10,0.000491,0.000492,0.000475,0.000480,0.000480,0
2022-08-11,0.000480,0.000480,0.000480,0.000480,0.000480,0
2022-08-12,0.000480,0.000480,0.000480,0.000480,0.000480,0
2022-08-13,0.000480,0.000480,0.000480,0.000480,0.000480,0
2022-08-14,0.000480,0.000488,0.000478,0.000480,0.000480,22
2022-08-15,0.000480,0.000493,0.000475,0.000482,0.000482,82
2022-08-16,0.000482,0.000485,0.000470,0.000474,0.000474,386
2022-08-17,0.000474,0.000484,0.000456,0.000457,0.000457,269
2022-08-18,0.000457,0.000463,0.000443,0.000446,0.000446,5
2022-08-19,0.000446,0.000446,0.000416,0.000417,0.000417,0
2022-08-20,0.000417,0.000429,0.000415,0.000423,0.000423,18
2022-08-21,0.000423,0.000453,0.000423,0.000451,0.000451,4
2022-08-22,0.000451,0.000454,0.000432,0.000448,0.000448,0
2022-08-23,0.000448,0.000448,0.000448,0.000448,0.000448,0
2022-08-24,0.000448,0.000448,0.000439,0.000443,0.000443,2
2022-08-25,0.000443,0.000456,0.000443,0.000450,0.000450,6
2022-08-26,0.000450,0.000450,0.000415,0.000417,0.000417,7
2022-08-27,0.000417,0.000424,0.000410,0.000415,0.000415,0
2022-08-28,0.000415,0.000423,0.000413,0.000413,0.000413,3
2022-08-29,0.000412,0.000427,0.000408,0.000427,0.000427,0
2022-08-30,0.000427,0.000434,0.000415,0.000422,0.000422,201
2022-08-31,0.000422,0.000433,0.000418,0.000418,0.000418,87
2022-09-01,0.000418,0.000420,0.000407,0.000417,0.000417,11
2022-09-02,0.000417,0.000424,0.000412,0.000416,0.000416,9
2022-09-03,0.000416,0.000417,0.000413,0.000414,0.000414,0
2022-09-04,0.000414,0.000420,0.000414,0.000418,0.000418,76
2022-09-05,0.000418,0.000421,0.000411,0.000416,0.000416,0
2022-09-06,0.000416,0.000416,0.000416,0.000416,0.000416,0
2022-09-07,0.000416,0.000416,0.000416,0.000416,0.000416,0
2022-09-08,0.000416,0.000423,0.000415,0.000421,0.000421,71
2022-09-09,0.000421,0.000444,0.000421,0.000441,0.000441,71
2022-09-10,0.000441,0.000449,0.000439,0.000448,0.000448,153
2022-09-11,0.000448,0.000449,0.000440,0.000444,0.000444,6
2022-09-12,0.000444,0.000452,0.000440,0.000444,0.000444,454
2022-09-13,0.000444,0.000450,0.000418,0.000419,0.000419,0
2022-09-14,0.000419,0.000419,0.000419,0.000419,0.000419,0
2022-09-15,0.000419,0.000419,0.000419,0.000419,0.000419,0
2022-09-16,0.000419,0.000419,0.000411,0.000414,0.000414,26
2022-09-17,0.000414,0.000422,0.000414,0.000421,0.000421,0
2022-09-18,0.000422,0.000423,0.000399,0.000401,0.000401,18
2022-09-19,0.000401,0.000414,0.000388,0.000413,0.000413,13
2022-09-20,0.000413,0.000414,0.000403,0.000404,0.000404,62
2022-09-21,0.000403,0.000417,0.000395,0.000399,0.000399,3
2022-09-22,0.000399,0.000408,0.000398,0.000408,0.000408,0
2022-09-23,0.000408,0.000408,0.000408,0.000408,0.000408,0
2022-09-24,0.000408,0.000420,0.000408,0.000415,0.000415,11
2022-09-25,0.000416,0.000424,0.000412,0.000416,0.000416,2
2022-09-26,0.000416,0.000420,0.000411,0.000413,0.000413,0
2022-09-27,0.000413,0.000431,0.000409,0.000412,0.000412,18
